Funds	
null	
Price search	

Instrument's name	ISIN	Euronext code	Market	Symbol	Trading currency	Last	Volume	D/D-1 (%)	Date - time (CET)	Turnover	Trading mode	Day First	Day High	Day High / Date - time (CET)	Day Low	Day Low / Date - time (CET)	 31-12/Change (%)	 31-12/High	 31-12/High/Date	 31-12/Low	 31-12/Low/Date	 52 weeks/Change (%)	 52 weeks/High	 52 weeks/High/Date	 52 weeks/Low	 52 weeks/Low/Date	Halted	Halted / Date - time (CET)	Halted	Halted / Date - time (CET)
ACH EUR AAND FD2	NL0006259988	NL0006259988	AMS	AEAF	EUR	12.26	32	-1.21	07/07/09 10:00	392	null	12.26	12.26	07/07/09 10:00	12.26	07/07/09 10:00	2.42	12.69	05/01/09	10.08	05/03/09	-27.02	18.2	12/08/08	10.08	05/03/09	-	-	-	-
ACH EUR MIX FD5	NL0006260010	NL0006260010	AMS	AEMF	EUR	19.69	1 985	0.41	09/07/09 10:00	39 085	null	19.69	19.69	09/07/09 10:00	19.69	09/07/09 10:00	1.13	20.1	21/05/09	18.23	27/02/09	-12.53	23.61	03/09/08	18.23	27/02/09	-	-	-	-
ACH EUR OBLI FD4	NL0006260002	NL0006260002	AMS	AEOF	EUR	25.75	195	0.98	03/07/09 10:00	5 021	null	25.75	25.75	03/07/09 10:00	25.75	03/07/09 10:00	4	25.75	03/07/09	24.83	18/03/09	2.92	25.75	03/07/09	24.19	14/10/08	-	-	-	-
ACH WERELD AANDFD3	NL0006259996	NL0006259996	AMS	AWAF	EUR	10.36	952	-1.15	15/05/09 10:00	9 863	null	10.36	10.36	15/05/09 10:00	10.36	15/05/09 10:00	4.86	10.7	06/01/09	8.82	05/03/09	-20.67	14.37	29/08/08	8.82	05/03/09	-	-	-	-
ACHM NL AAND FD1	NL0006259970	NL0006259970	AMS	ANAF	EUR	9.37	66	-1.88	09/07/09 10:00	618	null	9.37	9.37	09/07/09 10:00	9.37	09/07/09 10:00	-0.74	10.26	10/02/09	8.37	12/03/09	-37.74	16.23	03/09/08	8.37	12/03/09	-	-	-	-
ALLIANZ HOL 4	NL0000286920	NL0000286920	AMS	AHF	EUR	44.72	1	3.18	16/07/09 10:00	45	null	44.72	44.72	16/07/09 10:00	44.72	16/07/09 10:00	14.84	45.81	02/06/09	32.22	06/03/09	-33.72	70.52	13/08/08	32.22	06/03/09	-	-	-	-
ALLIANZ HOL AMER	NL0000286896	NL0000286896	AMS	AHAF	EUR	11.56	1	1.58	16/07/09 10:00	12	null	11.56	11.56	16/07/09 10:00	11.56	16/07/09 10:00	2.94	12.22	07/01/09	9.95	10/03/09	-16.11	15.88	09/09/08	9.95	10/03/09	-	-	-	-
ALLIANZ HOL EU 11	NL0000286979	NL0000286979	AMS	AHEF	EUR	47.95	1	2.61	16/07/09 10:00	48	null	47.95	47.95	16/07/09 10:00	47.95	16/07/09 10:00	12.85	49.32	12/06/09	34.94	10/03/09	-22.57	64.23	12/08/08	34.94	10/03/09	-	-	-	-
ALLIANZ HOL EUSEL6	NL0000286946	NL0000286946	AMS	AHESF	EUR	29.83	1	0.74	16/07/09 10:00	30	null	29.83	29.83	16/07/09 10:00	29.83	16/07/09 10:00	8.75	30.17	03/06/09	26.18	10/03/09	-3.93	31.63	13/08/08	26.18	10/03/09	-	-	-	-
ALLIANZ HOL OBLI2	NL0000286904	NL0000286904	AMS	AHOF	EUR	63.96	55	-0.22	16/07/09 10:00	3 518	null	63.96	63.96	16/07/09 10:00	63.96	16/07/09 10:00	2.09	64.13	13/07/09	61.23	27/01/09	2.55	64.55	07/10/08	61.23	27/01/09	-	-	-	-
ALLIANZ HOL PACIF5	NL0000286938	NL0000286938	AMS	AHPF	EUR	49.01	1	1.83	16/07/09 10:00	49	null	49.01	49.01	16/07/09 10:00	49.01	16/07/09 10:00	13.32	49.61	11/06/09	37.47	09/03/09	-11.17	59.66	12/08/08	37.47	09/03/09	-	-	-	-
ALLIANZ HOL SELEC3	NL0000286912	NL0000286912	AMS	AHSF	EUR	71.55	1	1.05	16/07/09 10:00	72	null	71.55	71.55	16/07/09 10:00	71.55	16/07/09 10:00	6.06	71.91	03/06/09	62.93	10/03/09	-7.44	78.68	03/09/08	62.93	10/03/09	-	-	-	-
ALLIANZ WERELD 10	NL0000286953	NL0000286953	AMS	AHWF	EUR	23.11	170	2.17	16/07/09 10:00	3 929	null	23.11	23.11	16/07/09 10:00	23.11	16/07/09 10:00	8.24	23.42	02/06/09	18.53	09/03/09	-13.64	29.17	29/08/08	18.53	09/03/09	-	-	-	-
ASN AAND FONDS 3	NL0000441301	NL0000441301	AMS	ASN	EUR	42.21	4 348	2.1	16/07/09 10:00	183 529	null	42.21	42.21	16/07/09 10:00	42.21	16/07/09 10:00	3	44.44	07/01/09	35.46	10/03/09	-15.07	56.05	12/08/08	35.46	10/03/09	-	-	-	-
ASN MILIEU&WATER 2	NL0000280501	NL0000280501	AMS	ASNML	EUR	12.58	9 664	2.28	16/07/09 10:00	121 573	null	12.58	12.58	16/07/09 10:00	12.58	16/07/09 10:00	13.95	12.87	15/06/09	9.63	10/03/09	-13.48	16.13	12/08/08	9.63	10/03/09	-	-	-	-
ASN MIXFONDS 4	NL0000280089	NL0000280089	AMS	ABFW	EUR	55	2	0.97	16/07/09 10:00	110	null	55	55	16/07/09 10:00	55	16/07/09 10:00	-0.92	57.47	07/01/09	52.03	10/03/09	-4.40	61.26	03/09/08	52.03	10/03/09	-	-	-	-
ASN OBLIGATIE FD 1	NL0000441244	NL0000441244	AMS	ASNOB	EUR	26.84	2 602	0	16/07/09 10:00	69 838	null	26.84	26.84	16/07/09 10:00	26.84	16/07/09 10:00	-3.45	27.87	05/01/09	26.22	08/06/09	5.46	27.88	30/12/08	25.18	22/07/08	-	-	-	-
ASN SMALL/MIDCAP 5	NL0000290518	NL0000290518	AMS	ASN5	EUR	15.01	3 250	2.04	16/07/09 10:00	48 783	null	15.01	15.01	16/07/09 10:00	15.01	16/07/09 10:00	7.75	15.43	15/06/09	11.5	10/03/09	-29.30	22.62	03/09/08	11.5	10/03/09	-	-	-	-
COLUMBIA SECURITY	NL0000440709	NL0000440709	AMS	COLUM	USD	178.53	0	0	14/07/09 10:00	0	null	178.53	0	-	0	-	-100	183.38	07/01/09	0	-	-100.00	283.15	16/07/08	-	10/03/09	-	-	-	-
DELTA DEELNMNG FDS	NL0000288389	NL0000288389	AMS	DLDEE	EUR	34.02	9 850	1.16	16/07/09 10:00	335 097	null	34.02	34.02	16/07/09 10:00	34.02	16/07/09 10:00	19.2	35.82	03/06/09	24.38	10/03/09	-21.29	46.36	07/08/08	24.38	10/03/09	-	-	-	-
DELTA LLOYD DOLLAR	NL0000442010	NL0000442010	AMS	DLDF	EUR	8.98	50	-1.64	16/07/09 10:00	449	null	8.98	8.98	16/07/09 10:00	8.98	16/07/09 10:00	-6.56	10.51	18/02/09	8.65	03/06/09	17.69	10.51	18/02/09	7.53	22/07/08	-	-	-	-
DELTA LLOYD DONAU	NL0000286326	NL0000286326	AMS	DLDAU	EUR	15.32	3 180	3.16	16/07/09 10:00	48 718	null	15.32	15.32	16/07/09 10:00	15.32	16/07/09 10:00	27.45	17.24	03/06/09	10.12	23/02/09	-46.53	28.97	18/07/08	10.12	23/02/09	-	-	-	-
DELTA LLOYD EU CR	NL0000286482	NL0000286482	AMS	DLECF	EUR	10.44	151 760	-0.1	16/07/09 10:00	1 584 374	null	10.44	10.44	16/07/09 10:00	10.44	16/07/09 10:00	2.55	10.45	15/07/09	9.8	24/04/09	3.78	10.45	15/07/09	9.8	24/04/09	-	-	-	-
DELTA LLOYD EUR DF	NL0006056509	NL0006056509	AMS	DLEDF	EUR	15.2	5 413	0.6	16/07/09 10:00	82 278	null	15.2	15.2	16/07/09 10:00	15.2	16/07/09 10:00	-0.85	16.52	07/01/09	12.77	10/03/09	-30.85	22.71	09/09/08	12.77	10/03/09	-	-	-	-
DELTA LLOYD EUROFD	NL0000292712	NL0000292712	AMS	DELEF	EUR	4.82	176	2.34	16/07/09 10:00	848	null	4.82	4.82	16/07/09 10:00	4.82	16/07/09 10:00	-2.03	5.3	07/01/09	4.09	10/03/09	-26.07	6.88	12/08/08	4.09	10/03/09	-	-	-	-
DELTA LLOYD INVEST	NL0000286318	NL0000286318	AMS	DLIF	EUR	4.74	7 143	2.38	16/07/09 10:00	33 858	null	4.74	4.74	16/07/09 10:00	4.74	16/07/09 10:00	8.47	4.95	12/06/09	3.8	10/03/09	-20.87	6.48	12/08/08	3.8	10/03/09	-	-	-	-
