;lon,lat,descr
4.03101, 50.93221, "RF - 30KMH - 001"
5.37562, 51.23532, "RF - 30KMH - 002"
5.37553, 51.23567, "RF - 30KMH - 003"
4.83607, 51.00295, "RF - 30KMH - 004"
4.83653, 51.0049, "RF - 30KMH - 005"
2.85003, 51.03373, "RF - 30KMH - 006"
4.43071, 51.18343, "RF - 30KMH - 007"
4.43138, 51.18321, "RF - 30KMH - 008"
3.69825, 51.02259, "RF - 30KMH - 009"
3.69872, 51.02284, "RF - 30KMH - 010"
4.47735, 51.16792, "RF - 30KMH - 011"
4.47819, 51.16821, "RF - 30KMH - 012"
4.94355, 50.7881, "RF - 30KMH - 013"
4.94219, 50.78934, "RF - 30KMH - 014"
2.87027, 50.99608, "RF - 30KMH - 015"
5.5096, 50.97473, "RF - 30KMH - 016"
3.86104, 50.76236, "RF - 30KMH - 017"
4.02722, 50.37889, "RF - 30KMH - 018"
4.69839, 50.39383, "RF - 30KMH - 019"
