;lon,lat,descr
3.29279, 50.73163, "247 - 120 Km/h - A17/E403"
3.29449, 50.74987, "071 - 120 Km/h - A17/E403"
3.37783, 50.63357, "235 - 120 Km/h - RM - E429/A8, E42 - Direction Bruxelles/Namur"
3.50336, 50.55668, "042 - 120 km/h - E42"
3.50464, 50.55621, "043 - 120 km/h - E42"
3.52881, 50.54845, "044 - 120 km/h - E42"
3.52957, 50.54838, "045 - 120 km/h - E42"
3.55484, 50.54378, "258 - 120 km/h - E42 Aire de Peruwelz"
3.55564, 50.54333, "016 - 120 km/h - E42 - Tournai --> Mons"
3.57906, 50.53926, "057 - 120 km/h"
3.60055, 50.65805, "058 - 120 Km/h - A8/E429 Av sortie 31 derrière pont"
3.61606, 50.65943, "236 - 120 km/h - A8/E429 - Entre Ath et Leuze"
3.66455, 50.6551, "156 - 120 km/h - A8/E429 - Entre Enghien et Halle"
3.7596, 50.66365, "085 - 120 Km/h - A8/E429 Ath-Hacquegnies"
3.77108, 50.66762, "250 - 120 km/h - A8/E429 - entre Ath et Leuze"
3.77413, 50.45166, "080 - 120 km/h - E19 - Paris - Bruxelles "
3.79642, 50.45183, "082 - 120 km/h - E19 - Paris - Bruxelles "
3.8711, 50.45341, "015 - 120 km/h - E42 - Quaregnon --> Mons"
3.89709, 50.45371, "081 - 120 km/h - E19 - Paris - Bruxelles "
3.91396, 50.43875, "018 - 120 km/h - R5 entre Jemappes et Frameries"
3.99356, 50.68574, "125 - 120 Km/h - E 429 Dir Tournai"
4.00014, 50.49145, "104 - 120 Km/h -   E19 Nimy -Maisieres Dir La louviere"
4.00619, 50.68524, "276 - 120 Km/h - mobile 120 km/h - Vers Lessines"
4.01611, 50.48774, "259 - 120 km/h - sortie Obourg (sens Mons-Bruxelles) "
4.03914, 50.67985, "031 - 120 km/h - A8 - E429 --> Bruxelles "
4.03919, 50.68015, "277 - 120 Km/h - mobile 120 km/h - Vers Lessines"
4.04968, 50.67832, "049 - 120 km/h - A8 - Halle-Tournai - Sortie Petit-Enghien"
4.07893, 50.4855, "089 - 120 Km/h - Sur le pont vers Mons  A7/E19/E42"
4.12076, 50.49478, "065 - 120 km/h - E19 -> LE Roeulx"
4.1208, 50.67785, "055 - 120 km/h - Entre Enghien et Halle"
4.13419, 50.49737, "066 - 120 km/h - E19 -> LE Roeulx"
4.13643, 50.49763, "110 - 120 Km/h - E19 Dir. Bruxelles "
4.16797, 50.69596, "237 - 120 Km/h - RM - A8 dir bxl"
4.17045, 50.50723, "107 - 120 Km/h - E 19 Dir. Bruxelles"
4.18015, 50.51317, "277 - 120 Km/h - E19 vers Mons à Familleleroeulx"
4.43919, 50.38529, "001 - 120 km/h - R3  -> Chatelet"
4.31636, 50.45057, "243 - 120 Km/h - parkink Aire de Fontaine dir Trazegnies"
4.42694, 50.45648, "238 - 120 Km/h - RM - A54"
4.42333, 50.45833, "035 - 120 km/h - Jumet --> Gosselies"
4.41646, 50.46876, "278 - 120 Km/h - A54 Berne centrale après échangeur avec la E42"
4.55288, 50.47321, "261 - 120 Km/h - A15/E42"
4.40667, 50.47472, "033 - 120 km/h - E15-E42 - Pont de Viesville"
