;lon,lat,descr
2.87283, 50.85803, "248 - RM - N379  - Oude Veurnestraat - Kunstenlaan"
2.87522, 50.84392, "233 - RM - 53, 62 Dikkebusseweg"
2.90019, 50.84677, "238 - RM 11, 24 Karel Steverlyncklaan"
2.93575, 50.88893, "291 - RM - 32, 37 Brugseweg"
3.02218, 50.96967, "349 - RM - 102, 117 Sint-Jansstraat"
3.0582, 50.96124, "345 - RM - Diksmuidesteenweg"
3.08861, 50.79443, "175 - RM - 345, 406 Hogeweg"
3.11847, 50.98137, "356 - RM - 138, 165 Bruggesteenweg"
3.16629, 51.02703, "388 - RM - A17/E403"
3.16817, 50.80484, "186 - RM - 180, 205 Menenstraat"
3.17461, 50.89157, "297- RM - A17/E403"
3.17541, 50.89369, "301 - RM - A17/E403"
3.20753, 51.00671, "372 - RM - 85, 90 Zwevezeelsestraat"
3.20868, 51.00521, "370 - RM - 30, 59 Zwevezeelsestraat"
3.21823, 50.92573, "325 - RM - 126, 145 Kouterweg"
3.22239, 50.92607, "326 - RM - 102, 119 Baronstraat"
3.25784, 50.80266, "184 - RM - A14/E17"
3.2582, 50.80726, "187 - RM - R8"
3.28641, 50.81418, "194 - RM - A14/E17"
3.41516, 50.78205, "169 - RM - N8"
3.44538, 50.81072, "189 - RM - Streuvelstraat"
3.82968, 50.81593, "198 - RM - Steenweg"
3.29584, 50.81776, "201 - RM - A14/E17"
3.30815, 50.82296, "212 - RM - A14/E17"
3.31768, 50.82688, "215 - RM - A14/E17"
3.32513, 50.83011, "219 - RM - A14/E17"
3.34447, 50.83834, "227 - RM - E17 - dir GAND"
3.36399, 50.84547, "235 - RM - A14/E17"
3.36697, 50.84616, "237 - RM - A14/E17"
3.36807, 50.84678, "239,- RM - A14/E17"
3.3844, 50.8521, "241 - RM - A14/E17"
3.44898, 50.86109, "254 - RM - Groteleistraat"
3.43014, 50.86687, "259 - RM - E17 "
3.81258, 50.87505, "276 - RM - Bruggenkoek"
3.32009, 51.00239, "367 - RM - Ringlaan"
3.47825, 51.00902, "376 - RM - Lottenhullesstraat"
3.79883, 51.01569, "382 - RM - R4"
3.80305, 51.01773, "384 - RM - -R4"
3.81097, 51.02091, "385 - RM - R4"
2.595, 51.08389, "416 - RM -  N 386 - Depanne "
2.93443, 51.20413, "484 - RM - Oostende  Gistelsestwg"
2.93822, 51.1784, "461 - RM - 23 Kanaalstraat"
3.00704, 51.1632, "457 - RM - Westkerke  Gistelsetwg"
3.05859, 51.19673, "475 - RM - A10"
3.07257, 51.19437, "472 - RM - A10"
3.08598, 51.19199, "470 - RM - A10/E40"
3.11392, 51.24401, "519 - RM - 74, 77 Oostendse Steenweg"
3.15737, 51.23999, "515 - RM - 19, 38 Oostendse Steenweg"
3.16133, 51.23924, "514 - RM - 5, 12 Oostendse Steenweg"
3.16396, 51.03599, "396 - RM - A17/E403"
3.17216, 51.15069, "450 - RM - 59, 88 Heidelbergstraat"
3.17474, 51.15101, "451 - RM - 49, 72 Heidelbergstraat"
