;lon,lat,descr
4.28897, 51.28647, "[AW][ANTWERPEN-027]R2 ( N51.28647 E4.28897 ) "
5.42529, 51.21467, "[BL][OVERPELT-004]Dorpsstraat ( N51.21467 E5.42529 ) "
4.64109, 52.49901, "[NH][BEVERWIJK-001]Creutzberglaan ( N52.49901 E4.64109 ) "
4.90759, 52.46185, "[NH][DENILP-001]Den Ilp ( N52.46185 E4.90759 ) "
4.63132, 52.33735, "[NH][HAARLEMMERMEER-001]Bennebroekerdijk ( N52.33735 E4.63132 ) "
4.92589, 52.48143, "[NH][PURMERLAND-001]Purmerland ( N52.48143 E4.92589 ) "
4.68237, 52.41315, "[NH][SPAARNDAM-001]Spaarndammerdijk  ( N52.41315 E4.68237 ) "
4.29769, 51.70036, "[ZH][ACHTHUIZEN-001]N59 ( N51.70036 E4.29769 ) "
4.48583, 52.15999, "[ZH][LEIDEN-020]Breestraat ( N52.15999 E4.48583 ) "
4.55964, 51.89308, "[ZH][ROTTERDAM-032]A16 ( N51.89308 E4.55964 ) "
4.55403, 51.89593, "[ZH][ROTTERDAM-031]A16 ( N51.89593 E4.55403 ) "
4.54716, 51.89901, "[ZH][ROTTERDAM-030]A16 ( N51.89901 E4.54716 ) "
4.54104, 51.90646, "[ZH][ROTTERDAM-029]A16 ( N51.90646 E4.54104 ) "
4.53774, 51.91139, "[ZH][ROTTERDAM-028]A16 ( N51.91139 E4.53774 ) "
4.53531, 51.91511, "[ZH][ROTTERDAM-027]A16 ( N51.91511 E4.53531 ) "
4.53523, 51.92054, "[ZH][ROTTERDAM-026]A16 ( N51.92054 E4.53523 ) "
4.53838, 51.92686, "[ZH][ROTTERDAM-025]A16 ( N51.92686 E4.53838 ) "
