;lon,lat,descr
4.41028, 51.2112, "[AW][ANTWERPEN-050]Gasthuistunnel ( N51.2112 E4.41028 ) "
6.98854, 52.65074, "[DR][NIEUW_SCHOONEBEEK-002]Kerkenweg ( N52.65074 E6.98854 ) "
5.67931, 52.00831, "[GD][BENNEKOM-001]Vossenweg ( N52.00831 E5.67931 ) "
6.01839, 50.87306, "[LB][LANDGRAAF-003]Heistraat ( N50.87306 E6.01839 ) "
5.23463, 51.63355, "[NB][HELVOIRT-006]Torenstraat ( N51.63355 E5.23463 ) "
5.23422, 51.63393, "[NB][HELVOIRT-005]Torenstraat ( N51.63393 E5.23422 ) "
5.1588, 51.35232, "[NB][REUSEL-005]Het Heike ( N51.35232 E5.1588 ) "
4.64839, 52.22234, "[NH][WETERINGBRUG-001]Leimuiderdijk ( N52.22234 E4.64839 ) "
6.12062, 52.51262, "[OV][ZWOLLE-021]Ceintuurbaan ( N52.51262 E6.12062 ) "
4.83594, 51.00292, "[VB][AARSCHOT-002]Herseltsesteenweg ( N51.00292 E4.83594 ) "
3.38342, 50.73373, "[WV][HELKIJN-001]Avelgemstraat  ( N50.73373 E3.38342 ) "
2.87025, 50.99623, "[WV][WOUMEN-001]Iepersteenweg  ( N50.99623 E2.87025 ) "
2.8499, 51.0338, "[WV][KAASKERKE-001]Kaaskerkestraat ( N51.0338 E2.8499 ) "
3.48392, 50.83636, "[WV][ANZEGEM-002]Kalkstraat ( N50.83636 E3.48392 ) "
3.47999, 50.838, "[WV][ANZEGEM-001]Kalkstraat ( N50.838 E3.47999 ) "
4.45403, 51.82779, "[ZH][HEINENOORD-009]Goidschalxoordse dijk ( N51.82779 E4.45403 ) "
