;lon,lat,descr
5.97423, 51.98359, "[GD][ARNHEM-017]Oprit knooppunt Velperbroek ( N51.98359 E5.97423 ) "
4.98226, 52.22689, "[NH][VINKEVEEN-002]Oprit A2 Vinkeveen ( N52.22689 E4.98226 ) "
5.39591, 52.13464, "[UT][AMERSFOORT-031]Oprit A28 ( N52.13464 E5.39591 ) "
5.21521, 52.05945, "[UT][BUNNIK-002]A12 ( N52.05945 E5.21521 ) "
5.1362, 52.02952, "[UT][HOUTEN-001]A27 ( N52.02952 E5.1362 ) "
5.19646, 52.09236, "[UT][UTRECHT-034]A28 ( N52.09236 E5.19646 ) "
5.14803, 52.11744, "[UT][UTRECHT-008]A27 ( N52.11744 E5.14803 ) "
5.11226, 51.99254, "[UT][VIANEN-001]Rijksweg ( N51.99254 E5.11226 ) "
4.51396, 51.84691, "[ZH][BARENDRECHT-001]A29 ( N51.84691 E4.51396 ) "
4.38971, 51.99361, "[ZH][DELFT-005]A13 ( N51.99361 E4.38971 ) "
4.37919, 52.00955, "[ZH][DELFT-007]A13 oprit ( N52.00955 E4.37919 ) "
4.36111, 52.02548, "[ZH][DELFT-008]A13-oprit ( N52.02548 E4.36111 ) "
4.35911, 52.02793, "[ZH][DELFT-006]Oprit Delft-Noord(8) naar de A13 ( N52.02793 E4.35911 ) "
5.13989, 51.94628, "[ZH][LEERDAM-001]A2 ( N51.94628 E5.13989 ) "
4.4841, 51.94231, "[ZH][ROTTERDAM-047]A20 oprit 15 ( Crooswijk ) ( N51.94231 E4.4841 ) "
4.37701, 51.92571, "[ZH][SCHIEDAM-002]Schiedam noord oprit naar de A20 ( N51.92571 E4.37701 ) "
