; Europa-Austria-Blitzer: Blitzer-100-m_NF.asc
; POIs from NaviFriends.com - Release: 27.05.2009
; Send informations about POIs to info@NaviFriends.com
; Free download only from www.NaviFriends.com. Not for sale!
; (C) by NaviFriends.com - free for private use

12.112480,47.540240,"15044|6322 Unterlangkampfen|A12 $0x8e8a879059$"
13.101061,47.706889,"19256|5411 Oberalm|A10 $0x747977717743$"
13.125630,47.673423,"19257|5424 Bad Vigaun - Sankt Margarethen|A10 $0x86878653$"
13.136790,47.648440,"1609|5431 Garnei|A10 $0x81878250$"
13.183060,47.491670,"8961|5450 Tenneck|A10 $0x84898453$"
13.197138,47.475323,"1849|5452 Werfen|A10 $0x8a8f8f59$"
14.008360,48.182130,"15253|4600 Wels|A25 $0x8e8f57$"
14.294590,48.219120,"16669|4052 Ansfelden|A1 $0x7b7a8846$"
14.364394,48.235450,"17575|4030 Linz|A1-E60-Westautobahn $0x73797541$"
14.426870,46.643400,"9392|9131 Pubersdorf|A2"
15.409320,46.997820,"8835|8054 Pirka|Knoten Graz West $0x79797f8947$"
15.574026,47.543367,"19579|8670 Krieglach|S6"
16.216950,48.380100,"17239|2000 Stockerau|A22 $0x83828552$"
16.286750,47.790050,"13395|7201 Neudörfl|S4 $0x737a7641$"
16.292530,47.788330,"13394|2801 Neudörfl|S4 $0x74747843$"
16.389976,47.617577,"1709|7332 Weppersdorf - Kalkgruben|S31 $0x7d827c4c$"
16.396900,47.606460,"1710|7332 Weppersdorf - Tschurndorf|S31 $0x807f834d$"
