; Europa-Austria-Blitzer: Blitzer-130_NF.asc
; POIs from NaviFriends.com - Release: 27.05.2009
; Send informations about POIs to info@NaviFriends.com
; Free download only from www.NaviFriends.com. Not for sale!
; (C) by NaviFriends.com - free for private use

13.176000,47.851130,"2221|5301 Kraiwiesen-Neuhofen|A1 $0x7c7b7f797d4b$"
13.205134,47.463635,"22590|5452 Pfarrwerfen|A10 $0x86858753$"
13.214811,47.454973,"21275|5452 Pfarrwerfen|A10 $0x81827f4e$"
13.396591,47.344094,"21495|5542 Flachau|A10 $0x7e45$"
13.948390,46.622640,"8307|9241 Kaltschach|A2 $0x7b7c44$"
14.127520,46.639660,"21070|9210 Pörtschach Am Wörther See - Windischberg|A2 $0x7d80824b$"
14.157450,46.637830,"17252|9210 Winklern|A2 $0x76767545$"
14.688169,48.112156,"18606|3354 Schaching|A1 $0x888c8c56$"
14.811790,46.784310,"14850|9433 Wolfsberg|A2 $0x838b8480829452$"
14.830250,46.881639,"21371|9400 Wolfsberg|A2 $0x868b869755$"
15.014809,48.128877,"21601|3372 Blindenmarkt - Hubertendorf|A1 $0x7b7742$"
15.503931,47.029092,"7698|8074 Raaba|A2 $0x89878f57$"
15.505980,47.031410,"7710|8074 Raaba|A2 $0x75737743$"
15.844463,48.174104,"20695|3061 Neulengbach - Oberdambach|A1 $0x73787941$"
15.850164,47.089830,"19234|8262 Nestelbach Im Ilztal|A2 $0x898e8d8757$"
15.999352,47.167960,"18849|8271 Bad Waltersdorf|A2 $0x7475786f7441$"
16.096860,47.461700,"9388|8244 Karnegg|A2 $0x76777a43$"
16.124020,47.543006,"18850|2870 Zöbern|A2 $0x88817e8850$"
16.261197,47.979556,"19758|2500 Baden|A2 $0x878451$"
