; Europa-Austria-Blitzer: Blitzer-40_NF.asc
; POIs from NaviFriends.com - Release: 27.05.2009
; Send informations about POIs to info@NaviFriends.com
; Free download only from www.NaviFriends.com. Not for sale!
; (C) by NaviFriends.com - free for private use

9.593826,47.252752,"17921|6800 Feldkirch|Kapfstraße $0x8048$"
9.625450,47.339121,"17883|6840 Götzis|Kirlastraße 105 $0x8d8d8b5a$"
9.631008,47.334079,"18506|6840 Götzis|Kirlastraße $0x787a7947$"
9.639735,47.341444,"17882|6840 Götzis|Appenzeller Straße $0x76767443$"
9.643761,47.340407,"17881|6840 Götzis|Major-Ellensohn-Straße $0x898e9755$"
9.751680,47.528000,"7128|6911 Lochau|Landstraße $0x878e869856$"
9.753593,47.416418,"17893|6850 Dornbirn|Bündtlittenstraße $0x898f58$"
9.756285,47.423894,"18298|6850 Dornbirn|Kehlerstraße $0x848b8c53$"
11.262610,47.388360,"7445|6108 Scharnitz|B177"
11.435240,47.274410,"7407|6020 Innsbruck|Schützenstraße"
13.024170,47.780210,"15127|5020 Salzburg|Moosstraße $0x8b938f888e9c5a$"
13.039730,47.792340,"9380|5020 Salzburg|Sinnhubstraße $0x7b8182777f49$"
13.055730,47.786070,"7412|5020 Salzburg|Hofhaymer Allee"
13.066350,47.803570,"7411|5020 Salzburg|Eberhard-Fugger-Straße $0x7d837d7a7d8e4c$"
16.256940,48.109440,"8929|2380 Perchtoldsdorf|Herzogbergstraße $0x878651$"
16.267860,48.095610,"9381|2344 Maria Enzersdorf|Stojanstraße"
16.272250,48.123760,"7447|2380 Perchtoldsdorf|Mühlgasse"
16.273040,48.118050,"7448|2380 Perchtoldsdorf|Salitergasse"
16.277320,48.125680,"7449|2380 Perchtoldsdorf|Gauguschgasse $0x797a7b8846$"
16.279760,48.104670,"9379|2345 Brunn Am Gebirge|Liechtensteinstraße"
16.280370,48.098100,"7385|2344 Maria Enzersdorf|Schulplatz"
16.281950,48.123700,"7409|2380 Perchtoldsdorf|Mühlgasse $0x777c7c8745$"
16.282010,48.121520,"7410|2380 Perchtoldsdorf|Salitergasse $0x8d8d9957$"
16.287650,48.102520,"7450|2345 Maria Enzersdorf|Heugasse"
16.288310,48.123320,"7408|2380 Perchtoldsdorf|Mühlgasse"
16.288500,48.079170,"7386|2340 Mödling|Bahnstraße"
16.295750,48.094320,"7451|2344 Südstadt|Gabrieler Straße"
16.296340,48.104940,"9378|2345 Brunn Am Gebirge|Jakob-Fuchs-Gasse"
16.296510,48.108900,"7452|2345 Brunn Am Gebirge|Jakob-Fuchs-Gasse"
16.297230,48.076910,"7387|2340 Mödling|Südtiroler Gasse"
16.301055,48.121279,"22490|2345 Brunn Am Gebirge|Hötzendorf-Straße $0x898e9a58$"
16.302071,48.116195,"21407|2345 Brunn Am Gebirge|Heideweg $0x8184859250$"
16.309440,48.082650,"7453|2351 Wiener Neudorf|Friedrich-Schiller-Straße"
16.322280,48.085360,"17246|2351 Wiener Neudorf|Hauptstraße $0x82818951$"
16.329070,48.084080,"7454|2351 Wiener Neudorf|Hauptstraße $0x7c7f804a$"
16.339080,48.084530,"7455|2362 Biedermannsdorf|Ortsstraße"
16.348980,48.083120,"7456|2362 Biedermannsdorf|Ortsstraße"
16.350720,48.063720,"7457|2361 Laxenburg|Guntramsdorfer Straße $0x767a44$"
16.356130,48.070670,"7458|2361 Laxenburg|Wiener Straße"
16.469070,48.198950,"5659|1220 Wien|Biberhaufenweg $0x7f824d$"
16.473110,48.201980,"9369|1220 Wien|Biberhaufenweg $0x76757b44$"
16.479820,48.251440,"7413|1220 Wien|Breitenleer Straße"
16.486610,48.251400,"9382|1220 Wien|Breitenleer Straße"
16.495690,48.251110,"7414|1220 Wien|Breitenleer Straße"
16.500060,48.251320,"7415|1220 Wien|Breitenleer Straße"
