; Europa-Austria-Blitzer: Blitzer-70_NF.asc
; POIs from NaviFriends.com - Release: 27.05.2009
; Send informations about POIs to info@NaviFriends.com
; Free download only from www.NaviFriends.com. Not for sale!
; (C) by NaviFriends.com - free for private use

11.206350,47.413203,"21431|6105 Leutasch - Unterkirchen|L14 $0x8c8d8c5a$"
12.884130,46.863630,"4220|9841 Winklern|B106"
13.070960,47.764950,"4523|5020 Salzburg|Alpenstraße $0x848a8653$"
13.071460,47.763780,"9256|5020 Salzburg|Alpenstraße $0x76787343$"
13.198640,46.932130,"4217|9821 Obervellach|B106"
13.471860,46.628570,"4213|9615 Förolach|B111"
13.780060,46.649104,"20379|9722 Weissenstein - Weissenbach|B100-Drautalstraße $0x768b49$"
13.976930,48.209170,"1864|4611 Haiding|B137 $0x85888854$"
14.105800,46.632390,"4525|9210 Töscling->Velden Am Wörther See|B83"
14.248330,48.240243,"7376|4050 Langholzfeld|Wiener Bundesstraße $0x888b9553$"
14.287047,46.589583,"18878|9073 Klagenfurt - Neudorf|B91 Rosentaler Straße $0x7f7e4c$"
14.293255,46.595936,"18879|9073 Klagenfurt|B91-Rosentaler Straße $0x8a919a58$"
14.295600,48.166070,"4527|4502 Kurzenkirchen|1374 $0x73727141$"
14.313380,48.182720,"4528|4490 Kurzenkirchen->Mickstetten|Oberfraunleiten"
14.327920,48.150080,"4529|4491 Ruprechtshofen->Niederneukirchen|L564"
14.333360,48.156990,"4530|4491 Niederneukirchen|L564 $0x797c47$"
14.339510,48.165060,"4531|4491 Niederneukirchen|L564 $0x8a898858$"
14.343760,48.171920,"4532|4491 Niederneukirchen->Enzing|L564"
14.347560,48.119900,"4533|4493 Weichdtetten->Losensteinleiten|L564"
14.348620,48.287790,"4534|4221 Linz->Steyregg|B3"
14.360810,48.113210,"4535|4493 Losensteinleiten|L564 $0x8b8a8858$"
14.364150,48.105130,"4536|4493 Losensteinleiten->Niederlindach|L564"
14.365440,48.100670,"4537|4493 Niederlindach|L564 $0x72787141$"
14.365490,48.097990,"4538|4493 Niederlindach|L564 $0x87898954$"
14.370390,48.082160,"4539|4493 Wolfern|Linzer Straße"
14.382110,48.071650,"4540|4493 Wolfern|Steyrer Straße"
14.384940,48.068130,"4541|4493 Radin->Bings|Steyrer Straße $0x84848351$"
14.449060,46.641100,"4212|9131 Pubersdorf->Poggersdorf|B70 $0x8b8252$"
14.549530,46.655530,"4215|9100 Eiersdorf->A2|B7ß0"
14.629410,46.662970,"4218|9100 Völkermarkt|B70"
14.631459,47.173383,"9258|8750 Judenburg|Anschlussstelle Kudenburg West $0x73747841$"
14.834690,46.814970,"4543|9431 Kleinedling|B70 $0x838b8252$"
15.021850,47.395050,"4544|8792 Sankt Peter-Freienstein|Hessenbergstraße"
15.117712,47.054140,"20574|8582 Rosental An Der Kainach|B70-Hauptstraße $0x7b827949$"
15.180680,48.755840,"4545|3902 Vitis|B20"
15.321530,48.773400,"4546|3841 Lichtenberg|B50 $0x84888b53$"
15.371459,46.984463,"22919|8141 Unterpremstätten|B70-Packerstraße $0x8a89919a58$"
15.499093,46.766384,"20680|8451 Heimschuh|B74 $0x7d7c828d4b$"
15.564163,47.971133,"19139|3184 Lehenrotte|B20 $0x7b7a7c49$"
15.617810,48.427770,"17238|3500 Krems|B37 $0x7d85854c$"
15.638390,48.404170,"4211|3500 Krems An Der Donau|S5 $0x767d7444$"
15.707020,48.046912,"19291|3162 Sankt Veit An Der Gölsen - Rainfeld|B18-Gölsentalstraße $0x807e4a$"
15.805660,48.035160,"4547|3170 Gstettl|B18"
16.008740,48.297180,"4548|3442 Judenau-Langenrohr|B19 $0x737341$"
16.010480,48.298860,"4549|3442 Langenrohr-Judenau|B19 $0x85838653$"
16.101530,47.399800,"4550|7423 Sinnersdorf|B63 $0x7277718341$"
16.192030,47.781330,"4208|2700 Neunkirchen->A2|B17"
16.226900,47.808290,"4219|2700 Wiener Neustadt|B26"
16.252500,48.199990,"4551|1130 Wien|B1-Wientalstraße $0x7e7e7f7b804d$"
16.261160,47.807170,"7340|2700 Wiener Neustadt|B53-Neudörfler Straße $0x7677768745$"
16.261660,47.939170,"8897|2525 Günselsdorf|Wiener Neustädter Straße $0x74767141$"
16.262780,47.948890,"8896|2525 Günselsdorf|B17 $0x78767b46$"
16.340690,48.155680,"4209|1100 Wien|B17-Triester Straße $0x7a7d48$"
16.344640,48.161130,"4210|1100 Wien|B17-Triester Straße $0x7b797c49$"
16.614690,48.312690,"9259|2231 Strasshof An Der Nordbahn|B8 $0x909059$"
16.624250,48.314160,"9377|2231 Strasshof An Der Nordbahn|B8 $0x91919c5a$"
16.647450,48.579230,"4553|2193 Höbersdorf|B7 $0x888d55$"
16.653490,48.320330,"9257|2231 Strasshof An Der Nordbahn|B8-Hauptstraße Silberwald $0x8e899957$"
16.667910,48.320870,"4214|2231 Strasshof An Der Nordbahn|B8"
