; Europa-Austria-Blitzer: Blitzer-Abstand-m_NF.asc
; POIs from NaviFriends.com - Release: 27.05.2009
; Send informations about POIs to info@NaviFriends.com
; Free download only from www.NaviFriends.com. Not for sale!
; (C) by NaviFriends.com - free for private use

9.635212,47.345110,"18567|6840 Götzis|A14-E60 $0x7a818b49$"
11.807292,47.404407,"21339|6200 Wiesing|A12 $0x8c8a9856$"
12.036305,47.485107,"21330|6300 Wörgl|A12 $0x78768341$"
13.088686,47.850837,"18894|5300 Hallwang|A1"
13.114822,47.853933,"18893|5301 Eugendorf|A1 $0x908d9b59$"
13.167350,47.852687,"18892|5301 Eugendorf|A1 $0x8584889654$"
13.224689,47.853280,"20735|5303 Thalgau|A1 $0x82898750$"
13.437107,47.867536,"20736|4882 Oberwang|A1 $0x787e778947$"
13.635803,47.954790,"18895|4861 Reibersdorf|A1"
13.876913,48.003218,"18896|4655 Hötzelsdorf|A1"
14.830378,46.881311,"8839|9400 Oberleidenberg|A2 $0x87878d82879654$"
15.315463,46.977607,"13279|8501 Lieboch|A2 $0x8282899351$"
15.368377,46.953160,"23085|8143 Dobl|A2 $0x809553$"
15.432149,46.968735,"20533|8141 Zettling|A9 $0x85888d9654$"
16.473494,47.827033,"21065|7051 Grosshöflein|A3 $0x8a8a8c9b59$"
