; Europa-Austria-Blitzer: Blitzer-Rotlicht_NF.asc
; POIs from NaviFriends.com - Release: 27.05.2009
; Send informations about POIs to info@NaviFriends.com
; Free download only from www.NaviFriends.com. Not for sale!
; (C) by NaviFriends.com - free for private use

9.597502,47.238894,"17924|6800 Feldkirch|L191-Hirschgraben"
13.006100,47.828510,"14776|5020 Salzburg|B155-Münchner Bundesstraße $0x858c8753$"
13.069180,47.773230,"17731|5020 Salzburg|B150-Alpenstraße $0x787a7745$"
14.021645,48.157282,"20463|4600 Wels|Ringstraße $0x87888c838a55$"
14.025677,48.163290,"20482|4600 Wels|Roseggerstraße $0x7a7b77757c47$"
14.027069,48.160680,"20481|4600 Wels|B1-Roseggerstraße $0x787975737a45$"
14.262762,46.621213,"9179|9020 Klagenfurt|Wörhtersee Südufer Straße - Villacher Straße $0x747643$"
14.290830,46.607020,"9136|9020 Klagenfurt|Südring"
14.315860,47.696210,"2926|4582 Windischgarsten|A9"
15.434630,47.069550,"16838|8010 Graz|Belgiergasse $0x908a9957$"
15.435750,47.069510,"16839|8010 Graz|Tegetthoffbrücke"
15.438323,47.066459,"22600|8010 Graz|Joanneumring $0x87888c55$"
15.445188,47.069593,"22599|8010 Graz|Opernring $0x8181844f$"
15.454074,47.073412,"22598|8010 Graz|Leonhardstraße"
15.979840,48.472850,"9114|3701 Grossweikersdorf|B4"
15.981210,48.470450,"9115|3701 Grossweikersdorf|B4"
16.354093,48.231697,"17907|1090 Wien|Währinger Gürtel $0x83874e$"
