; Europa-Austria-Blitzer: Blitzer-stillgelegt_NF.asc
; POIs from NaviFriends.com - Release: 27.05.2009
; Send informations about POIs to info@NaviFriends.com
; Free download only from www.NaviFriends.com. Not for sale!
; (C) by NaviFriends.com - free for private use

9.852249,47.142187,"18144|6700 Bludenz|Bingser Siedlung $0x8781914f$"
13.058550,47.772990,"5559|5020 Salzburg|Mˆrzger Straﬂe $0x777e768846$"
13.202830,47.819610,"7228|5322 Elsenwang|B158 $0x76797c44$"
15.221179,46.953379,"19598|8511 Rosenhof|A2 $0x73787742$"
15.332480,48.582450,"7305|3532 Peygarten-Ottenstein|B38 $0x8a908d9b59$"
15.753203,47.615379,"1946|8684 Spital Am Semmering|B306"
15.758380,47.615480,"7316|8684 Spital Am Semmering|B306"
15.827850,47.632640,"9318|2680 Spital Am Semmering - Semmering|B306"
16.096840,47.461810,"9390|8244 Sch‰ffern|A2 $0x7d83844c$"
16.098210,47.448750,"7697|8243 Dirnegg|A2 $0x858a8854$"
16.355860,48.167130,"5644|1100 Wien|Raxstraﬂe $0x74757743$"
16.428010,48.238280,"5658|1220 Wien|Wagramer Straﬂe $0x78797646$"
16.439570,48.238090,"5656|1220 Wien|Donaustadtstraﬂe $0x72747941$"
