; Europa-Belgium-Blitzer: Blitzer-120-m_NF.asc
; POIs from NaviFriends.com - Release: 27.05.2009
; Send informations about POIs to info@NaviFriends.com
; Free download only from www.NaviFriends.com. Not for sale!
; (C) by NaviFriends.com - free for private use

3.196177,50.821417,"289|8560 Wevelgem|E403 $0x79797646$"
3.243846,51.143551,"18266|8020 Oostkamp|E40 $0x7474778543$"
3.407827,50.859508,"18103|8790 Waregem|E17 $0x78758442$"
3.801299,51.046285,"18269|9070 Destelbergen|E17 $0x847d8f4d$"
3.870918,51.063127,"18270|9080 Beervelde|E17 $0x8a899654$"
4.041512,50.679542,"8225|7850 Enghien|E429 $0x87868b56$"
4.061476,50.676286,"18477|7850 Petit-Enghien|E429 $0x848a8452$"
4.091060,51.129052,"18271|9250 Waasmunster|E17 $0x90919b59$"
4.270245,50.728574,"8234|1654 Huizingen|E19 $0x757844$"
4.279491,50.746049,"18478|1654 Huizingen|E19 $0x777644$"
4.334143,50.907673,"18480|1853 Strombeek-Bever|E19 $0x8e8d5a$"
4.358680,51.086480,"17469|2850 Boom|A12 $0x81804d$"
4.405809,50.912125,"433|1800 Vilvoorde|E19 $0x909058$"
4.606930,50.861630,"478|3060 Leefdaal|E40 $0x767c778644$"
4.610510,51.207060,"17465|2520 Oelegem|E34 $0x908b9c5a$"
4.636880,51.217000,"484|2240 Zandhoven|E34 $0x86868b54$"
4.692881,51.181198,"498|2243 Pulle|E313 $0x73797a8341$"
4.717020,51.243780,"17484|2242 Zoersel|E34 $0x7e758745$"
4.736070,50.496140,"506|5020 Isnes|E42 $0x898e8a57$"
4.777000,50.494640,"14478|5020 Rhisnes|E42 $0x878c8855$"
4.807770,50.498490,"523|5080 Rhisnes|E42 $0x787c8543$"
4.823030,50.504040,"526|5080 Rhisnes|E42 $0x7d768846$"
4.899450,51.296730,"546|2350 Vosselaar|E34 $0x898d8e57$"
5.002380,50.529900,"566|5380 Hingeon|E42 $0x84848f4d$"
5.025400,50.717310,"576|4287 Lincent|E40 $0x898e899957$"
5.085776,50.964317,"19556|3545 Halen|E314 $0x83814d$"
5.188820,51.312340,"623|2400 Postel|E34 $0x7d7f7d4b$"
5.389760,50.614950,"669|4460 Gleixhe|E42 $0x7c768644$"
5.418510,50.620790,"676|4460 Les Cahottes|E42 $0x8f909c5a$"
5.435360,50.628030,"14479|4400 E42|Grace-Hollogne $0x88899553$"
5.551480,50.673110,"706|4000 Rocourt|E40 $0x777b768745$"
5.567401,50.972628,"19557|3600 Genk|E314 $0x76757e45$"
5.587370,50.679320,"8273|4041 Vottem|E40 $0x8b879755$"
5.811290,50.634560,"765|4651 Herve|E40 $0x797d7d8947$"
5.931290,50.649770,"793|4840 Welkenraedt|E40 $0x8a879452$"
