; Europa-France-Blitzer: Blitzer-130-m_NF.asc
; POIs from NaviFriends.com - Release: 27.05.2009
; Send informations about POIs to info@NaviFriends.com
; Free download only from www.NaviFriends.com. Not for sale!
; (C) by NaviFriends.com - free for private use

-0.834020,44.651940,"8154|33380 Mios|A63"
-0.428080,43.347600,"8164|64230 Lescar|A64 $0x89888e9a58$"
-0.411660,48.051300,"8165|53270 Saint-Jean-Sur-Erve|A81 $0x78777c8947$"
-0.241020,44.531740,"8166|33210 Langon|A62 $0x888e889856$"
-0.046380,48.019550,"8167|72550 Brains-Sur-Gée|A81"
0.178650,49.304470,"8168|14130 Coudray-Rabut|A132"
0.357210,44.225990,"8169|47230 Feugarolles|A62"
0.684190,49.372020,"8171|27350 Éturqueraye|A13"
0.858940,44.063930,"8174|82340 Saint-Cirice|A62"
1.094000,44.051970,"8176|82100 Castelsarrasin|A62"
1.217470,48.279820,"8177|28120 Illiers-Combray|A11"
1.842100,48.020790,"15363|45520 Chevilly|A10-Aquitaine $0x8086814f$"
1.848590,47.939020,"15364|45770 Saran|A10-Aquitaine $0x848a899553$"
1.858080,47.986290,"203|45520 Gidy|A10-Aquitaine $0x858a8954$"
1.867430,48.338300,"15365|28700 Chatenay|A10-Aquitaine $0x83859452$"
1.984280,48.567460,"8179|78730 Rochefort-En-Yvelines|A10 $0x87859351$"
2.049980,47.315050,"8183|41300 Theillay|A71 $0x7b8947$"
2.202760,47.111570,"8187|18500 Somme|A71 $0x7b797f8a48$"
2.329810,43.194190,"8192|11000 Carcassonne|A61"
2.403370,43.187180,"8194|11000 Carcassonne|A61"
2.562170,49.133550,"8195|60128 La Chapelle-En-Serval|A1 $0x7372738341$"
2.692100,49.288320,"8196|60410 Roberval|A1 $0x76777a8543$"
2.699150,49.391580,"8197|60680 Canly|A1"
2.712080,49.478290,"8198|60113 Monchy-Humieres|A1 $0x7e85858f4d$"
2.784740,49.736620,"8199|80700 Fresnoy-Les-Roye|A1 $0x7c808d4b$"
2.819940,48.521160,"8200|77720 La Chapelle-Gauthier|A5"
2.868870,50.198270,"8202|62128 Croisilles|A1 $0x7a7f7e8b49$"
2.881510,48.878180,"8203|77580 Bouleurs|A4"
2.899080,42.802387,"7879|66600 Rivesaltes|A9 $0x7b7a8b49$"
2.910210,42.830030,"8204|66600 Salses-le-Chateau|A9 $0x7d8c4a$"
2.983950,48.917070,"8205|77470 Villemareuil|A4 $0x827e8e4c$"
3.129101,43.232101,"7894|11560 Fleury|A9 $0x8d879856$"
3.222061,43.303476,"7898|34500 Beziers|A9 $0x7d7c8846$"
3.238836,43.306120,"7899|34500 Beziers|A9 $0x80798b49$"
3.246660,49.826860,"8211|02100 Saint-Quentin|A26 $0x787a7b8947$"
3.319762,43.344612,"7908|34500 Beziers|A9 $0x86879250$"
3.323850,49.056830,"7909|02400 Vaux|A4 (E50) $0x7c7c818c4a$"
3.341921,43.358393,"7910|34290 Montblanc|A9 $0x87899452$"
3.387067,43.366405,"7912|34550 Bessan|A9 $0x8c899856$"
3.437700,47.881110,"8213|89113 Guerchy|A6 $0x807f88914f$"
3.449760,49.100600,"7915|02400 Epides|A4-E50 $0x81848e4c$"
3.468107,43.395960,"7916|34510 Florensac|A9 $0x7e838c4a$"
3.572012,43.441987,"7919|34140 Meze|A9 $0x777b8644$"
3.662574,43.479342,"7921|34560 Poussan|A9 $0x8b8e55$"
3.755373,43.520545,"7923|34690 Fabregues|A9 $0x7d7b8a48$"
3.794670,43.546280,"7924|34690 Fabregues|A9 $0x80818d4b$"
3.821000,47.697320,"8219|89800 Nitry|A6 $0x8282839351$"
3.912420,47.595400,"8222|89440 Sainte-Colombe|A6"
4.025838,43.675735,"7926|34670 Saint-Bres|A9 $0x888a8d9856$"
4.056390,43.687780,"7928|34400 Lunel-Viel|A9 $0x7577798543$"
4.091990,49.204230,"8227|51500 Taissy|A4"
4.133487,43.714253,"7930|34400 Villetelle|A9 $0x7c7d7a8c4a$"
4.150301,43.723058,"7931|34400 Villetelle|A9 $0x80847e904e$"
4.155860,45.770620,"8229|42110 Cleppé|A72"
4.195050,45.633770,"8230|42600 Chalain-Le-Comtal|A72"
4.317400,47.428040,"8237|21140 Flée|A6"
4.511710,47.274100,"8242|21320 Chailly-Sur-Armancon|A6 $0x858a889654$"
4.726397,46.039614,"7948|69830 Saint-Georges-De-Reneins|A6 $0x828a819351$"
4.731635,44.382234,"7949|26700 La Garde-Adhemar|A7 $0x878d8a9856$"
4.733499,44.280343,"7950|84500 Bollene|A7 $0x8685879654$"
4.759462,44.460804,"7952|26780 Malataverne|A7 $0x8583869553$"
4.770859,46.153844,"7953|69220 Drace|A6 $0x79807c8a48$"
4.776593,44.511536,"7954|26780 Allan|A7 $0x77767e8745$"
4.793239,46.302592,"7957|71850 Charnay-Les-Macon|A6 $0x737a7b8442$"
4.805850,45.350923,"7959|38150 Salaise-Sur-Sanne|A7 $0x8187859250$"
4.812116,45.323611,"7960|38150 Chanas|A7 $0x7f8586904e$"
4.818820,46.878790,"2117|71150 Chalon|A6 $0x7f8681904e$"
4.819010,46.922550,"8247|71150 Demingny|A6 $0x7c837e8d4b$"
4.822811,46.795325,"7961|71880 Chatenoy-Le-Royal|A6 $0x858d899654$"
4.827232,45.276555,"7962|26140 Saint-Rambert-D albon|A7 $0x878a8e9856$"
4.827562,45.445611,"7963|38550 Auberives-Sur-Vareze|A7 $0x838b829452$"
4.827830,44.111960,"8248|84100 Orange|A7 $0x7c827a8c4a$"
4.832130,46.750090,"8249|71100 Chalon|A6 $0x777d768846$"
4.836542,46.961735,"7964|21190 Merceuil|A6 $0x7a827e8b49$"
4.851325,45.229404,"7965|26140 Albon|A7 $0x767a768745$"
4.863502,46.416637,"8251|71260 St Albain|A6 $0x8684889654$"
4.865880,47.012000,"7967|21200 Beaune|A6 $0x8684849654$"
4.875785,45.009594,"7969|26600 Pont-De-L isere|A7 $0x80877f914f$"
4.877684,44.087244,"7970|84350 Courthezon|A7 $0x898e899a58$"
4.887890,45.112280,"7971|26600 Chantemerle-Les-Bles|A7 $0x818084914f$"
4.888902,45.163831,"7972|26240 Saint-Barthelemy-De-Vals|A7 $0x878e889856$"
4.893350,47.046690,"7973|21550 Ladoix-Serrigny|A31 $0x7a7a7a8a48$"
4.900511,43.963341,"7975|84270 Vedene|A7 $0x767a7a8745$"
4.911876,43.937931,"7976|84310 Morieres-Les-Avignon|A7 $0x8389879452$"
5.000060,47.211926,"7977|21220 Gevrey-Chambertin|A31 $0x7d7b7b8d4b$"
5.163443,47.348215,"7984|21560 Arc-Sur-Tille|A31 $0x808682914f$"
5.172852,47.422108,"7985|21490 Brognon|A31 $0x777c768846$"
5.175594,47.390581,"7986|21310 Arceau|A31 $0x7675788644$"
5.210410,47.582820,"2133|21260 Selongey|A31 $0x767c7e45$"
5.268370,46.244030,"8266|01440 Bourg-En-Bresse|A40 $0x7275718341$"
5.527220,43.656790,"8271|13650 Meyrargues|A51"
5.574720,43.439990,"8272|13710 Balcodene|A52 $0x888f899957$"
5.579062,49.115223,"18499|55160 Haudiomont|A4-E50 $0x8a8a9158$"
5.588920,43.296140,"8274|13400 Aubagne|A52 $0x7a7e8b49$"
5.611800,43.343420,"8277|13360 Roquevaire|A52 $0x74718341$"
5.615341,49.126466,"18498|55160 Ville-En-Woëvre|A4-E50 $0x908b878e59$"
