; Europa-Germany-Blitzer: Blitzer-100-m_NF.asc
; POIs from NaviFriends.com - Release: 27.05.2009
; Send informations about POIs to info@NaviFriends.com
; Free download only from www.NaviFriends.com. Not for sale!
; (C) by NaviFriends.com - free for private use

6.141300,50.796170,"17066|52062 Aachen|A544 $0x78787f74788846$"
6.189510,50.806810,"849|52080 Würselen|A4 $0x73757a41$"
6.391825,49.491204,"17950|66706 Perl|A8 $0x757677717543$"
6.454300,51.028400,"15484|52445 Jackerath|A44 $0x88878656$"
6.514960,49.734850,"21902|54308 Langsur - Mesenich|A64 $0x868a8954$"
6.524465,49.453125,"17949|66663 Merzig - Wellingen|A8-Pellinger Tunnel $0x7a7e7d767e8a48$"
6.572070,51.031910,"16705|41517 Frimmersdorf|L116 $0x888a909957$"
6.577160,51.186700,"16890|41352 Kleinenbroich|L361 $0x7e82828f4d$"
6.581890,51.023330,"16706|41517 Bedburg|L116 $0x787d7b8947$"
6.669680,51.288960,"929|40667 Strump|A44 $0x7272788341$"
6.683209,49.776100,"17787|54292 Trier|A602 $0x86834f$"
6.684963,51.826126,"20587|46414 Rhede|B67 $0x8b8a52$"
6.722099,49.806143,"22523|54344 Kenn|A602-E44 $0x7f7a48$"
6.727228,49.807328,"22522|54344 Kenn|A602-E44 $0x86898554$"
6.755005,51.156220,"949|41469 Neuss - Derikum|A46 $0x77777e45$"
6.797548,51.184153,"17565|40589 Düsseldorf|Münchener Straße $0x74767943$"
6.803630,51.443820,"13842|47051 Duisburg|A40 $0x878e8d55$"
6.850040,50.952560,"974|50933 Köln - Müngersdorf|A1 $0x8553$"
6.851739,52.497352,"975|49843 Uelsen - Waterfall|Itterbecker Straße $0x7574758644$"
6.869920,51.332800,"2173|40885 Lintorf-Ratingen|Mühlheimer Straße $0x878d8e9856$"
6.872267,50.991247,"20811|50767 Köln - Pesch|A1 $0x8b8f56$"
6.889240,50.996450,"979|50767 Köln|A1-Koblenz $0x8a899654$"
6.906650,50.050410,"14207|54533 Hasborn|A1 $0x7b797b48$"
6.933750,51.503830,"13354|46236 Vonderort|A42 $0x80814b$"
