; Europa-Germany-Blitzer: Blitzer-100_NF.asc
; POIs from NaviFriends.com - Release: 27.05.2009
; Send informations about POIs to info@NaviFriends.com
; Free download only from www.NaviFriends.com. Not for sale!
; (C) by NaviFriends.com - free for private use

6.745680,51.270170,"14390|40474 Düsseldorf|A44 $0x847e8f4d$"
6.859930,51.168100,"14741|40597 Düsseldorf - Benrath|Münchener Straße $0x827d77818b49$"
6.890914,52.576265,"18608|49846 Hoogstede|Haftenkamper Diek $0x7a7d7949$"
6.892994,51.964753,"8658|46354 Südlohn|B70-Eschlohn $0x80854e$"
6.897394,51.971470,"9626|48703 Stadtlohn|B70-Hundewick $0x84828552$"
6.925972,52.549877,"18645|49843 Gölenkamp|Vechtetalstraße $0x7b7a7f767d48$"
6.949210,52.053530,"8661|48683 Stadtlohn-Wullen|B70 $0x7d7e8b49$"
6.974470,52.602280,"16139|49824 Neu-Gnadenfeld|Kanalstraße $0x878888848b56$"
6.997820,52.587490,"16147|49846 Lager Bathorn|Kanalstraße $0x7c7a82777e49$"
7.050760,51.880990,"16107|48734 Hochmoor|L608 $0x878d8e56$"
7.051060,51.876320,"16108|48734 Hochmoor|L608 $0x7f81844c$"
7.058610,50.922300,"8662|51107 Köln|A3-A4-A59 $0x8b8e8959$"
7.063174,51.463214,"8644|45307 Essen - Kray|A40 $0x807b4a$"
7.065350,51.332330,"15470|42551 Velbert|B224 $0x7b7f7e4a$"
7.164945,52.507702,"15693|49835 Wietmarschen|Wietmarscher Straße $0x7c837f4a$"
7.167501,51.620133,"22513|45657 Recklinghausen|A43 $0x73787a8442$"
7.177700,52.504160,"15691|49835 Wietmarschen|Wietmarscher Straße $0x8b8b8e5a$"
7.204440,52.496670,"9628|49835 Löhne|L45 $0x8e8555$"
7.209173,52.495282,"9623|49835 Löhne|Wietmarscher Straße $0x807e824d$"
7.357220,52.467930,"15057|49808 Estringen|B70 $0x8384817e809250$"
7.397530,52.100040,"14578|48565 Borghorst|B54 $0x83808250$"
7.436276,52.065032,"9615|48341 Altenberge|B54 $0x7e82864d$"
7.550980,51.941280,"8605|48143 Münster|A1 $0x748644$"
7.596890,52.578680,"15692|49838 Wettrup->Stroot|B402 $0x86878653$"
7.848060,51.774440,"9241|59227 Ahlen|Drensteinfurter Straße $0x7b7d7a4a$"
7.905410,51.926150,"15525|48351 Everswinkel->Freckenhorst|L793 $0x868c8954$"
7.979380,50.412260,"9619|65604 Gorgeshausen|A3 $0x7a7241$"
7.996930,50.409790,"9624|65604 Elz|A3 $0x838382808652$"
8.020740,51.965820,"15527|48336 Sassenberg->Warendorf|B475 $0x81824e$"
8.036850,52.025750,"15538|48336 Fuchtorf->Sassenberg|B475 $0x7e807c4b$"
8.043500,51.913160,"15336|59320 Warendorf - Westkirchen|B475-Warendorfer Straße $0x8989869856$"
8.146867,51.861072,"1160|59302 Oelde|Hauptstraße $0x73758341$"
8.221430,49.949090,"8649|55270 Marienborn|A63 $0x87889553$"
8.330290,49.033420,"8634|76187 Karlsruhe - Knielingen|B10 $0x77787444$"
8.384410,52.765680,"15257|49424 Goldenstedt|Vechtaer Straße $0x83844f$"
8.463646,53.436162,"22426|26935 Stadland|B437 $0x7d81814b$"
8.571979,51.587479,"14482|33142 Büren|L776 $0x7f80797e4b$"
8.598600,49.860510,"9614|64295 Darmstädter Kreuz|A5->A67 $0x888f9057$"
8.604280,51.762770,"15575|33129 Delbrück-Sande|B64 $0x807b47$"
8.606900,51.762680,"15573|33129 Delbrück->Sande|B64 $0x858a8753$"
8.615533,51.977747,"22405|33699 Bielefeld|A2 $0x838552$"
8.830750,51.719440,"15560|33100 Paderborn|B64 $0x888652$"
8.843610,48.527540,"8618|71149 Bondorf|L1184 $0x829452$"
8.954830,51.739610,"15526|33184 Altenbeken - Buke|B64 $0x73777941$"
9.092210,51.883420,"15537|32839 Wobbel->Steinheim|B239 $0x72777141$"
9.175620,51.745520,"8612|33034 Brakel-Bellersen|B252 $0x718341$"
9.178760,51.700570,"16054|33034 Riesel->Hembsen|B64 $0x74777442$"
9.431519,51.829579,"3951|37671 Höxter - Stahle|B64 $0x747941$"
9.602724,51.961829,"17808|37633 Dielmissen|B240 $0x868b8855$"
9.669010,50.481960,"8632|36124 Kerzell|B40 $0x8587904e$"
9.708320,51.402430,"14429|34346 Hann. Münden|A7 $0x86887f8a51$"
9.914370,52.876180,"16086|29303 Oehus|B3 $0x7c847b4b$"
9.942620,52.449950,"8653|31303 Beinhorn|B3 $0x75768341$"
9.974690,52.472760,"8631|31303 Schillerslage|B3 $0x8d849654$"
10.096200,54.356040,"8641|24103 Wik|B76 $0x7577798644$"
10.412912,53.274152,"23244|21339 Lüneburg|B4 $0x7b7b814a$"
10.442200,53.264370,"16882|21337 Lünneburg|B14 $0x8082854d$"
10.475358,52.434798,"21468|38551 Ribbesbüttel - Vollbüttel|L320-Peiner Landstraße $0x75747a44$"
10.508690,52.560930,"14797|29392 Wesendorf|B4-Lüneburger Straße $0x73787442$"
10.515350,47.778490,"8619|87647 Unterthingau-Heuwang|Oal3 $0x718341$"
10.522850,52.572744,"18489|29392 Wesendorf|Gifhorner Straße $0x807e4e$"
10.524688,53.384096,"19112|21481 Lauenburg|Papenkamp $0x888857$"
