; Europa-Germany-Blitzer: Blitzer-120-m_NF.asc
; POIs from NaviFriends.com - Release: 27.05.2009
; Send informations about POIs to info@NaviFriends.com
; Free download only from www.NaviFriends.com. Not for sale!
; (C) by NaviFriends.com - free for private use

4.967134,51.876774,"19590|4221 Hoogblokland|A27 $0x7e7d8e4c$"
6.885556,50.909162,"16267|50354 Köln|A4 $0x7a7b7f49$"
6.994052,51.201066,"23222|42781 Haan|A46 $0x8083854e$"
7.096320,50.843240,"1022|50667 Köln|A59-Anschlussstelle Lind $0x79808048$"
7.096810,50.858840,"9606|51147 Köln|A59 $0x7b81804a$"
7.625370,51.514540,"8095|59439 Rausingen|A44 $0x898a9755$"
7.680950,47.624880,"13314|79539 Lörrach|A98 $0x8757$"
7.792467,49.841828,"18901|55593 Rüdesheim|B41 $0x7f7f814d$"
8.146557,48.778824,"21090|76547 Sinzheim|A5 $0x7c7a824a$"
8.156168,48.789257,"21159|76532 Baden-Baden|A5 $0x80807f4e$"
8.418077,49.384136,"19150|67105 Schifferstadt|B9 $0x8a8f9059$"
8.424307,48.966618,"19660|76199 Karlsruhe - Rüppurr|A5 $0x847e4e$"
8.431322,48.969610,"19820|76199 Karlsruhe - Rüppurr|A5 $0x8b8a8f59$"
8.436980,48.974212,"19374|76199 Karlsruhe|A5 $0x787e45$"
8.481648,48.956077,"18757|76228 Karlsruhe - Grünwettersbach|A8 $0x78777b737a45$"
8.491214,48.947590,"18758|76228 Karlsruhe|A8 $0x898c89868d58$"
8.540230,49.436300,"16462|68219 Rheinau|A6 $0x7a817c777f49$"
8.543760,49.386210,"16463|68775 Bruhl|A6 $0x838a82808952$"
8.543780,49.385210,"16464|68775 Bruhl|A6 $0x797b7f747f46$"
8.548988,49.344403,"19185|68766 Hockenheim|B36 $0x7943$"
8.568250,49.450390,"8094|68239 Suebenheim-Friedrichsfeld|A656-Anschlussstelle Mannheim-Seckenheim $0x8a8b899b59$"
8.616458,48.915299,"19335|75236 Kämpfelbach|A8 $0x84818851$"
8.787240,53.121350,"17288|28219 Bremen - Walle|A27 $0x8b8c8b5a$"
8.817160,52.173740,"13784|32545 Bad Oeynhausen|A2 $0x737442$"
8.839444,49.255000,"14020|74889 Sinsheim|A6 $0x7c7343$"
8.849250,53.115290,"8087|28359 Bremen|A27 $0x7d7844$"
8.883750,53.100467,"18988|28357 Bremen - Horn-Lehe|A27 $0x74777a8543$"
8.895370,53.089660,"16085|28359 Bremen|A27 $0x74777343$"
8.907930,48.617440,"14318|71154 Nufringen|A81 $0x7f7b4b$"
8.915501,48.631430,"18|71116 Gärtringen - Rohrau|A81 $0x888856$"
8.986560,47.762172,"21485|78315 Radolfzell Am Bodensee|B33 $0x83818850$"
9.034790,52.220940,"1294|32457 Rinteln|A2 $0x888e8d56$"
9.070651,49.212305,"18237|74906 Bad Rappenau - Fürfeld|A6 $0x76757e45$"
9.139730,49.883780,"16372|63868 Großwallstadt|B469 $0x76767643$"
9.155860,49.861430,"16371|63868 Obernburg|B469 $0x75797d44$"
9.176690,48.573930,"17212|72124 Gniebel|B27 $0x808682914f$"
9.189467,52.217021,"21350|31749 Auetal - Bernsen|A2 $0x8a8c8e58$"
9.232936,52.228096,"21349|31749 Auetal - Rehren|A2 $0x8f8b5a$"
9.318000,49.170420,"1330|74246 Eberstadt|A81 $0x74777842$"
9.352280,48.853600,"14548|71404 Korb|B14 $0x7c7d48$"
9.378400,48.814800,"14171|71384 Endersbach|B29 $0x8084827c844e$"
9.394259,48.817091,"18602|71384 Weinstadt - Grossheppach|B29 $0x91925a$"
9.439217,49.195738,"19024|74626 Bretzfeld - Bitzfeld|A6 $0x878b8755$"
9.451650,49.197290,"13173|74626 Bretzfeld - Bitzfeld|A6 $0x847d4c$"
9.454750,48.806600,"1334|73630 Hebsack|B29 $0x75747744$"
9.503051,52.480100,"19204|31535 Neustadt Am Rübenberge|B6-Hannoveresche Straße $0x8b8d8d9c5a$"
9.504602,52.479202,"19205|31535 Neustadt Am Rübenberge|B6-Hannoveresche Straße $0x7b7d7d8c4a$"
9.559841,51.309159,"19109|34266 Niestetal - Sandershausen|A7 $0x7e86814d$"
9.624570,49.209920,"13177|74632 Neuenstein - Grünbühl|A6 $0x83838452$"
9.627289,48.699340,"18086|73035 Göppingen|B10 $0x87884f$"
