; Europa-Germany-Blitzer: Blitzer-50_NF.asc
; POIs from NaviFriends.com - Release: 27.05.2009
; Send informations about POIs to info@NaviFriends.com
; Free download only from www.NaviFriends.com. Not for sale!
; (C) by NaviFriends.com - free for private use

6.039720,50.836390,"4863|52072 Horbach|Horbacher Straße $0x7e80828f4d$"
6.047500,50.831670,"4857|52072 Hornbach|Horbacher Straße $0x77797b46$"
6.063530,51.789580,"4859|47559 Nutterden|B9 $0x8e859755$"
6.064440,51.790000,"4864|47559 Nutterden|B9 $0x8a8b56$"
6.069157,50.762018,"4865|52074 Aachen|Hohenstaufenallee $0x8e8857$"
6.073610,50.776940,"4860|52062 Aachen|Junkerstraße $0x7444$"
6.073890,50.777500,"4854|52062 Aachen|Turmstraße $0x737a7242$"
6.076530,51.072680,"9274|52525 Kirchhoven|Waldfeuchter Straße $0x72747641$"
6.081170,51.069400,"4862|52525 Kirchhoven|Waldfeuchter Straße $0x898b8d9a58$"
6.086940,50.865000,"4856|52134 Herzogenrath|Aachener Straße $0x76767944$"
6.117250,50.870510,"5122|52134 Herzogenrath|Bierstraße $0x787d7a8846$"
6.118420,50.843490,"16056|52146 Bardenberg|L223 $0x8b8c8d9c5a$"
6.130590,50.831040,"14123|52146 Würselen|Krefelder Straße $0x888f57$"
6.146190,51.803910,"6797|47533 Kleve|Briener Straße $0x8082818f4d$"
6.157230,51.209440,"4944|41372 Elmpt|Hauptstraße $0x8d889755$"
6.157670,50.992420,"5425|52511 Geilenkirchen-Kraudorf|Martin Heyden Straße $0x7e818d4b$"
6.163770,51.804740,"5522|47533 Kleve|Postdeich $0x8b918f9c5a$"
6.180280,50.879500,"6808|52477 Schaufenberg|Siersdorfer Strße $0x8b899755$"
6.181110,50.704440,"4966|52076 Walheim|Schleidener Straße $0x82899351$"
6.185650,50.713050,"4967|52062 Walheim|Schleidener Straße $0x7e868f4d$"
6.186390,50.881110,"9362|52477 Schaufenberg|Siersdorfer Straße $0x82838e4c$"
6.192490,51.277440,"4936|41379 Bracht|Brüggener Straße $0x777f8846$"
6.199830,50.781030,"5577|52222 Atsch|Sebastianusstraße $0x8385904e$"
6.201659,51.247001,"20944|41379 Brüggen - Woltersheide|Boisheimer Straße $0x888c9654$"
6.201825,50.637601,"19061|52159 Roetgen|B258-Bundesstraße $0x73737a42$"
6.204050,51.054610,"5375|41836 Millich|Roermonder Straße $0x8280844f$"
6.205400,50.678130,"5394|52159 Rott|Roetgener Straße $0x868c9654$"
6.208610,50.635280,"4968|52159 Roetgen|B258 $0x747b7a42$"
6.213920,50.725610,"5596|52223 Breinig|Stockemer Straße"
6.218381,51.335515,"19259|41334 Nettetal - Leuth|B221-Kaldenkirchener Straße $0x827f4e$"
6.226630,50.850350,"14125|52249 Kinzweiler|K10 $0x8e8c9957$"
6.229170,50.763890,"4869|52223 Stolberg|Aachener Straße $0x78768745$"
6.234304,50.626397,"19062|52159 Roetgen - Fringshaus|B258 $0x72727941$"
6.234829,50.626225,"19063|52159 Roetgen - Fringshaus|B258 $0x76747b43$"
6.236670,50.798890,"5599|52249 Eschweiler - Waldschule|Stolberger Straße $0x8f8b5a$"
6.237500,50.736840,"16461|52223 Breinig|Breiniger Berg $0x8c8b848b56$"
6.242850,51.462990,"13359|47638 Auwelt|Arcener Straße $0x8a8c8e59$"
6.242960,51.535530,"15669|47608 Lullingen|An De Klus $0x757a8543$"
6.243570,51.224070,"15664|41366 Sankt Anton|Polmannsstraße $0x898d8e9a58$"
6.245190,51.222270,"5521|41366 Sankt Anton|Linde $0x8d8d919c5a$"
6.260270,50.529820,"4969|52156 Höfen|B258-Hauptstraße $0x72717a6f7541$"
6.261070,50.594940,"5337|52156 Konzen|L106 $0x7372758442$"
