; Europa-Germany-Blitzer: Blitzer-60_NF.asc
; POIs from NaviFriends.com - Release: 27.05.2009
; Send informations about POIs to info@NaviFriends.com
; Free download only from www.NaviFriends.com. Not for sale!
; (C) by NaviFriends.com - free for private use

6.500040,50.794980,"9263|52351 Düren|Euskirchener Straße $0x797b7d48$"
6.502780,50.792220,"9267|52349 Düren|Euskirchener Straße $0x76747843$"
6.750560,51.200280,"4646|40217 Düsseldorf|B1-Südring $0x938a5a$"
6.861790,51.493070,"13358|46049 Oberhausen|Konrad-Adenauer-Allee $0x7b4b$"
6.864300,51.499230,"13357|46045 Oberhausen|Konrad Adenauer-Allee $0x737a7242$"
6.885280,50.832780,"4629|50321 Brühl|Theodor-Heuss Straße $0x8a8c8e9b59$"
6.967919,50.958501,"18948|50735 Köln - Riehl|B55a-Innere Kanalstraße $0x817e874e$"
6.991390,51.398890,"4589|45127 Werden|Bredeneyer Straße $0x85878954$"
6.991640,51.016260,"14679|51373 Leverkusen|B8-Friedrich-Ebert-Straße $0x88898c55$"
7.056959,51.743930,"17833|46286 Dorsten|Lippramsdorfer Straße $0x74747443$"
7.089880,51.521490,"14965|45879 Gelsenkirchen|Kurt-Schumacher-Straße $0x868a8d838c55$"
7.092630,51.516800,"4613|45879 Gelsenkirchen|Kurt-Schumacher-Straße $0x78787c45$"
7.110000,50.649720,"4633|53343 Pech|L158-Pecher Straße $0x7c7d48$"
7.193060,50.081480,"4599|56820 Nehren|B49 $0x837a8c4a$"
7.215280,52.013890,"4156|48720 Osterwick|L555 $0x8b8c57$"
7.217220,52.014440,"4024|48720 Osterwick|L555 $0x87878a55$"
7.244220,50.646450,"15677|53604 Bad Honnef|L144-Schmelztalstraße $0x7e7d8e4c$"
7.265140,51.952460,"14017|48727 Osthellen|L580-Osthellermark $0x7242$"
7.382980,51.698350,"15459|59399 Olfen|B235 $0x8d8d9856$"
7.430617,50.842750,"4580|53809 Ruppichteroth - Schönenberg|B478 $0x86858353$"
7.433170,51.033600,"6953|51789 Kaiserau|Kaiserau $0x7b7b7e49$"
7.515280,51.197500,"4631|58553 Halver|B229 $0x80814c$"
