; Europa-Germany-Blitzer: Blitzer-70-m_NF.asc
; POIs from NaviFriends.com - Release: 27.05.2009
; Send informations about POIs to info@NaviFriends.com
; Free download only from www.NaviFriends.com. Not for sale!
; (C) by NaviFriends.com - free for private use

6.116170,51.013840,"17136|52525 Geilenkirchen-Blauenstein|B 221 $0x787d79757f47$"
6.147429,50.818277,"19812|52146 Würselen|Willy-Brand-Ring $0x898b899a58$"
6.158454,51.244632,"19658|41379 Brüggen|Swalmener Straße $0x7b7a8846$"
6.192304,51.233022,"21006|41372 Niederkrüchten|B221-Brüggener Straße $0x797f7a8a48$"
6.194761,51.238439,"21007|41379 Brüggen|B221 $0x77768644$"
6.199749,50.755169,"17975|52223 Stolberg - Büsbach|Aachener Straße $0x868551$"
6.208120,51.158690,"855|41844 Dalheim|B221-Heiderstraße $0x7f4f$"
6.209440,50.761110,"7520|52223 Stolberg - Büsbach|Aachener Straße $0x6e8341$"
6.212240,51.182110,"856|41372 Niederkrüchten|B221-Aachener Straße $0x7e857d4d$"
6.239050,50.925910,"17065|52457 Freialdenhoven|B56 $0x74767a71738543$"
6.259110,51.068560,"17035|41836 Houverath|L227-Hückelhovener Straße $0x86827c854e$"
6.260150,51.068960,"17594|41812 Hückelhoven-Houverath|L227-Hückelhovener Straße $0x8082817c864e$"
6.262830,51.092160,"16135|41812 Hoven|L19 $0x87834e$"
6.267017,50.731435,"17851|52224 Stolberg - Vicht|Münsterau $0x79807a767c48$"
6.271240,51.072830,"16806|41812 Erkelenz - Matzerath|Hückelhovener Straße $0x7b78737a45$"
6.275770,51.014300,"3988|41836 Rürich|B57 $0x7379758442$"
6.276530,51.090270,"16136|41812 Erkelenz|L19-Gerderather Landstraße $0x777c7d45$"
6.279339,51.069185,"19837|41812 Erkelenz - Hetzerath|Hohenbuscher Straße $0x7e8f4d$"
6.286860,51.077480,"17593|41812 Erkelenz-Matzerath|L227-Hückelhovener Straße $0x878a8d838755$"
6.305430,51.317100,"21003|41334 Nettetal|B509-Am Schlibecker Berg $0x7f818c4a$"
6.315215,51.320549,"21004|47929 Grefrath|B509 $0x8487904e$"
6.328501,51.337632,"18824|47929 Grefrath|L39-Wankumer Landstraße $0x777c7746$"
6.374010,50.954920,"15331|52428 Mersch|B55 $0x868c8755$"
6.375620,50.952790,"15330|52428 Mersch|B55 $0x8b888c58$"
6.390900,50.946900,"13031|52428 Jülich-Welldorf|Jülicher Straße $0x8e859755$"
6.398400,50.948100,"13032|52428 Jülich-Welldorf|Jülicher Straße $0x8c839553$"
6.419400,50.942200,"13033|52428 Jülich - Welldorf|B55 $0x7b7943$"
6.420608,50.226618,"23384|54595 Prüm|B265 $0x838850$"
6.427950,51.042040,"16805|41812 Immerath|L19 $0x7f81767b48$"
6.430130,51.042290,"17572|41812 Immerath|L19-L 277 $0x8084854e$"
6.432370,51.327540,"21605|47918 Tönisvorst|L361-Schmitzheide $0x83878a9452$"
6.443454,51.311061,"21608|47918 Tönisvorst|L475-Sankt-Töniser-Straße $0x808185904e$"
6.458153,50.899097,"22422|52382 Niederzier - Hambach|L255 $0x7e7d7f4b$"
6.466220,51.374480,"13768|47906 Sankt Hubert|Tönisberger Straße $0x8b8d8958$"
6.467800,51.367820,"17539|47906 Kempen|Königshütte $0x868b8b9755$"
6.473880,50.950370,"883|52445 Rodingen|B55 $0x807f824f$"
6.477650,51.305000,"14389|47918 Tönisvorst|L379-Düsseldorfer Straße $0x7f86804e$"
6.478510,50.949310,"13034|52445 Rödingen|B55 $0x7c827e4a$"
6.491837,51.372014,"20271|47839 Krefeld - Hüls|B9-Venloer Straße $0x808581914f$"
6.493308,51.391354,"20272|47839 Krefeld - Hüls|B9-Venloer Straße $0x8c8a8d5a$"
6.526497,51.292711,"22553|47804 Krefeld - Forstwald|Gladbacher Straße $0x7d7c4c$"
6.526528,51.101604,"9537|41363 Jüchen|Neusser Straße $0x7b7242$"
