; Europa-Germany-Blitzer: Blitzer-80-m_NF.asc
; POIs from NaviFriends.com - Release: 27.05.2009
; Send informations about POIs to info@NaviFriends.com
; Free download only from www.NaviFriends.com. Not for sale!
; (C) by NaviFriends.com - free for private use

6.168334,50.804765,"21428|52146 Würselen|A4 $0x7a7e7d48$"
6.593120,49.459813,"19858|66663 Merzig - Schwemlingen|A8 $0x81818b49$"
6.715736,51.233175,"22379|40549 Düsseldorf - Heerdt|B7-Brüsseler Straße $0x8a898c59$"
6.721190,51.233950,"16396|40549 Düsseldorf|Brüsseler Straße $0x777b7d45$"
6.741400,49.341800,"13990|66740 Dillingen|A8 $0x7a7f7848$"
6.742700,51.283900,"3584|40217 Düsseldorf|B8N-Danziger Straße $0x888d899957$"
6.749980,51.272160,"14236|40217 Düsseldorf|Danziger Straße $0x7e7f7b4b$"
6.768430,51.477230,"16867|47138 Duisburg|A59 $0x78807a8947$"
6.772150,51.244800,"14212|40476 Düsseldorf - Golzheim|B1-Kennedydamm $0x767545$"
6.775500,51.277130,"3621|40468 Düsseldorf|A44 $0x7d7c7b4b$"
6.809540,51.193330,"13861|40591 Düsseldorf - Wersten|A46 $0x83888951$"
6.835600,49.244100,"13991|66333 Völklingen|A620 $0x787a7c47$"
6.839220,51.446730,"13800|45476 Mülheim an der Ruhr|A40 $0x888150$"
6.846310,51.450130,"13801|45476 Mülheim an der Ruhr|A40 $0x85848853$"
6.866200,49.248500,"13992|66333 Völklingen|A620 $0x82878050$"
6.881090,51.159390,"17477|40597 Düsseldorf|Frankfurter Straße $0x72767a41$"
6.993470,49.258880,"9529|66111 Saarbrücken|A623 $0x859755$"
6.993840,49.264910,"14898|66111 Jägersfreude|A623 $0x79788047$"
7.035590,51.624890,"16830|45768 Marl - Polsum|A52 $0x7645$"
7.036640,51.597470,"1008|45896 Gelsenkirchen|A52-B224 $0x8454$"
7.040001,50.952873,"18012|51109 Köln - Merheim|B55a oder A4 $0x8c918b5a$"
7.055415,50.951644,"20527|51109 Köln - Merheim|A4 $0x7c827d4a$"
7.057219,50.750498,"22015|53119 Bonn|A555 $0x7a7b7e49$"
7.072069,50.718048,"1016|53127 Bonn|A565 $0x82854d$"
7.236646,51.459610,"13977|44799 Bochum - Wiemelhausen|L705-Nordhausenring $0x7d807f4b$"
7.239800,51.460500,"13978|44799 Bochum|L705-Nordhausenring $0x81824d$"
7.266590,51.955787,"20972|48727 Billerbeck|Alstätte $0x79777c8947$"
7.275290,50.528610,"13930|53498 Sinzig|B9 $0x84878453$"
7.276220,50.528370,"13934|53498 Sinzig|B9 $0x7d7b7f4a$"
7.348301,49.248550,"22028|66482 Zweibrücken|A8 $0x78787e47$"
7.351151,49.706792,"18903|55743 Idar-Oberstein|B41 $0x89899755$"
7.407900,51.462920,"1078|44227 Dortmund - Hombruch-Südwest|A44 $0x878851$"
7.462588,49.707950,"18899|55758 Oberreidenbach|B270 $0x808182914f$"
7.517210,51.522730,"1091|44143 Dortmund|B236 $0x858b8a54$"
7.522300,51.507870,"17788|44141 Dortmund|B236 $0x868555$"
7.538275,49.219355,"22369|66989 Höheischweiler|A8 $0x8d8957$"
7.559262,49.394451,"22409|66849 Landstuhl|A62"
7.565800,50.329020,"3624|56075 Koblenz|B327 $0x7d9250$"
7.570250,51.988500,"13707|48159 Münster|B54 $0x7f7c8846$"
7.687130,51.626340,"13779|59077 Bergkamen|A1 $0x757b7744$"
7.689310,51.619991,"13780|59192 Bergkamen|A1 $0x858a8c54$"
7.693086,49.808125,"2184|55596 Waldböckelheim|B41 $0x888a9351$"
7.742790,49.455450,"1121|67659 Kaiserslautern|A61 $0x8b859654$"
7.751640,49.456440,"14769|67659 Kaiserslautern|A6 $0x8c909088915a$"
7.812847,48.000977,"19751|79115 Freiburg Im Breisgau - Weingarten|B31 $0x77787f46$"
7.881502,47.984638,"19921|79117 Freiburg Im Breisgau - Waldsee|B31l $0x7e847f4c$"
7.890382,47.983045,"19922|79117 Freiburg Im Breisgau - Waldsee|B31 $0x81808350$"
7.908692,47.979437,"19775|79117 Freiburg Im Breisgau - Littenweiler|B31 $0x79807847$"
7.911489,47.979148,"19776|79117 Freiburg Im Breisgau - Littenweiler|B31 $0x77767946$"
7.944594,49.891408,"21128|55457 Gensingen|B41 $0x8b8856$"
8.080722,50.017576,"20347|65346 Eltville Am Rhein|B42 $0x7d81848d4b$"
8.139943,53.108255,"3599|26203 Wardenburg - Süd Moslesfehn|B401 $0x91909b59$"
8.182256,49.795860,"19613|55239 Gau-Odernheim|L436-Ausserhalb $0x8785869755$"
8.191470,53.144120,"14118|26129 Oldenburg|A28 $0x8587828a54$"
8.217090,50.175180,"17644|65232 Taunusstein-Neuhof|B417 $0x7b7a7e8a48$"
8.228021,53.163081,"3603|26123 Oldenburg (Oldb.) - Donnerschwee|K347 $0x79797e8a48$"
8.327084,50.537970,"22470|35619 Braunfels - Tiefenbach|B49 $0x78788644$"
8.334995,48.953166,"19274|76287 Rheinstetten|Ettlinger Weg $0x8e8d9755$"
8.337910,50.806410,"16871|35713 Eibelshausen|B253"
8.351620,50.808350,"16872|35713 Eschenburg - Eibelshausen|B253 $0x8487904e$"
8.356203,49.496946,"17646|67227 Frankenthal|B9 $0x888e8d57$"
8.357450,49.489190,"15439|67071 Ludwigshafen Am Rhein - Oggersheim|B9 $0x767c7945$"
8.359210,49.613460,"3585|67547 Worms|L523 $0x8a838855$"
8.361340,49.463310,"17558|67059 Mutterstadt|B6-Kreuz Mutterstadt $0x83898752$"
8.361491,49.516107,"18160|67227 Frankenthal (Pfalz)|B9 $0x898955$"
8.366950,49.529820,"20641|67227 Frankenthal (Pfalz)|B9 $0x7d7f804a$"
8.367150,50.817390,"16873|35713 Simmersbach|B253 $0x7f7c8d4b$"
8.373389,48.996227,"18829|76185 Karlsruhe|B10-K9657 $0x81848450$"
8.389640,50.841630,"16874|35713 Roth|B253"
8.391790,49.536920,"16128|67069 Ludwigshafen Am Rhein - Pfingstweide|B9 $0x787c7946$"
8.394290,49.547950,"8663|67227 Pfingstweide|B9 $0x8b8e9c5a$"
8.396994,49.556645,"22691|67069 Ludwigshafen Am Rhein|B9 $0x8856$"
8.416370,48.993858,"18860|76137 Karlsruhe|B10 $0x7b7e7f49$"
8.458909,50.020208,"17894|65479 Raunheim|B43 $0x898754$"
8.550405,50.049586,"22041|60549 Frankfurt Am Main|B43 $0x7e7e7c4c$"
8.551259,51.942489,"22220|33659 Bielefeld|A33 $0x747b73707742$"
8.570330,50.266360,"15214|61348 Bad Homburg|B456-Saalburgchaussee $0x86838c53$"
8.588594,53.182736,"18683|28779 Bremen - Blumenthal|A270 $0x83848852$"
8.604465,53.180873,"18684|28755 Bremen - Vegesack|A270 $0x80857f4e$"
8.608351,53.181067,"18685|28755 Bremen - Vegesack|A270 $0x817948$"
8.629875,53.178723,"18686|28757 Bremen - Vegesack|A270 $0x8a918f58$"
8.644034,50.605078,"19397|35435 Wettenberg|A480 $0x85888453$"
8.649557,53.173931,"18687|28757 Bremen - Vegesack|A270 $0x75747d8644$"
8.652536,50.757638,"21150|35102 Lohra - Willershausen|B255 $0x817c777e49$"
8.668910,53.171855,"18688|28759 Bremen - Burglesum|A270 $0x84888352$"
8.699710,50.008260,"14516|63303 Dreieich - Sprendlingen|A661 $0x8c92878959$"
8.704370,53.175740,"3620|28717 Bremen|A270 $0x78788543$"
8.726253,53.144252,"19003|28719 Bremen - Burglesum|A281 $0x8f8c9c5a$"
8.736420,50.723950,"1262|35096 Roth|B3 $0x777c7f46$"
8.746361,50.763388,"20862|35096 Weimar (Lahn) - Niederweimar|B3 $0x79777d47$"
8.748400,48.924390,"3535|75172 Eutlingen-Kieselbronn|A8 $0x8d8454$"
8.776549,48.718938,"21649|75382 Althengstett|B295 $0x858b9553$"
8.777968,48.720857,"21648|75382 Althengstett|B295 $0x76748543$"
8.789753,48.734360,"21647|75382 Althengstett - Neuhengstett|B295 $0x8a8b9a58$"
8.814780,50.612890,"14383|35418 Großen-Buseck|A480 $0x7f82864e$"
8.816470,48.249720,"17659|72336 Erzingen|B27 $0x8a8c9755$"
8.886562,51.297898,"18805|34497 Korbach|B252 $0x868353$"
8.983840,52.216860,"1288|32457 Auf Der Luchte-Rinteln|A2 $0x908857$"
9.014916,48.908486,"20665|71665 Pulverdingen|B10 $0x76787945$"
9.044160,49.975900,"15767|63811 Stockstadt|B469 $0x7c7e81777b49$"
9.050090,49.980800,"3627|63811 Stockstadt am Main|B469 $0x767442$"
9.053470,49.955740,"13386|63811 Stockstadt Am Main|B469 $0x77787d44$"
9.111140,48.767560,"17056|70178 Stuttgart|L1180-Wildparkstraße $0x77747b44$"
9.116450,48.760750,"1304|70178 Stuttgart|B14 $0x7b8d4b$"
9.162821,48.706242,"20402|70565 Stuttgart - Fasanenhof|A8-Abfahrt $0x89888a58$"
9.163340,49.991110,"16252|63741 Aschaffenburg|A3 $0x8185874f$"
9.165870,49.154410,"16859|74078 Heilbronn-Frankenbach|Leintalstraße $0x82858e4c$"
9.175610,48.545650,"1311|72764 Reutlingen-Altenburg|B464 $0x81858750$"
9.182227,49.188172,"18582|74078 Heilbronn|K9560 $0x7e7a8947$"
9.190890,48.852100,"14005|70806 Kornwestheim|B27 $0x8c8c8f5a$"
9.260000,48.847720,"3532|70736 Oeffingen|Hohenstraße $0x91889a58$"
9.297124,47.689035,"20603|88719 Stetten|B31 $0x76757b45$"
9.354020,53.296150,"16207|27404 Ahof|L142-Zevener Straße $0x84878b52$"
9.420911,48.589709,"22976|73277 Owen|K1243 $0x7375798442$"
9.449280,52.523560,"3533|31535 Neustadt Am Rübenberge - Himmelreich|B6 $0x8080854d$"
9.462152,52.513797,"19203|31535 Neustadt Am Rübenberge|B6-Bremer Straße $0x7b7c838c4a$"
9.505825,47.697848,"22675|88048 Friedrichshafen - Habratsweiler|Habratsweilerstraße $0x8e8c9c5a$"
9.514480,53.895970,"15237|25524 Breitenburg - Nordoe|A23 $0x827f7f4f$"
9.519515,51.256957,"19780|34277 Fuldabrück - Bergshausen|A7-A44 $0x7d7e4a$"
9.577813,53.947147,"18362|25551 Schlotfeld - Kleinösau|B206-Kieler Landstraße $0x7a7e45$"
9.585438,53.949427,"19551|25551 Schlotfeld - Kleinösau|B206-Klein Ösau $0x8b86838555$"
9.585626,50.839651,"21959|36275 Kirchheim|A4 $0x76797d44$"
9.628110,52.222770,"17702|31832 Springe-Völksen|B217 $0x8a888c58$"
9.629310,52.223660,"17730|31832 Springe-Völksen|B217 $0x8c8b868d58$"
9.659810,50.885660,"16823|36251 Allmershausen|B324 $0x7271788341$"
9.662110,48.583970,"1347|73347 Ausfahrt Mühlhausen|A8 $0x7c7c804b$"
9.665186,52.428074,"9226|30419 Hannover - Stöcken|A352 - A2 $0x838b8a52$"
9.665570,48.581380,"14115|73347 Mühlhausen|A8 $0x85898454$"
9.689170,52.387610,"9225|30419 Hannover|Westschnellweg $0x787c798947$"
9.721400,52.439880,"1349|30851 Langenhagen|Flughafenstraße $0x8a8b8a57$"
9.727024,53.620911,"20421|25488 Holm|Pinneberger Straße $0x7473748442$"
9.735875,50.804861,"21471|36166 Haunetal - Hermannspiegel|B27 $0x7a817a8b49$"
9.768345,53.581586,"20423|22559 Hamburg - Rissen|B431-Sülldorfer Landstraße $0x72717341$"
9.794354,54.794203,"19129|24972 Habernis|Na de Huuk $0x797b46$"
9.797050,52.351690,"14656|30519 Hannover|B65-Südschnellweg $0x858987818653$"
9.799890,52.542160,"3534|30900 Wietze|A352->A7 $0x8c8d9a58$"
9.853500,49.860300,"9610|97291 Thüngersheim|B27 $0x87868a54$"
9.863400,50.114000,"9530|97762 Untereschenbach|B27 $0x78767a45$"
9.897266,53.555886,"22132|22605 Hamburg - Othmarschen|A7 $0x7f86844e$"
9.910860,53.616580,"17371|22527 Hamburg|A23 $0x74737841$"
9.914530,53.613540,"17373|22523 Hamburg|A7 $0x75787644$"
9.946493,49.675687,"20256|97232 Giebelstadt - Essfeld|B19 $0x7c4b$"
9.989710,51.225790,"17620|37269 Albungen|B27 $0x797d45$"
10.006535,53.639832,"22893|22415 Hamburg - Langenhorn|B433"
10.083210,53.562670,"17622|22119 Hamburg|A24 $0x8d89848b56$"
10.089250,48.323600,"1390|89250 Senden - Hittistetten|A7 $0x7d82824c$"
10.106676,54.332571,"23335|24116 Kiel - Schreventeich|B76-Olof-Palme-Damm $0x83828151$"
10.144996,47.994412,"18227|87740 Buxheim|A96 $0x78797c46$"
10.150083,47.999049,"19985|87700 Memmingen|Übergang A96 auf A7 $0x7e7f4b$"
10.150660,47.999300,"1392|87700 Memmingen|A96-A7 Autobahnkreuz Memmingen $0x79787e46$"
10.156573,53.562290,"19879|22117 Hamburg|A1 $0x8186834f$"
10.181708,52.087760,"20221|31188 Dreieck Salzgitter|A39 $0x8188807e808050$"
10.210720,48.442460,"14257|89340 Leipheim|A8 $0x74737941$"
10.213890,54.137070,"3567|24601 Missenkamp-Kielerkamp|A21-B404 $0x8586879452$"
10.276264,51.710119,"20109|37520 Osterode Am Harz|B243 $0x7e807f4d$"
10.373801,54.182406,"19224|24306 Wittmoldt - Eichhorst|B76 $0x8b898d58$"
10.377854,48.037600,"18228|87746 Erkheim|A96 $0x8b8453$"
10.380450,50.053761,"19232|97453 Schonungen - Waldsachsen|B303 $0x898c9a58$"
10.386910,48.037430,"1422|87746 Erkheim|A96 $0x82878650$"
10.406598,52.145322,"22850|38239 Salzgitter - Watenstedt|Industriestraße Mitte $0x7e7d824d$"
10.475200,50.948290,"14712|99848 Sattelstadt|A4 $0x75747744$"
10.478400,51.017800,"13753|99947 Behringen|B84 $0x84804d$"
10.480303,48.091968,"20077|87719 Mindelheim - Lohhof|B16 $0x8182864e$"
10.480509,48.091296,"20078|87719 Mindelheim - Lohhof|B16 $0x7e84854d$"
10.506610,52.247030,"1434|38100 Braunschweig|A391 $0x7e7e834d$"
10.508280,52.234940,"16701|38122 Braunschweig|A391 $0x848953$"
10.509505,52.244049,"21815|38122 Braunschweig|A391 $0x7745$"
10.585720,51.062488,"19836|99947 Bad Langensalza|B84 $0x7e7e8c4a$"
10.613364,47.985750,"19989|86825 Bad Wörishofen|St2015-Oberes Hart $0x8080844d$"
10.769600,48.206800,"14168|86830 Mittelstetten|Augsburger Straße $0x7c7a7c4a$"
10.773480,49.492015,"20790|90579 Langenzenn|B8 $0x8a898857$"
10.794547,48.697277,"20445|86609 Donauwörth - Nordheim|B16-Südspange $0x807d854d$"
10.796020,48.715940,"15140|86609 Donauwörth|B2 $0x7f807e4e$"
10.796790,48.715570,"14619|86609 Donauwörth|B2 $0x7b797f48$"
10.807520,48.648500,"17388|86690 Mertingen|ST2027 $0x87839351$"
10.833100,48.146750,"17790|86836 Klosterlechfeld|B17 $0x7b7b7b49$"
10.870150,48.400370,"16801|86150 Augsburg|B17 $0x86858454$"
10.870621,48.416137,"20620|86368 Gersthofen|B2 $0x797e7848$"
10.872634,48.412783,"20621|86368 Gersthofen|B2 $0x8283854f$"
10.906040,48.703080,"17387|86694 Rain am Lech|B16 $0x7e7a8745$"
10.924134,51.083424,"19553|99189 Andisleben|B4 $0x7e814d$"
