; Europa-Germany-Blitzer: Blitzer-Laser-100_NF.asc
; POIs from NaviFriends.com - Release: 27.05.2009
; Send informations about POIs to info@NaviFriends.com
; Free download only from www.NaviFriends.com. Not for sale!
; (C) by NaviFriends.com - free for private use

6.573272,51.735263,"21280|46499 Hamminkeln|Mehrhooger Straße $0x878d8b55$"
6.786350,51.799226,"20789|46325 Borken|Weseler Straße $0x81808f4d$"
7.126447,51.049882,"19693|51519 Odenthal - Altenberg|Altenberger-Dom-Straße"
8.122144,51.776989,"18445|59302 Oelde|B61-Beckumer Straße $0x85868b53$"
8.132006,51.780764,"18446|59302 Oelde|B61-Beckumer Straße $0x81844c$"
8.256415,47.903415,"22703|79822 Titisee-Neustadt|B31 $0x8b928959$"
8.371576,49.289000,"21615|67376 Harthausen|B9 $0x80824c$"
8.480960,47.916084,"19838|78183 Hüfingen|B31 $0x84824f$"
8.534971,47.992887,"19839|78166 Donaueschingen - Aasen|A864 $0x888b8756$"
8.606400,50.057100,"14128|60549 Frankfurt Am Main|A5 $0x777d46$"
8.726246,48.988917,"18344|75245 Neulingen - Bauschlott|B294 $0x7277798341$"
8.834944,51.091162,"22935|35066 Frankenberg (Eder)|B252 $0x7f86824e$"
9.053604,49.354376,"22312|74847 Obrigheim|B292 $0x7a7b8543$"
9.144981,48.288917,"19179|72393 Burladingen|B32"
9.242054,52.629302,"19190|31582 Nienburg (Weser)|B6 $0x7c837e4b$"
9.290770,52.141450,"16203|31840 Fischbeck|B83 $0x787b7d8947$"
9.461897,52.159034,"19163|31848 Bad Münder Am Deister - Hachmühlen|B217 $0x84868b52$"
9.470480,49.888250,"17637|97836 Aurora|ST2312 $0x737a758341$"
9.470996,49.981387,"20253|97848 Rechtenbach|B26 $0x797b7c47$"
9.593782,52.214252,"18935|31832 Springe|B217 $0x8a8c8a58$"
9.660753,49.996181,"19914|97753 Karlstadt - Wiesenfeld|St2435 $0x7d7d7e4c$"
10.036740,49.859840,"13851|97294 Unterpleichfeld|B19 $0x7b7a44$"
10.069246,47.741744,"18222|88299 Leutkirch Im Allgäu|L318 Richtung Lindau $0x888e8a57$"
10.323306,51.783859,"20139|38678 Clausthal-Zellerfeld|B241 $0x7b7b8c4a$"
10.367653,51.790564,"20110|38678 Clausthal-Zellerfeld|B242 $0x7272778341$"
10.369281,51.807703,"20220|38678 Clausthal-Zellerfeld|K38-Altenauer Straße $0x7b807c77797949$"
10.516160,54.133490,"16656|24306 Kleinmeinsdorf|B76 $0x7e837f4c$"
10.636080,48.799360,"17636|86655 Harburg - Möttingen|B25 $0x7f84858f4d$"
10.734599,52.387070,"23331|38442 Wolfsburg - Mörse|A39 $0x87858655$"
10.895480,47.785130,"15507|86971 Schongau-Peiting|B472 $0x797a7848$"
10.964220,49.890280,"17134|96129 Bamberg - Geisfeld|St2276 $0x84864d$"
11.126420,50.104180,"14269|96215 Lichtenfels Klosterlangheim|ST2203-Abteistraße $0x72727741$"
11.136890,50.103470,"14270|96215 Lichtenfels Roth|ST2203-Weismainer Straße $0x8f8c56$"
11.702300,48.251400,"14002|85737 Fischerhäuser|B388 $0x7c7d8a48$"
11.858302,51.701150,"21794|06388 Gröbzig|Bernburger Straße $0x7f84824e$"
11.878603,49.768285,"21571|92724 Trabitz - Grub|B470 $0x8086814e$"
11.937906,49.748515,"21566|92690 Pressath|B470 $0x85888a54$"
11.950264,49.737996,"21557|92690 Pressath - Troschelhammer|B470 $0x807f7d4d$"
12.209665,49.706066,"21552|92637 Theisseil - Wilchenreuth|Kreisstraße $0x8d8c8c5a$"
12.337094,49.792099,"21560|95703 Plössberg|St2172 $0x7a7d8048$"
12.898420,50.906438,"23368|09244 Lichtenau|B107-Chemnitztalstraße"
13.349185,53.928085,"21294|17126 Jarmen|A20 $0x79807a8a48$"
13.507858,51.789692,"23311|04936 Hohenbucko|B87 $0x7879778846$"
