; Europa-Germany-Blitzer: Blitzer-Laser-30_NF.asc
; POIs from NaviFriends.com - Release: 27.05.2009
; Send informations about POIs to info@NaviFriends.com
; Free download only from www.NaviFriends.com. Not for sale!
; (C) by NaviFriends.com - free for private use

6.283067,50.797232,"22450|52249 Eschweiler|Quellstraße $0x8149$"
6.302350,51.080420,"16971|41812 Erkelenz|Schulring"
6.356760,50.911370,"15358|52428 Jülich|An der Vogelstange $0x84898a9553$"
6.371376,50.920324,"22214|52428 Jülich|Lohfeldstraße $0x7b768543$"
6.499322,51.295560,"22115|47804 Krefeld - Forstwald|Stockweg $0x8b918b5a$"
6.502790,51.117670,"13749|41363 Jüchen|L31-Im Kamp $0x878b54$"
6.576560,50.983260,"16695|50181 Bedburg|Kolpingstraße $0x7c7c787f4a$"
6.577980,51.314770,"17552|47807 Krefeld|Kölner Straße $0x898c8d58$"
6.591361,51.072194,"19821|41517 Grevenbroich - Neuenhausen|Hauptstraße $0x7777798745$"
6.594570,51.544280,"13813|47495 Rheinberg|Fossastr"
6.625378,51.108976,"22083|41516 Grevenbroich - Wevelinghoven|Poststraße $0x82864e$"
6.660980,50.591830,"16921|53894 Mechernich|Feytalstraße $0x868b8a54$"
6.670215,50.937628,"19272|50127 Bergheim - Quadrath-Ichendorf|Am Wildwechsel $0x8086844e$"
6.673098,50.988443,"23379|50129 Bergheim - Niederaussem|Fortuna-Nord-Straße $0x8085864e$"
6.673554,50.936770,"19228|50127 Bergheim - Quadrath-Ichendorf|Am Wildwechsel $0x7474778543$"
6.677794,50.980559,"23382|50129 Bergheim|Oberaussemer Straße $0x8b8c8b5a$"
6.684990,51.197760,"15510|41460 Neuss|Breite Straße $0x8b8c925a$"
6.687148,50.876705,"20437|50171 Kerpen|Lothringer Straße $0x888a8c57$"
6.689310,51.185850,"17472|41464 Neuss|Bergheimer Straße $0x78807a47$"
6.692936,51.182968,"19928|41464 Neuss|Weberstraße $0x80844d$"
6.693380,50.940090,"16694|50127 Quadrath-Ichendorf|Wacholderweg $0x8b8c8f58$"
6.711411,50.992554,"22216|50129 Bergheim - Büsdorf|Fliestedener Straße $0x7578748543$"
6.737800,51.357900,"14105|47259 Duisburg|Am neuen Angerbach $0x85888a54$"
6.763790,50.549050,"16913|53902 Bad Münstereifel|Trierer Straße $0x7d837e4c$"
6.765380,51.204090,"13859|40223 Düsseldorf|Fleher Straße $0x81878750$"
6.766400,51.275300,"14108|40468 Düsseldorf|Flughafenstraße $0x81824d$"
6.789550,51.216640,"17428|40215 Düsseldorf|Helmholtzstraße $0x8b8e58$"
6.801360,51.537252,"21980|46147 Oberhausen - Sterkrade Nord|Emmericher Straße $0x8380849250$"
6.819762,51.542970,"23166|46147 Oberhausen - Sterkrade Nord|Schmachtendorfer Straße $0x87859755$"
6.824010,51.505240,"17186|46149 Oberhausen-Buschhausen|Lanterstraße $0x7e768846$"
6.824010,51.505240,"17187|46149 Oberhausen-Buschhausen|Smirockstraße $0x88878555$"
6.825330,51.494750,"17185|46149 Oberhausen-Buschhausen|Lindnerstraße $0x757b7643$"
6.831407,51.499043,"23165|46149 Oberhausen - Buschhausen|Brinkstraße $0x7278798341$"
6.847574,51.517070,"23167|46145 Oberhausen - Sterkrade|Eugen-Zur-Nieden-Ring $0x7a7b43$"
6.868166,50.928943,"21368|50858 Köln - Junkersdorf|Salzburger Weg $0x878d8d56$"
6.868307,51.174048,"19253|40599 Düsseldorf - Hassels|Süllenstraße $0x777675727944$"
6.871609,51.176373,"17499|40599 Düsseldorf - Hassels|Hasselsstraße $0x75747b43$"
6.873857,51.295741,"22717|40882 Ratingen|Hegelstraße $0x807f914f$"
6.874453,51.178566,"17497|40599 Düsseldorf - Hassels|Hasselsstraße $0x80854d$"
6.894900,51.465260,"17508|45475 Mülheim an der Ruhr|Schildberg $0x74747241$"
6.896790,51.463450,"17506|45475 Mülheim an der Ruhr|Schildberg $0x85888654$"
