; Europa-Germany-Blitzer: Blitzer-Laser-50_NF.asc
; POIs from NaviFriends.com - Release: 27.05.2009
; Send informations about POIs to info@NaviFriends.com
; Free download only from www.NaviFriends.com. Not for sale!
; (C) by NaviFriends.com - free for private use

6.185224,51.621544,"19461|47652 Weeze|Willy-Brandt-Ring $0x7272798341$"
6.230633,51.060301,"22382|41836 Hückelhoven|Gladbacher Straße $0x8a8f9b59$"
6.270358,51.216077,"20942|41366 Schwalmtal - Waldniel|Haversloh $0x83858a51$"
6.330251,51.114157,"19466|41844 Wegberg - Rath-Anhoven|B57-Gladbacher Straße $0x767e7d8745$"
6.453920,51.210190,"16307|41063 Mönchengladbach|B57-Künkelstraße $0x7b8082777e49$"
6.474430,50.832550,"14691|52353 Birkesdorf|L257 $0x80827e7c824e$"
6.492030,50.808350,"17030|52349 Düren|Schoellerstraße $0x7a7f7a49$"
6.510570,50.999040,"16690|50181 Pütz|L279-Pützer Straße $0x848a8852$"
6.543980,51.002620,"16688|50181 Bedburg|Sankt-Rochus-Straße $0x88898856$"
6.547980,51.004390,"16731|50181 Bedburg|Sankt-Rochus-Straße $0x82834d$"
6.556100,50.535720,"16907|53925 Kall|Trierer Straße $0x86848654$"
6.560240,51.833742,"19832|46395 Bocholt|Werther Straße $0x757a7643$"
6.613750,50.585960,"16908|53894 Denrath|B266-Landstraße $0x797a7e47$"
6.625720,50.590830,"16939|53894 Roggendorf|B266-Landstraße $0x898b9654$"
6.648360,51.291380,"14757|40670 Meerbusch Strümp|Schloßstraße $0x78797b8947$"
6.658224,51.448920,"19952|47443 Moers|Römerstraße $0x74757541$"
6.665510,51.200940,"15645|41464 Neuss|Konrad-Adenauer-Ring $0x8b899059$"
6.669652,51.205470,"19927|41462 Neuss|Engelbertstraße $0x7e7f79804b$"
6.673980,50.592700,"16949|53894 Mechernich|L61 $0x7f807e8f4d$"
6.676723,51.223794,"19929|41462 Neuss|Gladbacher Straße $0x8b8656$"
6.680660,51.211930,"15644|41462 Neuss|Fesserstraße $0x898e8e57$"
6.688073,51.178729,"19930|41464 Neuss|B477-Bergheimer Straße $0x7d7d4c$"
6.688176,50.881222,"20439|50171 Kerpen|Auf dem Bürrig $0x898d54$"
6.710601,51.457425,"21461|47198 Duisburg - Alt-Homberg|Rheindeichstraße $0x868b8d54$"
6.729612,51.456180,"21462|47119 Duisburg - Ruhrort|Homberger Straße $0x817c8b49$"
6.732209,51.481947,"21081|47166 Duisburg - Beeck|Friedrich-Ebert-Straße $0x77757645$"
6.735203,51.485573,"21119|47166 Duisburg - Bruckhausen|Kaiser-Wilhelm-Straße $0x7f844d$"
6.742494,51.448386,"21463|47119 Duisburg|Ruhrorter Straße $0x7d7d7f787f4a$"
