; Europa-Germany-Blitzer: Blitzer-Laser-60_NF.asc
; POIs from NaviFriends.com - Release: 27.05.2009
; Send informations about POIs to info@NaviFriends.com
; Free download only from www.NaviFriends.com. Not for sale!
; (C) by NaviFriends.com - free for private use

6.762490,51.231590,"16965|40545 Düsseldorf - Oberkassel|Oberkasseler Brücke $0x73777a41$"
6.771230,51.231650,"16966|40213 Düsseldorf - Altstadt|Oberkasseler Brücke $0x7e7f46$"
6.786371,51.253892,"18858|40468 Düsseldorf - Derendorf|B1-Heinrich-Ehrhardt-Straße $0x83898151$"
7.043130,51.037280,"13880|51375 Leverkusen|Herbert-Wehner-Straße $0x7e7e804d$"
7.077600,51.533280,"14964|45879 Gelsenkirchen|Kurt-Schumacher-Straße $0x7f81817c864e$"
7.190659,51.632128,"20015|45657 Recklinghausen|L511 $0x868851$"
7.256485,51.497157,"22514|44807 Bochum - Grumme|Castroper Hellweg $0x89878b57$"
7.284771,51.155381,"21358|42897 Remscheid - Bergisch-Born|B237-Bornefelder Straße $0x888451$"
7.387324,51.358626,"22853|58300 Wetter (Ruhr)|An Der Kohlenbahn $0x7d7c824a$"
8.718222,51.705238,"17940|33106 Paderborn|B64 $0x86838a818853$"
8.745043,47.739252,"23412|78244 Gottmadingen - Bietingen|A81 $0x78767946$"
9.026096,47.733307,"21486|78315 Radolfzell Am Bodensee|B33 $0x84868c53$"
9.253170,48.522960,"16699|72555 Metzingen|B312-B28 $0x8589808752$"
9.863038,49.796900,"20258|97265 Hettstadt|Hettstadter Steige $0x72717441$"
10.004550,53.523920,"13714|20457 Hamburg|Veddeler Damm $0x747378717443$"
10.010562,51.557189,"17963|37077 Göttingen - Roringen|B27 $0x827d7a814c$"
10.065800,49.770692,"16137|97318 Biebelried|B8 $0x7a7c7f49$"
10.268440,50.800350,"14705|36433 Ettmarshausen|B62-Salzunger Str $0x7f7e7c4c$"
10.523118,51.829471,"18573|38640 Harz|B4 $0x824a$"
10.528878,51.807472,"20112|38667 Altenau - Torfhaus|B4 $0x7574768442$"
10.571499,48.011867,"19033|86825 Bad Wörishofen|Mindelheimer Straße $0x83898551$"
10.634931,51.921514,"18189|38871 Abbenrode|Stapelburger Straße $0x8483849351$"
10.799415,52.434559,"18932|38440 Wolfsburg|Berliner Ring $0x74717a43$"
10.963800,49.937990,"17133|96117 Memmelsdorf|St2190-Hauptstraße $0x74757a42$"
11.418450,53.612490,"16068|19061 Schwerin|Ludwigsluster Chaussee $0x8280864f$"
11.424788,53.607834,"21641|19061 Schwerin - Grosser Dreesch|An Der Crivitzer Chaussee $0x777d7d45$"
11.427451,53.607222,"21642|19061 Schwerin - Grosser Dreesch|An Der Crivitzer Chaussee $0x89898a58$"
11.509669,48.192278,"18472|80993 München|B304-Max-Born-Straße $0x7f85817b864d$"
11.514125,48.173225,"18460|80992 München|Wintrichring $0x787a7e747e46$"
11.519468,48.174582,"18459|80992 München|Wintrichring $0x817b787c4a$"
11.539970,48.179480,"14740|80992 München|Landshuter Allee $0x7b7d7c48$"
11.540930,48.184522,"20382|80809 München|B304-Landshuter Allee $0x7e757c47$"
11.588544,48.187927,"17999|80807 München|Frankfurter Ring $0x82878150$"
11.744342,48.104442,"23123|85540 Haar|Wasserburger Straße $0x8b919059$"
11.785719,54.092998,"20897|18230 Kröpelin - Jennewitz|L11-Kühlungsborner Chaussee $0x858d8b54$"
11.910840,51.643028,"21792|06193 Löbejün|Plötzer Chaussee $0x757c7c43$"
11.950130,51.461770,"17402|06128 Halle (Saale)|Böllberger Weg $0x82818650$"
12.149100,49.725080,"17715|92665 Altenstadt (Waldnaab)|B22 $0x84818551$"
12.167020,49.648810,"17719|92718 Schirmitz|Pirker Straße $0x8754$"
12.393690,50.811290,"16579|08451 Crimmitschau|Bahnstraße $0x8a918b59$"
