; Europa-Germany-Blitzer: Blitzer-Rotlicht_NF.asc
; POIs from NaviFriends.com - Release: 27.05.2009
; Send informations about POIs to info@NaviFriends.com
; Free download only from www.NaviFriends.com. Not for sale!
; (C) by NaviFriends.com - free for private use

6.088657,50.782157,"14933|52070 Aachen|Rolandstraße $0x7f847a814c$"
6.124444,50.785556,"14197|52062 Aachen|Berliner Ring $0x87888a55$"
6.168010,50.873950,"16055|52477 Alsdorf|Kurt Koblitz-Ring"
6.226110,50.787220,"9080|52222 Stolberg|Velauer Berg"
6.743330,51.241049,"22280|40547 Düsseldorf - Lörick|B7-Brüsseler Straße $0x7a7e7b48$"
6.744149,51.240576,"22332|40547 Düsseldorf - Lörick|B7-Auffahrt $0x7d7845$"
6.750282,51.271048,"18075|40474 Düsseldorf - Stockum|Nordstern $0x7d81854c$"
6.750340,51.270953,"18074|40474 Düsseldorf - Stockum|Nordstern $0x878751$"
6.924650,50.936700,"14922|50674 Köln Am Rhein|Innere Kanalstraße"
6.932900,50.920870,"15099|50939 Köln Am Rhein|Universitätsstraße $0x888d8757$"
6.932900,50.920870,"17201|50939 Köln|Luxemburger Straße $0x888655$"
6.941880,49.242180,"2951|66115 Saarbrücken|Luisenthaler Straße"
6.952500,50.923890,"9198|50667 Köln Am Rhein|Sachsenring"
6.953610,49.249720,"9129|66115 Saarbrücken|Hubert Müller Straße"
6.960520,49.255520,"9144|66113 Saarbrücken|B268"
6.968980,50.955790,"14978|50668 Köln - Innenstadt|Elsa Brandström Straße $0x7a7b46$"
6.974680,50.931980,"14932|50679 Köln Am Rhein|Rampe - Gotenring $0x84828752$"
6.975160,51.248080,"14434|40822 Mettmann|B7-Talstraße"
6.981670,50.937220,"9094|50679 Köln Am Rhein|Östliche Zubringerstraße $0x8252$"
6.981690,49.243290,"2955|66113 Saarbrücken|B268"
6.997648,49.238147,"2944|66111 Saarbrücken - Sankt Johann|Richard Wagner Straße"
7.001590,49.241900,"14930|66111 Saarbrücken|B41"
7.017220,51.454720,"9078|45127 Essen|Varnhorststraße"
7.035760,49.278620,"2973|66125 Dudweiler|Sulzbachtalstraße $0x7e7a49$"
7.036400,52.426410,"16048|48531 Nordhorn|Euregio Straße $0x797e7d767b8a48$"
7.055330,52.422350,"14762|48529 Nordhorn|Denekamper Straße $0x86858782849654$"
7.058330,50.704092,"9138|53123 Bonn|Konrad-Adenauer-Damm $0x74777942$"
7.071100,52.428650,"14763|48531 Nordhorn|Frensdorfer Ring $0x8180817e809250$"
7.072210,52.440740,"2805|48531 Nordhorn|B403-Altendorfer Ring $0x89869250$"
7.076550,51.508000,"15063|45883 Gelsenkirchen|Hans-Böckler-Allee $0x7b7e81787e4a$"
7.079240,51.550350,"8975|45891 Erle|Adenauerallee $0x888d88858857$"
7.084120,51.233410,"9117|42329 Wuppertal - Vohwinkel|Haeselerstraße $0x787343$"
7.087688,50.739716,"9132|53111 Bonn|Hochstadenring $0x76757845$"
