; Europa-Germany-Blitzer: Blitzer-stillgelegt_NF.asc
; POIs from NaviFriends.com - Release: 27.05.2009
; Send informations about POIs to info@NaviFriends.com
; Free download only from www.NaviFriends.com. Not for sale!
; (C) by NaviFriends.com - free for private use

6.153940,50.881500,"4937|52477 Alsdorf|Übacher Weg $0x84878b9553$"
6.273180,50.749890,"5451|52224 Stolberg - Vicht|Leuwstraße $0x7d828b49$"
6.650820,50.605270,"5470|53894 Kommern|Mechernicher Weg $0x8e59$"
7.001210,51.464983,"21885|45127 Essen - Westviertel|B224-Hans-Böckler-Straße $0x8a8955$"
7.098557,50.722192,"9171|53115 Bonn|Argelanderstraße $0x8c8c59$"
7.172780,51.283060,"5620|42109 Wuppertal|Uellendahler Straße"
7.201110,51.270280,"5262|42275 Wuppertal|B7-Höhne"
7.206110,51.270280,"9329|42289 Wuppertal|Heckinghauser Straße"
7.219440,51.271390,"5233|42289 Wuppertal|Heckinghauser Straße"
7.240280,51.280560,"9308|42389 Wuppertal|Dahler Straße"
7.298060,51.279440,"5052|58332 Schwelm|B483-Winterberger Straße"
7.323530,51.516868,"1066|44388 Dortmund - Bövinghausen|B235-Provinzialstraße $0x7c814a$"
7.458060,51.310000,"4111|58339 Waldbauer|L528 $0x8454$"
7.500460,51.411490,"8645|58095 Garenfeld|A1 $0x8d8d9a58$"
7.871940,50.963610,"5268|57482 Wenden|Hunsborner Straße"
7.898580,51.778530,"5431|59227 Ahlen|Warendorfer Straße $0x7f87844e$"
7.903700,51.793600,"4112|59227 Ahlen|Warendorfer Straße $0x7473717343$"
7.951780,51.765680,"15229|59227 Ahlen|B58-Beckumer Straße $0x807f758047$"
7.993100,52.323420,"15131|49090 Osnabrück|Fürstenauer Weg $0x8a8c8f59$"
7.995180,52.322070,"15132|49090 Osnabrück|Fürstenauer $0x7f7d814c$"
8.036120,52.271690,"15124|49074 Osnabrück|Martinistraße $0x7a72707442$"
8.039074,52.286039,"17886|49090 Osnabrück|Hansastraße - Wachsbleiche $0x83828650$"
8.129690,52.267540,"15125|49086 Lüstringen|Mindener Straße $0x888d88848756$"
8.146570,50.754720,"9265|57299 Würgendorf-Holzhausen|B54 $0x8454$"
8.203741,48.868304,"9209|76437 Rastatt|Richard-Wagner-Ring $0x78777847$"
8.210066,48.858996,"9028|76437 Rastatt|An Der Ludwigfeste $0x86898d55$"
8.508482,48.864763,"7539|76307 Ittersbach|Pfinztalstraße $0x8a819351$"
8.637970,49.301850,"9630|69190 Walldorf|Hauptstraße $0x92899b59$"
8.894420,53.054440,"16076|28309 Bremen|Christernstraße"
8.991090,50.643880,"17650|35325 Homberg (Ohm)|A5 $0x8480904e$"
9.218730,49.134460,"15608|74072 Heilbronn|B293-Südstraße"
9.252868,50.911033,"21955|34613 Schwalmstadt - Niedergrenzebach|B254 $0x87868d54$"
9.319240,48.845210,"5495|71336 Waiblingen - Neustadt|Neustadter Hauptstraße $0x8c869856$"
9.332570,52.259002,"21258|31867 Pohle|L439-Hauptstraße $0x84838652$"
9.375930,48.870530,"4162|71364 Winnenden - Schelmenholz|B14 $0x8a8955$"
9.677660,52.368980,"17142|30455 Hannover|Carlo-Schmidt-Allee $0x89908958$"
9.697210,52.341470,"2850|30459 Hannover|Hamelner Chaussee $0x7a7b49$"
9.732290,52.383200,"14572|30167 Hannover|Arndtstraße $0x76756f7141$"
9.743675,52.379500,"23229|30161 Hannover - Oststadt|Hamburger Allee $0x838a8951$"
9.978100,48.395720,"4617|89073 Ulm|B10-Bismarckring $0x75737742$"
10.346810,53.455810,"13063|21502 Besenhorst|B404 $0x8486889553$"
10.437702,51.609155,"4957|37431 Bad Lauterberg Im Harz - Barbis|B243-Barbiser Straße $0x8b918a59$"
10.912520,49.883550,"2963|96047 Bamberg|Münchner Ring"
11.580859,49.945940,"9128|95444 Bayreuth|Hohenzollernring"
11.595727,52.082023,"9065|39118 Magdeburg - Reform|B71-Rotenburger Straße $0x92909c5a$"
12.386400,51.360530,"9003|04129 Leipzig|Wittenberger Straße $0x7f85844e$"
12.670140,50.805770,"4125|09337 Hohenstein-Ernstthal|B180 $0x888c899957$"
13.438890,52.673330,"5523|16352 Schönwalde|B109 $0x7949$"
13.565000,52.342780,"4588|15738 Kiekebusch|B179 $0x787a7c47$"
13.567090,52.341130,"15081|15738 Wildau-Waltersdorf|B179 $0x88878c55$"
13.660120,50.991370,"15284|01705 Freital|Poisentalstraße $0x8a878757$"
13.863234,51.883584,"18241|15926 Luckau - Terpt|A13 $0x7b7a838c4a$"
13.900299,52.480857,"14616|15345 Rüdersdorf - Lichtenow|B1-Chausseestraße $0x7b73707542$"
13.950630,52.734490,"14445|16259 Wollenberg|B158 $0x888955$"
14.048092,51.800791,"15068|03226 Vetschau/Spreewald - Göritz|B115 $0x86888d9755$"
14.082641,51.051488,"19636|01833 Stolpen|Schützenhausstraße $0x7b7571788543$"
14.135250,52.700610,"4914|16269 Wriezen|Frankfurter Chaussee $0x7c80824b$"
14.189440,53.458330,"4587|17321 Locknitz|B104 $0x81838550$"
14.227851,51.424512,"17929|02977 Hoyerswerda - Neida|B97-Kamenzer Bogen $0x898f8b9957$"
14.297960,52.195690,"15294|15848 Ragow|B87 $0x84889351$"
14.375630,51.549430,"7501|03130 Spremberg|Wiesenweg $0x7b8d4b$"
14.525270,52.409730,"15293|15326 Wüste Kunersdorf|B112 $0x7e838f4d$"
14.586170,52.234151,"4903|15295 Wiesenau|B112-Hauptstraße $0x8082844f$"
