; Europa-Great-Britain-Blitzer: Blitzer-30_NF.asc
; POIs from NaviFriends.com - Release: 27.05.2009
; Send informations about POIs to info@NaviFriends.com
; Free download only from www.NaviFriends.com. Not for sale!
; (C) by NaviFriends.com - free for private use

-3.620910,50.523220,"7630| Newton Abbot|Totnes Road $0x7e828f4d$"
-3.598200,50.428940,"7631| Paignton|Totnes Road $0x7372738442$"
-3.584270,50.447540,"7632| Paignton|Marldon Road $0x767a788745$"
-2.529180,53.398320,"11228| Warrington|Manchester Road $0x8c879654$"
-0.239470,51.468630,"16458| London|Rocks Lane $0x8382899351$"
-0.175850,51.451870,"7639| London|Trinity Road $0x82858a9351$"
-0.135150,51.531320,"16474| London|Eversholt Street $0x777a7c8846$"
-0.134410,51.530650,"16475| London|Eversholt Street $0x7d80828e4c$"
-0.129560,51.527760,"16478| London|Euston Road $0x81848e4c$"
-0.025750,51.496360,"16538| London|Westferry Road $0x888e8e9957$"
-0.024390,51.508910,"16539| London|Limhouse Link - West India Dock Road"
-0.020730,51.508160,"16540| London|Limehouse Link $0x83828a9452$"
-0.018920,51.488360,"16541| London|Westferry Road $0x8b8c8d9c5a$"
-0.017020,51.449820,"16542| London|Lewisham High Street $0x86889755$"
-0.016490,51.487470,"16543| London|Westferry Road $0x908f9957$"
-0.016280,51.453540,"16544| London|Lewisham High Street $0x87879856$"
-0.012700,51.511190,"16188| London|East India Dock Road $0x7e7b8846$"
-0.010980,51.472460,"16548| London|Blackheath Hill $0x8882914f$"
0.004700,51.495050,"16195| London|A102 $0x7f8184904e$"
0.031870,51.512950,"16324| London|Prince Regent Lane $0x767b7e8745$"
0.036540,51.463370,"16326| London|Rochester Way $0x7f8081904e$"
0.044900,51.531390,"16331| London|Barking Road $0x7c7a8745$"
0.049560,51.492230,"16333| London|Woolwich Church Street"
0.051690,51.430970,"16335| London|Mottingham Road $0x777a7a8846$"
0.056040,51.492920,"16339| London|Woolwich Curch Street $0x80828b49$"
0.057880,51.477540,"16341| London|Academy Road $0x79798947$"
0.058500,51.478130,"16343| London|Academy Road $0x797f8947$"
0.064150,51.427100,"16347| London|B263-Green Lane $0x7b7d798a48$"
0.064980,51.462050,"16348| London|Rochester Way $0x888c879856$"
0.077540,51.584230,"16361| London|Cranbrook Road $0x84889351$"
0.079070,51.431970,"16363| London|Footscray Road $0x898a8b9a58$"
0.113290,51.494590,"16379| London|Eynsham Drive $0x82868f4d$"
0.125210,51.481330,"16384| London|Woolwich Road $0x85848f4d$"
0.128200,51.496360,"16386| London|Yarnton Way $0x84818d4b$"
0.134250,51.495160,"16399| London|Yarnton Way $0x7f8080904e$"
0.141160,51.483870,"16402| London|Woolwich Road $0x89829351$"
0.151590,51.530510,"16408| London|New Road $0x7576758644$"
0.153760,51.481110,"16409| London|Brook Street $0x7879768745$"
0.159300,51.574390,"16410| London|London Road $0x80798a48$"
0.161570,51.536430,"16411| London|Ballards Road $0x7d7e8b49$"
0.170750,51.480620,"16416| London|Bexley Road $0x87869250$"
0.171440,51.536920,"16417| London|Rainham Road South $0x8484859553$"
0.177420,51.424780,"16421| London|Birchwood Road $0x787c8846$"
0.195090,51.448020,"16425| London|Dartford Road $0x78777c8947$"
0.209080,51.453430,"16428| London|Burnham Road $0x8487849553$"
