; Europa-Great-Britain-Blitzer: Blitzer-50_NF.asc
; POIs from NaviFriends.com - Release: 27.05.2009
; Send informations about POIs to info@NaviFriends.com
; Free download only from www.NaviFriends.com. Not for sale!
; (C) by NaviFriends.com - free for private use

-2.861730,53.778200,"5728| Kirkham|Kirkham By Pass $0x837b8c4a$"
-2.280680,53.543050,"5731| Whitefield|M60 $0x7d7e8a48$"
-1.778830,52.511150,"16537| West Midlands|A452 $0x7a768644$"
-1.266660,53.695540,"5755| Knottingley|M62 $0x8c938b9c5a$"
-0.012490,51.552140,"16547| London|A12 $0x87878955$"
-0.006780,51.556010,"16549| London|A12 $0x84879351$"
0.023620,51.476490,"16216| London|Blackwall Tunnel Southern Approach $0x868b869755$"
0.026050,51.472550,"16323| London|Rochester Way Relief Road $0x828380914f$"
0.036560,51.459090,"16327| London|Rochester Way Relief Road $0x8a8b8a9b59$"
0.042870,51.577820,"16330| London|North Circular Road $0x787c7c8947$"
0.052200,51.567870,"16336| London|North Circular Road $0x787c7a8947$"
0.056940,51.562510,"16340| London|North Circular Road $0x85888a9654$"
0.067130,51.538940,"16351| London|North Circular Road $0x77787b8644$"
0.068050,51.549670,"16352| London|North Circular Road $0x7a807d8b49$"
0.068220,51.548690,"16353| London|North Circular Road $0x7577778442$"
0.072850,51.458120,"16357| London|Rochester Way Relief Road $0x8b899553$"
0.088200,51.455840,"16364| London|East Rochester Way $0x8289819250$"
0.095770,51.576240,"16366| London|Eastern Avenue $0x8581914f$"
0.097820,51.453490,"16367| London|East Rochester Way $0x808080914f$"
0.099820,51.453000,"16368| London|East Rochester Way $0x787f778846$"
0.119810,51.449350,"16383| London|Woodside Lane $0x8382889452$"
0.126170,51.503120,"16385| London|Eastern Road"
0.128950,51.448410,"16387| London|East Rochester Way $0x767b768644$"
0.130050,51.581480,"16388| London|Eastern Avenue $0x93909c5a$"
0.146270,51.448320,"16404| London|East Rochester Road $0x7a788341$"
0.148080,51.580780,"16406| London|Eastern Avenue West $0x7d827e8d4b$"
0.169470,51.486560,"16412| London|Bronze Age Way $0x8689899755$"
0.176980,51.589410,"16420| London|Eastern Avenue East $0x7f7f7f8f4d$"
