; Europa-Poland-Blitzer: Blitzer-50_NF.asc
; POIs from NaviFriends.com - Release: 27.05.2009
; Send informations about POIs to info@NaviFriends.com
; Free download only from www.NaviFriends.com. Not for sale!
; (C) by NaviFriends.com - free for private use

14.474835,53.377456,"19523| Przeclaw|13 $0x747342$"
14.484670,53.426580,"12992| Szczecin Skrzyzowanie ul. Ku Sloncu i  ul. Hrubies|"
14.499780,53.428790,"12993| Szczecin Skrzyzowanie ul. Taczaka i   ul. Derdowsk|"
14.502900,53.458500,"12997| Szczecin ul. Wojska Polskiego|"
14.506480,53.421280,"12995| Szczecin ul. Ku Sloncu|"
14.534590,53.421440,"12996| Szczecin ul. Piastów|"
14.580880,53.411490,"12994| Szczecin ul. Gdanska  60 km/h|"
14.938460,52.675870,"12798| Fotoradar|"
15.057990,52.314720,"13011| Torzym|"
15.084370,51.195550,"13029| Zarska wies w belce z sygnalizacja|"
15.205600,52.724940,"12814| Gorzów Wielkopolski Al. 11 Listopada|"
15.219180,52.782680,"12829| Klodawa|"
15.221060,52.731390,"12815| Gorzów Wielkopolski Al. Konstytucji 3 Maja|"
15.310890,52.671500,"12776| Deszczno|"
15.315970,52.670100,"12777| Deszczno 50 km/h|"
15.356881,51.223160,"21786| Czerna|E40 $0x88869351$"
15.378340,52.271650,"18755| Mostki|E30 $0x7d848179814b$"
15.397854,52.262166,"18754| Mostki|E30 $0x817e867c814e$"
15.465306,52.254085,"18753| Wikowo|E30 $0x84888b808a52$"
15.469457,51.242896,"19524| Brzeznik|E40 $0x898c8a57$"
15.507430,52.250580,"12989| swiebodzin ul.Swierczewskiego|"
15.512950,52.250860,"12988| Swiebodzin ul. Swierczewskiego  ustawiony dla   wy|"
15.518590,52.870990,"12980| Strzelce Krajenskie|"
15.531042,52.262253,"18752| Swiebodzin|E30 $0x7a807e767c48$"
15.537577,52.260693,"18751| Swiebodzin|E65 $0x79767a747746$"
15.546940,52.338090,"12816| Goscikowo|"
15.549880,52.255560,"12990| swiebodzin W strone swiecka.|"
15.551940,52.885960,"12981| Strzelce Krajenskie ?|"
15.554460,52.887050,"12982| Strzelce Krajenskie ?|"
15.571860,52.435800,"12891| Miedzyrzecz|"
15.610259,52.272750,"18750| Rzeczyca|E30 $0x80837e7c874e$"
15.612371,51.260593,"19525| Kruszyn|E40 $0x787c7f46$"
15.625677,51.261689,"21804| Kruszyn|E40 $0x7a798543$"
15.671713,52.318443,"18749| Brojce|E30 $0x8a8a90868958$"
15.688427,51.261281,"21805| Tomaszow Boleslawiecki|E40 $0x7a7d808a48$"
15.721197,52.332362,"18748| Lutol Suchy|E30 $0x7f80827b7f4d$"
15.743970,51.686820,"12898| Nowe Miasteczko Przed przejsciem dla pieszych.|"
15.842751,52.166128,"20605|66-110 Babimost|303 $0x85888b53$"
15.867046,52.368890,"18747| Trzciel|E30 $0x78797d747946$"
16.118480,52.395310,"12753| Bolewice|"
16.174520,54.186960,"12842| Koszalin ul. Krakusa i Wandy  Wylot z miasta  na P|"
16.176930,51.192460,"12875| Legnica Al. Rzeczypospolitej.|"
16.188920,54.190180,"12843| Koszalin ul. Zwyciestwa|"
16.189560,54.182140,"12841| Koszalin ul. Gnieznienska  Wylot z miasta na Pozna|"
16.200830,54.174630,"12840| Koszalin ul. Gnieznienska  Dla jadacych do centrum|"
16.204800,51.201940,"12876| Legnica ul. Pilsudskiego.|"
16.205190,54.205350,"12839| Koszalin ul. Gdanska  Dla jadacych do centrum.|"
16.207490,51.210370,"12877| Legnica ul. Wroclawska|"
16.242310,50.431690,"12871|57-350 Kudowa-Zdroj|"
16.284590,51.244060,"12968| Spalona Przy kosciele stoi pudlo.|"
16.321840,50.858040,"12987| swiebodzice|"
16.382720,52.496900,"12799| Fotoradar Po stronie jadacych z Poznania.|"
16.541200,52.036320,"12768| Czacz|"
16.565320,51.920940,"12878| Lipno Obustronny|"
16.657840,50.428380,"12831| Klodzko ul. Wyspianskiego|"
16.743600,53.096160,"12932| Pila W strone centrum.|"
16.888900,52.409680,"12940| Poznan|"
16.909780,52.385920,"12943| Poznan - Wilda ul. Hetmanska|"
16.919630,52.431370,"12942| Poznan - Stare Miasto ul. Ksiecia Mieszka I|"
16.938350,52.410920,"12941| Poznan|"
16.952190,54.447620,"12752| Boleslawice|"
16.965330,52.758960,"12953| Ruda W strone Pily|"
16.981400,54.446550,"12832| Kobylnica|"
16.993090,54.441330,"12833| Kobylnica|"
16.997140,54.438690,"12834| Kobylnica|"
16.998780,51.061140,"13023| Wroclaw w sygnalizacji|"
17.018540,51.084960,"13021| Wroclaw Radar zamontowany na belce sygnalizacji sw|"
17.019370,51.085030,"13022| Wroclaw Radar zamontowany na belce sygnalizacji sw|"
17.052060,52.295320,"12800| Gadki Od strony Poznania|"
17.096340,52.254180,"12837| Kórnik|"
17.110770,52.405200,"12819| Jasin|"
17.124870,54.469280,"12952| Redzikowo Obustronny|"
17.165390,51.168420,"12894| Mirkow w belkach z sygnalizacja swietlna|"
17.192040,53.160070,"12844| Kosztowo|"
17.200030,51.180750,"12778| Dlugoleka w belce z sygnalizacja swietlna|"
17.216890,52.400480,"12838| Kostrzyn W kierunku Poznania|"
17.226210,51.187240,"12766| Bykow w belce z sygnalizacj swietlna|"
17.239370,51.191560,"12764| Byków|"
17.280120,51.194830,"12765| Byków w Belce nad skrzyzowaniem|"
