; Europa-Switzerland-Blitzer: Blitzer-50_NF.asc
; POIs from NaviFriends.com - Release: 27.05.2009
; Send informations about POIs to info@NaviFriends.com
; Free download only from www.NaviFriends.com. Not for sale!
; (C) by NaviFriends.com - free for private use

6.044446,46.200085,"6761|1242 Satigny|Route D'aire-La-Ville"
6.082802,46.216060,"4850|1214 Vernier|Route De Peney"
6.105687,46.185654,"6777|1213 Onex|Route De Chancy"
6.108597,46.179757,"6778|1213 Onex|Route Du Grand-Lancy"
6.114785,46.228574,"6781|1218 Le Grand-Saconnex|Chemin Édouard-Sarasin"
6.116107,46.205901,"6783|1203 Genf|Avenue D'aïre"
6.118425,46.206389,"4839|1203 Genf|Avenue D'aïre"
6.125490,46.167240,"6786|1228 Plan-Les-Ouates|Route Du Camp"
6.134540,46.146410,"4851|1257 Bardonnex|Route Des Hospitaliers"
6.151660,46.184090,"6798|1227 Carouge|Route De Veyrier"
6.152125,46.183962,"4838|1227 Carouge|Route de Veyrier"
6.163220,46.171860,"6803|1234 Veyrier|Chemin Du Bois-Gourmand"
6.177608,46.199127,"6806|1224 Chêne-Bougeries|Route de Chêne"
6.182404,46.172931,"6810|1255 Veyrier|Route Du Pas-de-L'Echelle"
6.196280,46.238472,"4840|1245 Vesenaz|Route de Thonon"
6.224197,46.277905,"4837|1247 Anières|Route D'hermance"
6.228789,46.260066,"4848|1246 Corsier|Route de Thonon"
6.571770,46.708750,"6850|1373 Chavornay|Route De Corcelles"
7.062354,46.641162,"6918|1632 Riaz|Rue de la Gruyère"
7.407110,46.920591,"19873|3098 Köniz|Landorfstraße $0x7b788644$"
7.424040,46.939720,"6952|3007 Bern|Weissensteinstraße"
7.433150,46.940760,"1771|3007 Bern|Eigerstraße $0x8188834f$"
7.509951,47.051770,"19527|3303 Jegenstorf|Solothurnstraße $0x8186904e$"
7.582510,47.494020,"6964|4153 Reinach|Therwilerstraße $0x7e7745$"
7.591340,47.498960,"5134|4153 Reinach|Brunngasse $0x838651$"
7.594190,47.485040,"6965|4153 Reinach|Neuhofstraße $0x8b859553$"
7.597660,47.508420,"6968|4153 Reinach|Fleischbachstraße"
7.606360,47.561430,"15812|4058 Basel|Wettsteinalle $0x807c48$"
7.607250,47.522880,"5483|4142 Neumünchenstein|Bottmingerstraße $0x74767543$"
7.607620,47.515040,"6970|4142 Neumünchenstein|Heiligholzstraße $0x8c938c9c5a$"
7.608970,47.572920,"15944|4058 Basel|Fasanenstraße $0x8d8654$"
7.613100,47.513930,"5484|4142 Neumünchenstein|Heiligholzstraße $0x757c7b8543$"
7.613840,47.517004,"5485|4142 Münchenstein|Pumpwerkstraße"
7.614820,47.569180,"15814|4051 Basel|Riehenstraße $0x7c778947$"
7.619550,47.566240,"15813|4058 Basel|Bäumlihofstraße $0x87888955$"
7.641530,47.524020,"6971|4132 Muttenz|Baselstraße $0x75727b8442$"
7.650240,47.523961,"6973|4132 Muttenz|Breitestraße"
7.748280,47.483680,"6983|4410 Liestal|Arisdörferstraße $0x777e7c45$"
8.244910,46.889366,"20454|6060 Sarnen|Brünigstraße $0x82888451$"
8.296980,47.054960,"9351|6004 Luzern|Sankt Karlistraße"
8.299494,47.058364,"8921|6004 Luzern|Spitalstraße $0x8f8a9b59$"
8.302152,47.041190,"8920|6005 Luzern|Obergrundstraße $0x7a798846$"
8.302890,47.042230,"4845|6005 Luzern|Obergrundstraße $0x79778846$"
8.309840,47.062880,"1889|6006 Luzern|Maihofstraße $0x787e46$"
8.313560,47.043450,"4847|6005 Luzern|Tribschenstraße"
8.314340,47.067130,"9350|6006 Luzern|Maihofstraße $0x88898d56$"
8.315499,47.042934,"8923|6004 Luzern|Tribschenstraße $0x7b7b808c4a$"
8.321540,47.055470,"8916|6006 Luzern|Haldenstraße $0x84848e4c$"
8.327430,47.058590,"8922|6006 Luzern|Sankt Annastraße $0x8589889553$"
8.330660,47.033795,"8919|6005 Luzern|Langensandstraße"
8.339930,47.056420,"5462|6006 Luzern|Schlösslihalde"
8.344689,47.056024,"1890|6006 Luzern|Schädrütistraße $0x8485904e$"
8.347130,47.045140,"4846|6006 Luzern|Seeburgstraße"
8.348417,47.052255,"8918|6006 Luzern|Kreuzbuchstraße $0x84818d4b$"
8.386178,47.459724,"7022|8112 Otelfingen|Landstraße"
8.408226,47.065653,"20237|6402 Merlischachen|Luzernerstraße $0x76788442$"
8.427280,47.171060,"4842|6331 Hünenberg|Holzhäusernstraße $0x7e7f7b8d4b$"
8.444598,47.086667,"20236|6403 Küssnacht Am Rigi|Oberdorfstraße $0x7b7a828b49$"
8.448590,47.301450,"5234|8908 Hedingen|Zürcherstraße"
8.456220,47.184460,"1794|6330 Cham|Sinserstraße $0x87868a9654$"
8.477450,47.198840,"5595|6312 Steinhausen|Knonauerstraße"
8.481120,47.373500,"7027|8047 Zürich|Albisriederstraße"
8.489822,47.407571,"8962|8049 Zürich|Regensdorferstraße $0x797b808a48$"
8.490300,47.376710,"7029|8047 Zürich|Albisriederstraße"
8.492236,47.197445,"7030|6312 Steinhausen|Blickensdorferstraße"
8.497131,47.422324,"7031|8046 Zürich|Furttalstraße $0x7e85854c$"
8.497780,47.368330,"7032|8001 Zürich|Birmensdorferstraße"
8.498800,47.387897,"19438|8048 Zürich|Hohlstraße $0x7a7a7d8b49$"
8.498940,47.368580,"7033|8001 Zürich|Birmensdorferstraße"
8.500070,47.387510,"7035|8048 Zürich|Hohlstraße $0x8686899755$"
8.504308,47.372986,"5687|8055 Zürich|Gutstraße"
8.504699,47.377553,"7036|8003 Zürich|Albisriederstraße"
8.508127,47.358662,"7037|8045 Zürich|Schweighofstraße"
8.508588,47.358118,"7038|8045 Zürich|Schweighofstraße"
8.514180,47.412100,"5686|8046 Zürich|Glaubtenstraße"
8.522394,47.304787,"4871|8134 Adliswil|Albisstraße"
8.530110,47.192500,"5109|6340 Baar|Rigistraße"
8.530388,47.407765,"7040|8046 Zürich|Wehntalerstraße $0x8285849351$"
8.531020,47.410800,"7041|8050 Zürich|Regensbergstraße $0x8b8a8f9c5a$"
8.532094,47.386115,"5586|8005 Zürich|Sihlquai $0x7f817f904e$"
8.533150,47.394360,"7042|8037 Zürich|Rotelstraße $0x8a8e8b9b59$"
8.534830,47.392400,"7043|8006 Zürich|Rotelstraße $0x7477778543$"
8.536080,47.190990,"5108|6340 Baar|Aegeristraße"
8.537960,47.406600,"5688|8057 Zürich|Hofwiesenstraße"
8.549830,47.358560,"7044|8001 Zürich|Bellerivestraße"
8.551320,47.363970,"7045|8001 Zürich|Kreuzstraße"
8.559190,47.405241,"5689|8001 Zürich|Ueberlandstraße"
8.564328,47.349835,"5691|8008 Zürich|Zollikerstraße"
8.565529,47.365802,"5683|8032 Zürich|Bergstraße"
8.569354,47.180416,"1790|6313 Edlibach|Edlibachstraße $0x7f7e4e$"
8.569540,47.376950,"7048|8044 Zürich|Tobelhofstraße"
8.571050,47.533660,"5547|8427 Rorbas|Weiacherstraße"
8.573840,47.199250,"5494|6345 Neuheim|Edibachstraße"
8.574737,47.426561,"5690|8152 Opfikon|Wallisellerstraße"
8.581873,47.359089,"7050|8053 Zürich|Witikonerstraße"
8.593490,47.397670,"7052|8051 Zürich|Dübendorfstraße $0x83848352$"
8.603160,47.678129,"7055|8212 Neuhausen Am Rheinfal|4-Zollstraße $0x7a778745$"
8.615418,47.684990,"1902|8212 Neuhausen Am Rheinfall|Engestraße $0x819654$"
8.618520,47.692380,"1903|8212 Neuhausen Am Rheinfall|Rosenbergstraße $0x858e4c$"
8.620410,47.684920,"4849|8212 Neuhausen Am Rheinfall|E54"
8.621699,46.950928,"7056|6452 Sisikon|A4-Axenstraße"
8.623226,46.727942,"20453|6482 Gurtnellen|Gotthardstraße $0x78777d8846$"
8.628577,47.693183,"1932|8200 Schaffhausen|Mühlenstraße $0x918a9b59$"
8.637904,47.707888,"5562|8200 Schaffhausen|Hochstraße"
8.640925,47.701559,"5561|8200 Sankt Niklausen|Grubenstraße"
8.654117,47.698973,"1929|8203 Buchthalen|Alpenstraße $0x74737b8543$"
8.656710,47.382540,"5576|8603 Schwerzenbach|Bahnhofstraße"
8.656837,47.268096,"5471|8706 Meilen|Bergstraße"
8.688047,46.510878,"21173|6775 Ambrí|2-Strada Cantonale $0x777d7a8745$"
8.690818,47.207281,"5158|8805 Richterswil|Bergstraße"
8.693277,47.371157,"7063|8606 Uster|Zürichstraße"
8.721356,47.307833,"9320|8617 Mönchaltorf|Esslingerstraße $0x788644$"
8.740076,47.197929,"20238|8832 Wilen Bei Wollerau|Wilenstraße $0x7a7c7c8a48$"
8.762121,47.204375,"20235|8807 Freienbach|Kantonsstraße $0x7c82808c4a$"
8.769280,47.335580,"4575|8607 Aathal|Zürichstraße $0x8c8a8b9b59$"
8.781759,47.254020,"9319|8634 Hombrechtikon|Rütistraße"
8.816003,47.095634,"20234|8844 Euthal|Euthalerstraße $0x8584839452$"
8.822206,47.238551,"5525|8640 Jona|Rütistraße"
8.832220,47.191783,"20233|8852 Altendorf|Churerstraße $0x878e8a9755$"
8.862255,47.652956,"18333|8264 Eschenz|13-Hauptstraße $0x8385899452$"
8.874726,47.182498,"20239|8854 Galgenen|Kantonsstraße $0x77777d8846$"
8.889110,45.983863,"21897|6983 Magliaso|Via Cantonale $0x78777c46$"
8.898690,47.553790,"15985|8500 Frauenfeld|Sankt Galler Straße $0x858b8d82849654$"
8.903430,46.008462,"21896|6982 Serocca|Strada Strada Regina $0x82849250$"
8.937121,46.025990,"21894|6943 Vezia|Via San Gottardo $0x818387904e$"
8.972190,45.933250,"16283|6817 Maroggia|2-Viale Statione $0x817f827c7f4e$"
9.106720,47.277030,"7092|9642 Ebnat-Kappel|Kapplerstraße"
9.169793,47.608730,"7098|8573 Siegershausen|Hauptstraße $0x8b8d8d9a58$"
9.281830,47.373300,"13872|9100 Herisau|Alpsteinstraße $0x8b8f919c5a$"
9.373820,47.426809,"21812|9000 Sankt Gallen|Blumenbergplatz $0x88888a9856$"
9.381168,47.430065,"1950|9000 Sankt Gallen|Sonnenstraße $0x888852$"
9.437170,47.504063,"1953|9323 Steinach|Hauptstraße $0x8184829250$"
9.527697,47.448102,"20313|9410 Heiden|Gruberstraße"
9.560471,47.374534,"18541|9450 Altstätten|Kriessernstraße $0x8788879856$"
