; Europa-Switzerland-Blitzer: Blitzer-80_NF.asc
; POIs from NaviFriends.com - Release: 27.05.2009
; Send informations about POIs to info@NaviFriends.com
; Free download only from www.NaviFriends.com. Not for sale!
; (C) by NaviFriends.com - free for private use

6.066656,46.216751,"3812|1242 Satigny|Route De Satigny"
6.105920,46.162670,"3816|1228 Plan-Les-Ouates|A1a"
6.127633,46.166906,"3820|1228 Plan-Les-Ouates|A1a"
6.136446,46.249371,"3821|1293 Bellevue|A1"
6.138420,46.253960,"3822|1293 Bellevue|A1"
6.151711,46.244194,"3824|1292 Pregny-ChambÈsy|Route De Lausanne"
6.191530,46.233440,"3828|1223 Cologny|Route de Thonon"
6.562834,46.565566,"3852|1029 Villars-Sainte-Croix|E62"
6.563930,46.540380,"3853|1024 Ecublens|A1 $0x8b8554$"
6.564396,46.563762,"3854|1029 Villars-Sainte-Croix|A9"
6.630670,46.623460,"3856|1042 Assens|5"
7.173203,47.100250,"18920|2513 Wingreis|Hauptstraﬂe $0x8383914f$"
7.602740,47.498140,"17224|4153 Reinach (BL)|J18 $0x79817e8a48$"
7.607980,47.565600,"15841|4051 Basel|A2 $0x82868251$"
7.614700,47.547040,"15811|4052 Basel|A2 $0x83838050$"
8.298710,46.967950,"17324|6055 Hergiswil|A8-Loppertunnel $0x83807c83904e$"
8.458740,47.208200,"4736|6330 Cham|Knonauerstraﬂe $0x74798442$"
8.460344,47.209913,"4737|6330 Cham|Knonauerstraﬂe $0x82829250$"
8.561780,47.161459,"3562|6313 Menzingen|"
8.592404,46.681534,"3877|6484 Wassen|A2"
8.604780,46.888110,"2189|6462 Seedorf|A2"
8.644342,46.747778,"17901|6482 Gurtnellen|A2 $0x7e844d$"
8.661840,46.766012,"3878|6482 Gurtnellen|A2"
8.663536,46.766482,"3632|6482 Gurtnellen|A2"
8.672228,47.387230,"3879|8604 Volketswil|A53"
8.817984,47.286984,"3880|8340 Hinwil|9"
8.818869,47.286672,"3881|8340 Hinwil|A53"
8.910664,47.224257,"3639|8645 Jona|Uznacherstraﬂe"
8.916480,47.533410,"15986|8500 Matzingen|Sankt Galler Straﬂe $0x83888a808a9452$"
9.084235,46.231645,"3882|6534 San Vittore|A13 $0x888451$"
9.114540,46.235590,"3883|6535 San Vittore|A13 $0x898b8c57$"
9.115020,46.235800,"3884|6535 San Vittore|A13 $0x8d8c58$"
9.355616,47.201440,"1997|9658 Wildhaus|16 $0x8a8a8d59$"
9.365873,47.199286,"8959|9658 Wildhaus|16 $0x858a8b53$"
9.371695,47.198819,"7109|9658 Wildhaus|S‰genboden $0x888e8856$"
