; Europa-Switzerland-Blitzer: Blitzer-Rotlicht-50_NF.asc
; POIs from NaviFriends.com - Release: 27.05.2009
; Send informations about POIs to info@NaviFriends.com
; Free download only from www.NaviFriends.com. Not for sale!
; (C) by NaviFriends.com - free for private use

6.148644,46.223461,"2495|1202 Genf|Rue De Lausanne"
6.160754,46.171417,"2790|1234 Veyrier|Route Antoine Martin"
6.501288,46.515598,"2796|1110 Morges|Avenue Des Pâquis $0x7f7e8f4d$"
6.825882,47.100380,"18967|2300 La Chaux-de-Fonds|Avenue Léopold-Robert $0x777c8543$"
6.944259,46.996836,"18918|2000 Neuchâtel|Rue de la Maladiere $0x878351$"
7.239296,47.131142,"2854|2503 Biel|Ländtestraße"
7.240161,47.138386,"2855|2502 Biel|Spitalstraße"
7.241408,47.128258,"1787|2503 Biel|Salzhausstraße"
7.249517,47.134051,"1788|2503 Biel|Zentralstraße"
7.250761,47.137742,"1789|2503 Biel/Bienne|Neumarktstraße"
7.423150,46.939840,"2806|3007 Bern|Weissensteinstraße"
7.452984,46.940244,"1773|3011 Bern|Kirchenfeldstraße $0x84828e4c$"
7.464142,46.949286,"1775|3006 Bern|Laubeggstraße $0x797c7b8a48$"
7.563400,47.515570,"2807|4104 Oberwil|Bottmingerstraße"
7.564350,47.561360,"2493|4055 Basel|Wasgenring $0x8081868f4d$"
7.573356,47.530138,"18831|4102 Binningen|Bottmingerstraße $0x787a7d737e8745$"
7.579660,47.551310,"17616|4051 Basel|Steinenring $0x878a8956$"
7.581270,47.550630,"2808|4051 Basel|Viaduktstraße $0x79767846$"
7.581550,47.199840,"15992|4552 Derendingen|Bahnhofstraße $0x797d818a48$"
7.585590,47.554020,"2809|4051 Basel|Steinengraben $0x75757a8442$"
7.590840,47.566210,"2492|4057 Basel|Feldbergstraße $0x8e88858c9957$"
7.593480,47.539990,"15943|4053 Basel|Gundeldingerstraße $0x76767a45$"
7.593960,47.547030,"2810|4052 Basel|Nauenstraße $0x7471758341$"
7.600780,47.546640,"2811|4052 Basel|Sankt Jakobs-Straße $0x7b788048$"
7.627129,46.732678,"1960|3645 Gwatt|Gwattstraße"
7.633867,46.756568,"2864|3600 Thun|Hofstettenstraße"
7.712740,47.535140,"2813|4133 Augst|Rheinstraße $0x8d869755$"
7.727370,47.495670,"2814|4410 Liestal|Fraumattstraße $0x758644$"
7.772135,47.236497,"18839|4912 Aarwangen|Langenthalstraße $0x86898b9755$"
7.819949,47.256275,"18840|4923 Wynau|1-Bernstraße $0x7d798b49$"
7.889987,47.348844,"18865|4600 Olten|Solothurnerstraße $0x7a778745$"
7.933006,47.364678,"20623|4652 Winznau|Oltnerstraße $0x938e9c5a$"
8.159110,46.783390,"17284|6078 Lungern|A8-Brünigstraße $0x747c768543$"
8.297938,47.051954,"2497|6003 Luzern|Baselstraße"
8.301116,47.050923,"2873|6003 Luzern|Kasernenplatz"
8.301548,47.040489,"2861|6005 Luzern|Obergrundstraße"
8.301759,47.050066,"2499|6003 Luzern|Hirschengraben"
8.302361,47.049079,"2498|6003 Luzern|Hirschengraben"
8.303862,47.047835,"2860|6003 Luzern|Hallwilerweg"
8.305493,47.048479,"2862|6003 Luzern|Winkelriedstraße"
8.327252,47.055645,"2859|6006 Luzern|Kreuzbuchstraße"
