; Europa-Switzerland-Blitzer: Blitzer-unsortiert-m_NF.asc
; POIs from NaviFriends.com - Release: 27.05.2009
; Send informations about POIs to info@NaviFriends.com
; Free download only from www.NaviFriends.com. Not for sale!
; (C) by NaviFriends.com - free for private use

6.587515,46.543884,"907|1020 Renens|Avenue Des Baumettes"
6.605621,46.542956,"911|1008 Prilly|Route De Neuchâtel"
6.694930,46.550810,"934|1000 Lausanne|Route De La Claie-Aux-Moines"
6.734775,46.538331,"942|1073 Savigny|Route D'oron"
6.753500,46.542280,"948|1072 Forel|Route De Savigny"
6.770510,46.543130,"954|1072 Forel|Route de Moudon"
6.804046,46.565368,"964|1610 Châtillens|Route D'Essertes"
6.823962,46.571467,"970|1610 Oron-La-Ville|Route De Lausanne"
6.866914,46.479109,"976|1806 Saint-Légier-La Chiésaz|A12"
6.944500,46.599730,"990|1624 La Verrerie|A12"
6.956210,46.606340,"992|1625 Sâles|A12"
6.987630,46.619940,"999|1627 Vaulruz|12-Au Village"
7.005175,46.619280,"1001|1628 Vuadens|12-Praz À la Donna"
7.022814,46.617621,"1005|1628 Vuadens|12-Margy"
7.578293,47.474094,"1099|4147 Aesch|Ettingerstraße"
7.762463,47.442164,"1124|4434 Hölstein|Hauptstraße"
7.771683,47.428688,"1126|4434 Hölstein|Hauptstraße"
8.316850,47.297840,"1184|5623 Boswil|Muristraße"
8.392401,47.191979,"1187|5643 Sins|25-Aarauerstraße"
