;lon,lat,descr
55.50166, -21.30224, "Num 3461"
55.42566, -21.30207, "Num 3457"
55.30042, -21.23435, "Num 3455"
55.30413, -20.96288, "Num 3456"
55.65724, -20.95719, "Num 3458"
55.48906, -20.88669, "Num 3460"
55.39237, -20.88539, "Num 3454"
55.46355, -20.88223, "Num 3459"
-61.56321, 16.0965, "Num 3464"
-61.5236, 16.23322, "Num 3465"
-61.56305, 16.25416, "Num 3463"
-61.5616, 16.25425, "Num 3462"
-5.59395, 36.02395, "Num 48610"
-5.70872, 36.10722, "Num 48611"
-5.38106, 36.20975, "Num 48609"
-5.05968, 36.45604, "Num 3255"
-6.2486, 36.46047, "Num 22221"
-6.25234, 36.46349, "Num 22220"
-5.79298, 36.47004, "Num 48612"
-4.68647, 36.49991, "Num 3256"
-4.64176, 36.50714, "Num 3257"
-3.4657, 36.61385, "Num 47950"
-4.3684, 36.73082, "Num 3258"
-4.42421, 36.76282, "Num 3259"
-4.7404, 36.7745, "Num 48607"
-6.06646, 36.8334, "Num 48613"
-2.2549, 36.86266, "Num 3684"
-2.42334, 36.89281, "Num 3683"
-2.41716, 36.89751, "Num 47899"
-4.49592, 37.04026, "Num 48605"
-6.54977, 37.04367, "Num 48614"
-2.38302, 37.06461, "Num 47898"
-8.24238, 37.09105, "Num 22614"
-8.24228, 37.09118, "Num 22615"
-8.2665, 37.09294, "Num 22617"
-8.26646, 37.09301, "Num 22616"
-8.17758, 37.09689, "Num 22610"
-8.17779, 37.09692, "Num 22609"
-8.18371, 37.10718, "Num 22612"
-8.18247, 37.10762, "Num 22613"
-3.60883, 37.13423, "Num 47954"
-4.77637, 37.18192, "Num 48606"
-3.62735, 37.20397, "Num 22209"
-7.01817, 37.20489, "Num 48615"
-5.09295, 37.22926, "Num 3252"
-3.49727, 37.2359, "Num 47957"
-1.85394, 37.23771, "Num 47897"
-3.7393, 37.24362, "Num 47958"
-3.64553, 37.24409, "Num 3544"
-6.99014, 37.26909, "Num 48616"
-6.98431, 37.27156, "Num 48617"
-5.66318, 37.27391, "Num 48618"
-5.98572, 37.34279, "Num 3248"
-5.98641, 37.34329, "Num 3247"
-5.9911, 37.34709, "Num 22219"
-5.99593, 37.35118, "Num 22217"
-5.9964, 37.35181, "Num 3246"
-6.57529, 37.35238, "Num 3540"
-6.00192, 37.35635, "Num 3245"
-6.5248, 37.36001, "Num 3244"
-5.88283, 37.37197, "Num 3251"
-3.05689, 37.37973, "Num 47900"
-6.03586, 37.3816, "Num 48626"
-5.93549, 37.38607, "Num 48627"
-5.99266, 37.40744, "Num 3636"
-5.87347, 37.4323, "Num 48621"
-4.54498, 37.43368, "Num 48604"
-5.52405, 37.48422, "Num 3250"
-5.40391, 37.50955, "Num 3249"
-1.62852, 37.52926, "Num 47896"
-3.63517, 37.54097, "Num 47952"
-0.94858, 37.62051, "Num 47894"
-0.72339, 37.62641, "Num 48632"
-1.70785, 37.67274, "Num 47895"
-1.9062, 37.7301, "Num 47865"
-4.82194, 37.77072, "Num 3254"
-4.82161, 37.77617, "Num 48603"
-3.85778, 37.78137, "Num 47953"
-5.09456, 37.80643, "Num 48602"
-0.93772, 37.81572, "Num 47893"
-4.77317, 37.8593, "Num 3253"
-4.77319, 37.88621, "Num 48975"
-0.75313, 37.90858, "Num 47891"
-0.75284, 37.9087, "Num 47888"
-1.37914, 38.01555, "Num 47892"
-1.16467, 38.02389, "Num 3265"
-3.77306, 38.02579, "Num 47951"
-1.11778, 38.05372, "Num 3264"
-0.93895, 38.09959, "Num 47887"
-1.23959, 38.11229, "Num 3267"
-0.91091, 38.15448, "Num 47886"
-1.31394, 38.17641, "Num 3266"
-5.03312, 38.18442, "Num 48601"
-6.03335, 38.25655, "Num 48600"
-0.75571, 38.26128, "Num 3270"
-0.58851, 38.30615, "Num 3272"
-3.5354, 38.34499, "Num 3263"
-6.78661, 38.34705, "Num 48599"
-0.5054, 38.34998, "Num 47885"
-0.49666, 38.36128, "Num 48628"
-0.44389, 38.36348, "Num 48630"
-0.45379, 38.36764, "Num 47882"
-3.51262, 38.37603, "Num 3262"
-3.50677, 38.38731, "Num 3261"
-3.50856, 38.38823, "Num 3260"
-0.44903, 38.40149, "Num 47879"
-0.44913, 38.40168, "Num 47881"
-0.4486, 38.40249, "Num 3269"
-3.49916, 38.40341, "Num 22208"
-0.43128, 38.41462, "Num 47875"
-0.43134, 38.41476, "Num 3268"
-0.43127, 38.41485, "Num 47874"
-1.6733, 38.59579, "Num 47873"
-0.93432, 38.72248, "Num 3271"
-9.29657, 38.76217, "Num 22619"
-6.37351, 38.80765, "Num 48594"
-6.89195, 38.81143, "Num 48595"
-1.01168, 38.83525, "Num 22206"
-2.22975, 38.84627, "Num 47872"
-6.61679, 38.84778, "Num 3239"
-6.74858, 38.86061, "Num 3240"
-1.33027, 38.87607, "Num 3273"
-1.32566, 38.87717, "Num 22207"
-1.20362, 38.8798, "Num 3274"
-2.18442, 38.88377, "Num 47869"
-0.48507, 38.89387, "Num 47863"
-2.95639, 38.91037, "Num 47901"
-5.90891, 38.95997, "Num 48593"
-3.50822, 38.96166, "Num 47959"
-3.38284, 38.96829, "Num 3243"
-0.59661, 38.98423, "Num 3277"
-0.49462, 38.99118, "Num 47862"
-0.22279, 39.04117, "Num 47861"
-3.63074, 39.06076, "Num 47961"
-0.38969, 39.10983, "Num 47860"
-0.39522, 39.16246, "Num 47859"
-3.74443, 39.27396, "Num 47962"
-3.4784, 39.32603, "Num 3907"
-2.209, 39.42214, "Num 47867"
-0.82065, 39.43354, "Num 3275"
-2.02494, 39.44343, "Num 47866"
-0.42173, 39.4667, "Num 47853"
-0.38133, 39.46887, "Num 47852"
-1.05924, 39.48237, "Num 47856"
-0.41971, 39.50613, "Num 47855"
-1.11979, 39.5077, "Num 47857"
-0.4686, 39.52603, "Num 3276"
-1.1791, 39.53822, "Num 47858"
-0.2947, 39.57931, "Num 3278"
-3.85206, 39.59211, "Num 47964"
-2.37473, 39.66672, "Num 3280"
-3.51036, 39.6699, "Num 3242"
-5.96987, 39.69869, "Num 52899"
-2.46931, 39.81669, "Num 3279"
-3.29907, 39.86877, "Num 47949"
-5.56744, 39.8723, "Num 48592"
