X,Y,TYPE,SPEED,DIRTYPE,DIRECTION
7.2770000,51.3550000,5,70,0,0
13.6017800,45.9150400,5,50,0,0
17.9023108,47.1170847,1,0,0,0
15.8692755,47.6623277,1,0,0,0
17.8906774,47.1091852,2,50,0,0
19.0412400,47.4984500,1,50,0,0
19.0366000,47.4898000,1,50,0,0
17.8392400,46.8274300,1,50,0,0
19.0388000,47.4931900,1,50,0,0
17.9001600,46.8320300,1,50,0,0
19.0433900,47.4939900,1,50,0,0
17.9052600,46.8224000,1,50,0,0
19.1189300,47.4679900,2,60,0,0
18.0483200,46.9026800,3,50,0,0
21.6720944,47.5586711,2,50,0,0
21.6038028,47.5420194,2,50,0,0
21.6481922,47.5512251,2,50,0,0
21.6555730,47.5289065,2,50,0,0
21.6350581,47.5237009,2,50,0,0
21.6587355,47.5429301,2,30,0,0
19.0400000,47.5151100,1,40,0,0
17.9825515,47.1133711,2,70,0,0
18.2494297,46.0777628,2,50,0,0
17.9115301,47.1065496,2,50,0,0
19.4627984,47.3528317,5,50,1,260
19.5269969,47.3631980,5,50,1,315
19.8137400,48.0433600,1,90,2,0
17.9243948,47.0614782,2,90,0,0
18.2314769,46.0495178,1,50,0,0
18.2522416,46.1854013,2,50,0,0
18.9429837,47.4521967,1,100,0,0
17.9204574,47.1031378,2,40,0,0
21.5973614,47.5423136,2,50,0,0
21.5983433,47.5680009,2,70,0,0
21.6592490,47.5216517,2,50,0,0
21.6305249,47.5039037,2,50,0,0
21.6238472,47.5612415,1,30,0,0
21.6310266,47.5561531,2,50,0,0
21.6104543,47.5573260,2,50,0,0
21.6315927,47.4965707,2,50,0,0
21.5869504,47.5437083,2,30,0,0
21.6040744,47.5594445,2,30,0,0
21.5973036,47.5544103,2,30,0,0
20.7739145,47.6058036,2,50,0,0
21.5728982,47.6020693,2,60,0,0
21.2166616,47.8283444,2,90,0,0
21.6543316,47.6009089,2,90,0,0
21.6590589,47.6374646,2,50,0,0
21.6607737,47.6496430,2,50,0,0
21.6549242,47.5856937,2,90,0,0
21.6592805,47.6354606,2,50,0,0
21.6781650,47.7426408,2,90,0,0
21.6235175,47.1675999,2,50,0,0
21.4441595,47.1309827,2,50,0,0
21.6331857,47.4852659,2,90,0,0
21.6253385,47.4254782,2,50,0,0
21.6314952,47.4411085,2,30,0,0
21.6186558,47.4032059,2,90,0,0
21.7708781,47.6162822,2,50,0,0
21.7314053,47.5910034,2,60,0,0
21.7439953,47.5966109,2,50,0,0
21.4966757,47.6652981,2,50,0,0
21.5046113,47.6628240,2,50,0,0
21.4931093,47.6689612,2,50,0,0
21.4187252,47.8518308,2,50,0,0
21.3782155,47.4361053,2,50,0,0
21.3906946,47.4443659,2,50,0,0
21.4101151,47.4515893,2,50,0,0
21.4130243,47.4523499,2,50,0,0
21.3758865,47.4575599,2,50,0,0
21.1439684,47.8691973,2,60,0,0
21.1318792,47.8568768,2,50,0,0
21.1212147,47.3317773,2,60,0,0
21.0813790,47.3229564,2,50,0,0
21.0686173,47.3215168,2,60,0,0
21.1294668,47.3138692,2,50,0,0
21.1501880,47.5820188,2,50,0,0
21.2188117,47.5779186,2,90,0,0
21.8386540,47.6592448,2,60,0,0
21.8408169,47.6619403,2,60,0,0
21.8900359,47.6843891,2,50,0,0
21.9048171,47.6907954,2,50,0,0
21.7368600,48.0016400,2,40,2,80
21.7373700,48.0068300,2,50,0,0
21.7278700,47.9813400,2,50,0,0
21.6860000,47.9777200,2,50,0,0
21.6818700,47.9569800,2,50,0,0
21.7266100,47.9475800,2,50,0,0
21.7185800,47.9350100,2,50,0,0
21.7190300,47.9223500,2,50,0,0
17.6425504,46.9967000,2,40,0,0
18.0113295,47.1009982,2,50,0,0
17.9200000,46.9828090,2,50,0,0
18.1729630,46.2137786,2,60,0,0
18.2491718,46.2043994,1,50,0,0
18.2534943,46.1638345,2,50,0,0
18.2517437,46.1620647,2,90,0,0
18.2523924,46.1305704,2,90,0,0
18.2613810,46.1211230,2,50,0,0
18.2622036,46.1113286,2,60,0,0
18.2658644,46.1003487,2,50,0,0
18.2375404,45.9492142,2,50,0,0
18.2306364,45.9045587,2,50,0,0
17.8398550,47.1186345,2,90,0,0
18.1242393,46.2168536,2,50,0,0
18.2800284,46.0900349,2,70,0,0
18.2851556,46.0944598,2,90,0,0
18.2777298,46.0882709,2,50,0,0
19.7910172,47.1583431,2,50,2,0
13.8576600,42.6284600,5,50,0,0
13.5327800,43.5230400,5,70,0,0
13.5610100,45.8124500,5,80,0,0
14.1766500,42.4538300,5,90,0,0
13.8684200,42.9939700,3,50,0,0
17.8985490,47.0841158,2,50,0,0
-9.0355600,38.5598300,3,50,0,0
-9.0241200,38.5361300,3,50,0,0
-9.0177000,38.5251200,3,50,0,0
-8.9649800,38.5202400,3,50,0,0
-8.6623600,39.4942300,3,50,0,0
-8.3604900,39.6827100,3,50,0,0
-7.5045600,40.2672500,3,50,0,0
-9.2716500,38.6980600,3,60,0,0
-9.3798900,38.6968500,3,70,0,0
-9.3521800,38.6852800,3,70,0,0
-9.3351900,38.6805100,3,70,0,0
-7.4998100,40.2465000,3,70,0,0
12.0783300,49.0230600,5,30,0,0
12.0978100,48.9984700,5,30,0,0
12.1030600,49.0066700,5,30,0,0
12.1056000,49.0113900,5,30,0,0
11.5661300,48.1128800,5,40,0,0
11.6773300,48.1366200,5,40,0,0
11.7128800,48.2144100,5,40,0,0
9.5530600,48.7091700,5,50,0,0
9.5618000,47.6683800,5,50,0,0
9.5638900,48.6900000,5,50,0,0
9.5686100,48.6963900,5,50,0,0
9.5752100,47.6653400,5,50,0,0
9.5758300,48.7044400,5,50,0,0
9.5797200,48.7133300,5,50,0,0
9.5905500,48.7217200,5,50,0,0
9.5908300,47.7316700,5,50,0,0
9.6005100,47.7128300,5,50,0,0
9.6012100,47.7105600,5,50,0,0
9.6016700,47.8525000,5,50,0,0
9.6108300,48.6469400,5,50,0,0
14.4846700,53.4265800,5,50,0,0
14.4997800,53.4287900,5,50,0,0
14.5027122,53.4584128,5,50,0,0
14.5064800,53.4212800,5,50,0,0
14.5345900,53.4214400,5,50,0,0
14.5806118,53.4113593,5,50,0,0
14.9384600,52.6758700,5,50,0,0
15.0579338,52.3145627,5,50,0,0
15.0843700,51.1955500,5,50,0,0
15.2056000,52.7249400,5,50,0,0
15.2191800,52.7826800,5,50,0,0
15.2210600,52.7313900,5,50,0,0
15.3108900,52.6715000,5,50,0,0
