;lon,lat,descr
3.589, 50.73137, "RF - 70KMH - 0535"
3.55116, 50.74988, "RF - 70KMH - 0008"
3.58713, 50.7646, "RF - 70KMH - 0038"
3.58715, 50.76507, "RF - 70KMH - 0046"
3.30331, 50.77895, "RF - 70KMH - 0358"
3.56244, 50.81293, "RF - 70KMH - 0195"
3.56787, 50.8155, "RF - 70KMH - 0113"
3.28621, 50.83886, "RF - 70KMH - 0223"
3.32465, 50.86341, "RF - 70KMH - 0018"
3.32562, 50.86407, "RF - 70KMH - 0033"
3.44428, 50.86895, "RF - 70KMH - 0212"
3.40333, 50.90008, "RF - 70KMH - 0435"
3.40309, 50.90014, "RF - 70KMH - 0009"
3.4033, 50.90041, "RF - 70KMH - 0297"
3.4098, 50.90328, "RF - 70KMH - 0348"
3.41012, 50.90364, "RF - 70KMH - 0411"
3.09855, 50.95159, "RF - 70KMH - 0004"
3.49365, 50.95503, "RF - 70KMH - 0225"
3.49396, 50.95545, "RF - 70KMH - 0349"
2.8663, 50.95851, "RF - 70KMH - 0077"
2.90427, 50.96756, "RF - 70KMH - 0103"
3.52396, 50.9821, "RF - 70KMH - 0478"
3.52337, 50.98252, "RF - 70KMH - 0484"
2.68442, 51.00521, "RF - 70KMH - 0020"
2.68402, 51.00559, "RF - 70KMH - 0354"
3.67066, 51.01797, "RF - 70KMH - 0497"
3.67149, 51.01825, "RF - 70KMH - 0379"
3.00422, 51.0193, "RF - 70KMH - 0035"
3.00486, 51.01959, "RF - 70KMH - 0080"
3.04462, 51.02252, "RF - 70KMH - 0477"
3.04511, 51.02279, "RF - 70KMH - 0270"
2.93718, 51.06647, "RF - 70KMH - 0461"
2.79351, 51.06848, "RF - 70KMH - 0407"
4.02514, 50.75483, "RF - 70KMH - 0395"
4.02459, 50.75495, "RF - 70KMH - 0390"
4.02538, 50.75508, "RF - 70KMH - 0387"
4.02489, 50.75526, "RF - 70KMH - 0052"
3.86875, 50.77214, "RF - 70KMH - 0100"
3.86883, 50.77273, "RF - 70KMH - 0087"
4.03132, 50.84489, "RF - 70KMH - 0361"
4.03046, 50.84499, "RF - 70KMH - 0438"
3.83935, 50.8742, "RF - 70KMH - 0112"
3.83957, 50.87425, "RF - 70KMH - 0229"
3.83877, 50.87464, "RF - 70KMH - 0102"
3.83897, 50.87472, "RF - 70KMH - 0101"
3.7803, 50.88545, "RF - 70KMH - 0439"
3.78124, 50.88569, "RF - 70KMH - 0194"
4.03252, 50.88582, "RF - 70KMH - 0151"
4.032, 50.88632, "RF - 70KMH - 0394"
3.83334, 50.88637, "RF - 70KMH - 0434"
3.83356, 50.88641, "RF - 70KMH - 0385"
3.8328, 50.88692, "RF - 70KMH - 0081"
3.83303, 50.88696, "RF - 70KMH - 0055"
3.80589, 50.89496, "RF - 70KMH - 0105"
3.80643, 50.89539, "RF - 70KMH - 0171"
3.82942, 50.89829, "RF - 70KMH - 0259"
3.82843, 50.89895, "RF - 70KMH - 0296"
4.03312, 50.95576, "RF - 70KMH - 0485"
4.03315, 50.95629, "RF - 70KMH - 0371"
4.03399, 50.95655, "RF - 70KMH - 0275"
4.03394, 50.95711, "RF - 70KMH - 0474"
3.68612, 50.99653, "RF - 70KMH - 0088"
3.68623, 50.99728, "RF - 70KMH - 0448"
3.96434, 51.00836, "RF - 70KMH - 0367"
3.70117, 51.00873, "RF - 70KMH - 0309"
3.75521, 51.03476, "RF - 70KMH - 0406"
3.75383, 51.03499, "RF - 70KMH - 0053"
2.70602, 51.14219, "RF - 70KMH - 0079"
2.71387, 51.13392, "RF - 70KMH - 0342"
2.71437, 51.13368, "RF - 70KMH - 0327"
2.91471, 51.21429, "RF - 70KMH - 0003"
2.91571, 51.21467, "RF - 70KMH - 0425"
2.91741, 51.22212, "RF - 70KMH - 0475"
2.91791, 51.22158, "RF - 70KMH - 0034"
2.9208, 51.21464, "RF - 70KMH - 0419"
2.92213, 51.21779, "RF - 70KMH - 0228"
2.92419, 51.21763, "RF - 70KMH - 0006"
2.93528, 51.16028, "RF - 70KMH - 0520"
2.93972, 51.15778, "RF - 70KMH - 0519"
2.94025, 51.22247, "RF - 70KMH - 0057"
2.94093, 51.22711, "RF - 70KMH - 0414"
2.94112, 51.22368, "RF - 70KMH - 0230"
2.94153, 51.22654, "RF - 70KMH - 0493"
3.00064, 51.12063, "RF - 70KMH - 0104"
3.00136, 51.12041, "RF - 70KMH - 0078"
3.15307, 51.32069, "RF - 70KMH - 0322"
3.15449, 51.32135, "RF - 70KMH - 0292"
3.18909, 51.2145, "RF - 70KMH - 0226"
3.18994, 51.21325, "RF - 70KMH - 0005"
3.19217, 51.20623, "RF - 70KMH - 0048"
3.19282, 51.20579, "RF - 70KMH - 0019"
3.19818, 51.24189, "RF - 70KMH - 0227"
3.19865, 51.24168, "RF - 70KMH - 0050"
3.20217, 51.18466, "RF - 70KMH - 0298"
3.20264, 51.18432, "RF - 70KMH - 0058"
3.20624, 51.17188, "RF - 70KMH - 0316"
3.20701, 51.17142, "RF - 70KMH - 0001"
3.21368, 51.20942, "RF - 70KMH - 0051"
3.21436, 51.20938, "RF - 70KMH - 0295"
3.21899, 51.19884, "RF - 70KMH - 0002"
3.21965, 51.19875, "RF - 70KMH - 0359"
3.23024, 51.19865, "RF - 70KMH - 0323"
3.23066, 51.19942, "RF - 70KMH - 0054"
3.23378, 51.22207, "RF - 70KMH - 0319"
3.23483, 51.20215, "RF - 70KMH - 0059"
3.23484, 51.22084, "RF - 70KMH - 0037"
3.23556, 51.20286, "RF - 70KMH - 0032"
3.24055, 51.21281, "RF - 70KMH - 0082"
3.24152, 51.21141, "RF - 70KMH - 0111"
3.29622, 51.32485, "RF - 70KMH - 0007"
3.29692, 51.3245, "RF - 70KMH - 0192"
3.31007, 51.315, "RF - 70KMH - 0117"
3.31033, 51.31468, "RF - 70KMH - 0108"
3.31053, 51.31459, "RF - 70KMH - 0211"
3.31099, 51.31522, "RF - 70KMH - 0222"
3.31128, 51.31472, "RF - 70KMH - 0231"
