;lon,lat,descr
3.16473, 50.78206, "[WV][REKKEM-001]Moeskroenstraat ( N50.78206 E3.16473 ) "
3.27222, 50.815, "[WV][KORTRIJK-012]Doorniksesteenweg ( N50.815 E3.27222 ) "
3.2386, 50.82622, "[WV][BISSEGEM-001]Meensesteenweg ( N50.82622 E3.2386 ) "
3.24174, 50.82704, "[WV][KORTRIJK-010]Meensesteenweg ( N50.82704 E3.24174 ) "
3.28225, 50.83642, "[WV][KORTRIJK-011]Gentsesteenweg  huisnr. 719 ( N50.83642 E3.28225 ) "
3.15108, 50.86604, "[WV][ROLLEGEM-KAPELLE-001]Roeselarestraat ( N50.86604 E3.15108 ) "
3.18422, 50.86952, "[WV][SINT-ELOOIS-WINKEL-001]Gullegemsestraat ( N50.86952 E3.18422 ) "
2.93592, 50.8891, "[WV][SINT-JULIAAN-001]Brugseweg ( N50.8891 E2.93592 ) "
2.93731, 50.89111, "[WV][SINT-JULIAAN-002]Brugseweg ( N50.89111 E2.93731 ) "
3.06316, 50.89754, "[WV][MOORSLEDE-001]Passendaalsestraat ( N50.89754 E3.06316 ) "
3.0149, 50.93105, "[WV][WESTROZEBEKE-001]Ommegang Oost ( N50.93105 E3.0149 ) "
3.05549, 50.93669, "[WV][OOSTNIEUWKERKE-001]Spanjestraat ( N50.93669 E3.05549 ) "
2.93102, 50.97236, "[WV][HOUTHULST-001]Jonkershofstraat ( N50.97236 E2.93102 ) "
2.95549, 50.98504, "[WV][HOUTHULST-002]Terreststraat ( N50.98504 E2.95549 ) "
2.95553, 50.98509, "[WV][HOUTHULST-004]Terreststraat ( N50.98509 E2.95553 ) "
2.86441, 51.02535, "[WV][DIKSMUIDE-002]Woumenweg ( N51.02535 E2.86441 ) "
2.90866, 51.0254, "[WV][ESEN-001]Roeselarestraat ( N51.0254 E2.90866 ) "
2.89809, 51.02829, "[WV][ESEN-002]Esenweg ( N51.02829 E2.89809 ) "
2.87848, 51.03144, "[WV][DIKSMUIDE-001]Esenweg ( N51.03144 E2.87848 ) "
3.16532, 51.10169, "[WV][VELDEGEM-001]Koningin Astridstraat  ( N51.10169 E3.16532 ) "
2.64441, 51.10407, "[WV][KOKSIJDE-001]Robert Vandammestraat ( N51.10407 E2.64441 ) "
3.1936, 51.11186, "[WV][WAARDAMME-001]Sijslostraat ( N51.11186 E3.1936 ) "
3.09172, 51.11198, "[WV][AARTRIJKE-001]Aartrijkestraat ( N51.11198 E3.09172 ) "
2.68771, 51.11704, "[WV][OOSTDUINKERKE-001]Nieuwpoortsteenweg ( N51.11704 E2.68771 ) "
3.16676, 51.12417, "[WV][ZUIDWEGE-001]Ruddervoordestraat ( N51.12417 E3.16676 ) "
3.32797, 51.13799, "[WV][BEERNEM-001]Parkstraat ( N51.13799 E3.32797 ) "
3.1959, 51.15013, "[WV][LOPPEM-001]Rijsselsestraat ( N51.15013 E3.1959 ) "
2.90244, 51.19884, "[WV][OOSTENDE-021]Torhoutsesteenweg ( N51.19884 E2.90244 ) "
2.90291, 51.20146, "[WV][OOSTENDE-017]Torhoutsesteenweg ( N51.20146 E2.90291 ) "
2.86206, 51.20869, "[WV][RAVERSIJDE-001]Zeedijk ( N51.20869 E2.86206 ) "
2.88562, 51.21411, "[WV][OOSTENDE-016]Nieuwpoortsesteenweg ( N51.21411 E2.88562 ) "
2.90453, 51.21429, "[WV][OOSTENDE-007]Elisabethlaan ( N51.21429 E2.90453 ) "
2.88693, 51.21491, "[WV][MARIAKERKE-001]Nieuwpoortsesteenweg  ( N51.21491 E2.88693 ) "
2.89633, 51.21894, "[WV][OOSTENDE-010]Nieuwpoortsesteenweg ( N51.21894 E2.89633 ) "
4.20531, 50.46549, "[HG][HAINE-SAINT-PAUL-001]Chaussee de Redemont ( N50.46549 E4.20531 ) "
4.16347, 50.48373, "[HG][HOUDENG-AIMERIES-001]Chaussée Paul Houtart  ( N50.48373 E4.16347 ) "
4.20215, 50.49, "[HG][LA-LOUVIERE-001]Rue Eugène Dubois ( N50.49 E4.20215 ) "
3.35, 50.72083, "[WV][SPIERE-001]Jacquetbosstraat ( N50.72083 E3.35 ) "
4.02483, 50.76201, "[VB][VOLLEZELE-004]Ninoofsesteenweg ( N50.76201 E4.02483 ) "
3.86115, 50.76254, "[OV][OVERBOELARE-002]Groteweg ( N50.76254 E3.86115 ) "
4.02474, 50.7637, "[VB][VOLLEZELE-003]Ninoofsesteenweg ( N50.7637 E4.02474 ) "
3.86528, 50.76462, "[OV][OVERBOELARE-001]Groteweg ( N50.76462 E3.86528 ) "
