;lon,lat,descr
2.68419, 51.00565, "[WV][ALVERINGEM-003]Hoogstadestraat ( N51.00565 E2.68419 ) "
2.68432, 51.00508, "[WV][ALVERINGEM-002]Hoogstadestraat ( N51.00508 E2.68432 ) "
2.85935, 50.86427, "[WV][IEPER-006]Veurnseweg ( N50.86427 E2.85935 ) "
3.00423, 51.01941, "[WV][HANDZAME-002]Staatsbaan ( N51.01941 E3.00423 ) "
3.00465, 51.0195, "[WV][HANDZAME-001]Staatsbaan ( N51.0195 E3.00465 ) "
3.04459, 51.02254, "[WV][KORTEMARK-002]Staatsbaan ( N51.02254 E3.04459 ) "
3.04512, 51.02277, "[WV][KORTEMARK-001]Staatsbaan ( N51.02277 E3.04512 ) "
3.28584, 50.83895, "[WV][KORTRIJK-009]Ringlaan ( N50.83895 E3.28584 ) "
3.28649, 50.83873, "[WV][HARELBEKE-001]Ringlaan ( N50.83873 E3.28649 ) "
3.32465, 50.86342, "[WV][HARELBEKE-003]Gentsesteenweg ( N50.86342 E3.32465 ) "
3.3256, 50.86404, "[WV][HARELBEKE-002]Gentsesteenweg ( N50.86404 E3.3256 ) "
3.35911, 50.87973, "[WV][DESSELGEM-001]Kortrijkseweg ( N50.87973 E3.35911 ) "
3.35949, 50.88011, "[WV][DESSELGEM-002]Gentseweg ( N50.88011 E3.35949 ) "
3.40269, 50.90004, "[WV][SINT-ELOOIS-VIJVE-002]Gentseweg ( N50.90004 E3.40269 ) "
3.40323, 50.90005, "[WV][SINT-ELOOIS-VIJVE-003]Roterijstraat ( N50.90005 E3.40323 ) "
3.40394, 50.90048, "[WV][SINT-ELOOIS-VIJVE-004]Transvaalstraat ( N50.90048 E3.40394 ) "
3.40979, 50.90327, "[WV][SINT-ELOOIS-VIJVE-006]Gentseweg ( N50.90327 E3.40979 ) "
3.4101, 50.90363, "[WV][SINT-ELOOIS-VIJVE-005]Gentseweg ( N50.90363 E3.4101 ) "
3.44433, 50.86891, "[WV][WAREGEM-001]Anzegemseweg ( N50.86891 E3.44433 ) "
3.49367, 50.95515, "[OV][MACHELEN-OV-001]Rijksweg ( N50.95515 E3.49367 ) "
3.52344, 50.98221, "[OV][DEINZE-003]Tweebruggenlaan ( N50.98221 E3.52344 ) "
3.5239, 50.98191, "[OV][DEINZE-002]Tweebruggenlaan ( N50.98191 E3.5239 ) "
3.5869, 50.76454, "[OV][RONSE-002]Kruisstraat ( N50.76454 E3.5869 ) "
3.58717, 50.76495, "[OV][RONSE-001]Kruisstraat ( N50.76495 E3.58717 ) "
3.61659, 50.90932, "[OV][OUWEGEM-001]Ouwegemsesteenweg ( N50.90932 E3.61659 ) "
3.61759, 50.90949, "[OV][OUWEGEM-004]Kruishoutemsesteenweg ( N50.90949 E3.61759 ) "
3.65546, 51.05128, "[OV][DRONGEN-001]Deinsesteenweg ( N51.05128 E3.65546 ) "
3.65575, 51.0517, "[OV][DRONGEN-002]Deinsesteenweg ( N51.0517 E3.65575 ) "
3.6711, 51.018, "[OV][SINT-DENIJS-WESTREM-003]Kortrijksesteenweg ( N51.018 E3.6711 ) "
3.68579, 50.99686, "[OV][DEPINTE-002]Klossestraat ( N50.99686 E3.68579 ) "
3.68609, 50.99664, "[OV][DEPINTE-003]Grotesteenweg-Zuid ( N50.99664 E3.68609 ) "
3.68629, 50.99697, "[OV][DEPINTE-001]Grotesteenweg-Zuid ( N50.99697 E3.68629 ) "
3.70115, 51.00892, "[OV][ZWIJNAARDE-001]Grotesteenweg-Zuid ( N51.00892 E3.70115 ) "
3.96805, 50.45311, "[HG][MONS-001]Avenue Reine Astrid ( N50.45311 E3.96805 ) "
3.9691, 50.45313, "[HG][MONS-003]Avenue Reine Astrid ( N50.45313 E3.9691 ) "
3.96831, 50.45332, "[HG][MONS-002]Chaussee du Roeulx ( N50.45332 E3.96831 ) "
4.02516, 50.75484, "[VB][VOLLEZELE-006]Ninoofsesteenweg ( N50.75484 E4.02516 ) "
4.02463, 50.75495, "[VB][VOLLEZELE-002]Repingestraat ( N50.75495 E4.02463 ) "
4.02533, 50.75514, "[VB][VOLLEZELE-005]Langestraat ( N50.75514 E4.02533 ) "
4.0249, 50.75526, "[VB][VOLLEZELE-001]Ninoofsesteenweg ( N50.75526 E4.0249 ) "
3.86861, 50.77222, "[OV][NEDERBOELARE-002]Astridlaan ( N50.77222 E3.86861 ) "
3.86903, 50.77274, "[OV][NEDERBOELARE-001]Astridlaan ( N50.77274 E3.86903 ) "
