; Europa-Austria-Blitzer: Blitzer-130-m_NF.asc
; POIs from NaviFriends.com - Release: 27.05.2009
; Send informations about POIs to info@NaviFriends.com
; Free download only from www.NaviFriends.com. Not for sale!
; (C) by NaviFriends.com - free for private use

15.350690,46.959150,"8842|8501 Lieboch|A2 $0x88868a55$"
15.366320,48.202180,"9645|3382 Roggendorf|A1 $0x7f83864e$"
15.700210,48.379860,"1696|3506 Krems An Der Donau - Hollenburg|S33 $0x86837b824d$"
15.733562,48.186338,"19233|3143 Pyhra - Perersdorf|A1 $0x797a8341$"
15.962710,47.081500,"8838|8263 Neudorf Bei Ilz|A2 $0x8183834f$"
15.987981,48.096690,"19211|2533 Klausen-Leopoldsdorf|A21 $0x85868d54$"
16.024252,48.085583,"19192|2533 Klausen-Leopoldsdorf|A21 $0x8b8a52$"
16.067930,47.304020,"8834|7411 Markt Allhau|A2 $0x808583914f$"
16.109292,48.175663,"18544|3013 Pressbaum - Brentenmais|A1 $0x888d8656$"
16.151675,47.728666,"19621|2624 Breitenau|A2 $0x79748644$"
16.182310,47.834200,"1704|2721 Bad Fischau|A2 $0x73797742$"
16.207590,47.900820,"1705|2751 Hölles|A2 $0x7947$"
16.411055,47.908159,"21069|2486 Pottendorf - Landegg|A3 $0x8182844e$"
16.411759,47.906101,"21068|2486 Pottendorf - Landegg|A3 $0x85898d54$"
16.415825,47.878644,"21066|7053 Hornstein|A3 $0x858b889654$"
16.661400,48.094090,"1720|2401 Fischamend|A4 $0x8486869553$"
16.683380,48.073580,"1721|2464 Göttlesbrunn-Arbesthal - Arbesthal|A4 $0x8b899058$"
16.742087,48.047462,"23240|2460 Bruck An Der Leitha|A4 $0x76767d45$"
