; Europa-Austria-Blitzer: Blitzer-30_NF.asc
; POIs from NaviFriends.com - Release: 27.05.2009
; Send informations about POIs to info@NaviFriends.com
; Free download only from www.NaviFriends.com. Not for sale!
; (C) by NaviFriends.com - free for private use

9.581732,47.230205,"17966|6800 Feldkirch|Dorfstraße $0x89898c57$"
10.585061,47.308204,"20299|6644 Pfafflar - Bschlabs|L266-Taschach $0x8686839553$"
11.389460,47.273960,"7613|6020 Innsbruck|Hohenstraße"
12.058725,47.485206,"21337|6300 Wörgl|Michael Pacher-Straße $0x8a8a8b57$"
12.064976,47.484251,"22327|6300 Wörgl|Wildschönauer Straße $0x838786808752$"
12.068116,47.494168,"22326|6300 Wörgl|Rupert-Hagleitner-Straße"
12.759586,46.826203,"22790|9900 Lienz|Dolomitenstraße $0x888655$"
13.006950,47.812470,"7677|5020 Salzburg|Doktor-Gmelin-Straße"
13.009700,47.810070,"7618|5020 Salzburg|Klessheimer Allee"
13.036050,47.780720,"7465|5020 Salzburg|Georg-Nikilaus-Von-Nissen-Straße"
13.048470,47.824880,"7678|5020 Salzburg|Kirchenstraße $0x8c8a818353$"
13.058500,47.813090,"7619|5020 Salzburg|Röckelbrunnstraße"
13.062510,47.820850,"1922|5023 Salzburg|Anglassingerstraße $0x88878b838955$"
13.068036,47.800961,"21930|5020 Salzburg|Fadingerstraße $0x868985838a55$"
13.069300,47.819760,"8937|5023 Salzburg|Bachstraße $0x8082857d86914f$"
13.655748,48.010694,"23122|4840 Vöcklabruck|Oberstadtgries $0x878b8955$"
13.827160,46.585040,"7622|9500 Villach|Warmbader Straße"
13.841060,46.597990,"7623|9500 Villach|Kärntner Straße"
13.843900,46.597700,"7624|9500 Villach|Richtstraße"
13.848230,46.601030,"7621|9500 Villach|Burgenlandstraße"
13.852450,46.604370,"7620|9500 Villach|Burgenlandstraße"
13.867120,46.622440,"7625|9500 Villach|Udinestraße"
14.021020,48.170180,"7680|4600 Wels|Wallerer Straße"
14.293870,46.643666,"21300|9020 Klagenfurt|Feschnigstraße $0x898e8b9a58$"
14.296590,46.632690,"7614|9020 Klagenfurt|Aichelburg-Labia-Straße $0x767c778745$"
14.305190,46.610240,"1862|9020 Klagenfurt|Mössingerstraße $0x847e8e4c$"
14.325860,46.623034,"19333|9020 Klagenfurt|Ebentaler Straße $0x84868b9553$"
14.407560,48.026220,"7681|4451 Garsten|Sankt-Berthold-Allee"
15.407630,47.074590,"7682|8020 Graz|Alte Poststraße $0x83888a9452$"
15.461260,47.056350,"7612|8010 Graz|Brucknerstraße $0x8e88868a9a58$"
15.480040,47.036189,"20532|8042 Graz|Maggstraße $0x8588879654$"
15.492930,47.004300,"7683|8071 Grambach|Erlenstraße"
16.217780,47.809230,"7684|2700 Wiener Neustadt|Brunner Straße"
16.233790,47.806590,"7685|2700 Wiener Neustadt|Braunlichgasse"
16.256940,47.815910,"7686|2700 Wiener Neustadt|Lazarettgasse $0x7879778846$"
16.269070,47.797890,"7687|2700 Wiener Neustadt|Leithakoloniestraße"
16.282410,48.097480,"7688|2344 Maria Enzersdorf|Franz-Josef-Straße"
16.287400,48.087960,"9387|2340 Mödling|Lerchengasse"
16.290670,48.087390,"9386|2340 Mödling|Jakob-Thoma-Straße"
16.291140,48.103770,"7696|2345 Brunn Am Gebirge|Bahnstraße"
16.292620,48.078080,"7689|2340 Mödling|Josef-Lowatschek-Gasse"
16.293300,48.084290,"7615|2340 Mödling|Demelgasse"
16.295820,48.075470,"7690|2340 Mödling|Weisses Kreuz-Gasse"
16.295830,48.088200,"7691|2340 Mödling|Gabrieler Straße"
16.301920,48.090770,"7616|2346 Mödling|Grenzgasse"
16.303420,48.079610,"7692|2340 Mödling|Hartigstraße"
16.316560,48.088200,"7693|2351 Wiener Neudorf|Eumigweg $0x8484879452$"
16.318210,48.087910,"7694|2351 Wiener Neudorf|Europaplatz"
16.352100,48.080980,"7695|2362 Biedermannsdorf|Laxenburger Straße"
