; Europa-Austria-Blitzer: Blitzer-80_NF.asc
; POIs from NaviFriends.com - Release: 27.05.2009
; Send informations about POIs to info@NaviFriends.com
; Free download only from www.NaviFriends.com. Not for sale!
; (C) by NaviFriends.com - free for private use

9.873620,47.142960,"3885|6700 Radin->Bings|A16"
9.999690,47.124350,"3635|6752 Dalaas|S16"
10.007400,47.124780,"3886|6752 Dalaas|S16"
10.119940,47.129760,"3640|6754 Langen->Klösterle|S16"
10.138100,47.128230,"9234|6754 Langen->Sankt Christoph|S16"
10.542461,47.141739,"20801|6500 Landeck - Bruggen|S16-Perjentunnel $0x797c747b46$"
10.574360,47.157470,"3644|6500 Zams->Stanz Bei landeck|S16"
10.607210,47.016870,"13372|6541 Tösens|B180 $0x777342$"
10.881910,47.373790,"3887|6633 Biberwier->Fernpass|B179"
12.542260,47.002000,"3561|9971 Matrei In Osttirol->Feld|B108"
12.680468,46.872543,"1760|9951 Ainet|B108-Gewerbegebiet 136 $0x7a788047$"
13.471660,46.809980,"3889|9800 Spittal An Der Drau-Sankt Peter In Holz|B100"
13.966620,47.482690,"3890|8954 Lengdorf->Sankt Martin Am Grimming|B320"
14.119870,47.529490,"4526|8950 Stainach|B320 $0x787b43$"
14.234890,47.751940,"3891|4572 Sankt Pankraz|A9"
14.269200,46.623100,"4755|9020 Klagenfurt|A2 $0x7e83834c$"
14.297350,48.261860,"8831|4020 Linz|A7 $0x814f$"
14.299360,48.323780,"9228|4040 Linz|A7 $0x81837f7d844f$"
14.302430,48.317490,"3607|4020 Linz|A7-Mühlkreis-Autobahn $0x8381847e8750$"
14.306730,48.282850,"9229|4020 Linz|A7 $0x8b8e8c59$"
14.310560,48.283990,"3892|4020 Linz|A7 $0x84864f$"
14.314630,48.301960,"3566|4020 Linz|A7 $0x797e8048$"
14.316280,48.299240,"9230|4020 Linz|A7 $0x8d8e8f5a$"
14.318980,48.291220,"3893|4020 Linz|A7 $0x737b42$"
15.303050,48.816350,"17237|3830 Waidhofen an der Thaya|B5 $0x7e817e4d$"
15.303380,48.815620,"17236|3830 Waidhofen an der Thaya|B5 $0x8d8e905a$"
15.316070,46.938620,"15012|8502 Heuholz|B76-Radlpaßstraße $0x7f767c48$"
15.413240,47.029790,"3638|8054 Graz|A9-Anschlussstelle Graz-Webling $0x8c54$"
16.235870,48.092280,"3895|2371 Hinterbrühl|A21"
16.327310,48.156620,"3896|1120 Wien|A23 $0x79797848$"
16.329280,48.156060,"9232|1120 Wien|A23 $0x79807c47$"
16.336727,48.144554,"3619|1230 Wien|A23 $0x878b54$"
16.342164,48.150330,"18607|1230 Wien|A23 $0x73747242$"
16.363050,48.151830,"3637|1100 Wien|A23 $0x767c7944$"
16.364220,48.151480,"9233|1100 Wien|A23 $0x85848854$"
16.375015,48.152655,"3634|1100 Wien|A23-Hansonkurve $0x777643$"
16.375040,48.156200,"3633|1100 Wien|A23 $0x8a898858$"
16.390040,48.251710,"3636|1210 Wien|A22 $0x84848151$"
16.418750,48.194520,"3642|1020 Wien|A23 $0x777843$"
16.421050,48.196330,"3643|1020 Wien|A23 $0x7e7e814c$"
16.432052,48.203609,"3641|1020 Wien|A23 $0x797945$"
16.547860,48.426280,"3897|2123 Kronberg->Bad Pirawarth|B7"
