; Europa-Austria-Blitzer: Blitzer-unsortiert-m_NF.asc
; POIs from NaviFriends.com - Release: 27.05.2009
; Send informations about POIs to info@NaviFriends.com
; Free download only from www.NaviFriends.com. Not for sale!
; (C) by NaviFriends.com - free for private use

10.749030,47.217410,"1451|6460 Anschlussstelle Imst-Pitztal|A12 $0x7a7742$"
11.198870,47.324520,"1478|6100 Krinz|B177 $0x7d7f7f4a$"
13.007110,47.806130,"8843|5020 Salzburg|Siezenheimer Straße"
13.074820,47.753060,"8837|5081 Anif|B150 $0x868b8d55$"
13.194920,47.353410,"1612|5600 Sankt Johann Im Pongau|Gerbergasse"
13.209420,47.441530,"1613|5450 Pfarrwefren->Bischofshofen|B159"
13.591160,46.741490,"1634|9714 Olsach->Kamering|B100"
14.019530,46.591300,"1657|9232 Rosegg|L52 $0x757c7444$"
14.019890,46.594610,"1658|9232 Sankt Lamprecht|L52 $0x7e7d4d$"
14.184140,48.193430,"1667|4055 Pucking|A25 $0x8d8656$"
14.286890,48.247540,"1670|4030 Linz|Daimlerstraße"
14.289560,48.247120,"1671|4030 Linz|Neubauzeile $0x8e8a9a58$"
14.290250,48.261060,"1672|4020 Linz|Landwiedstraße $0x767c788745$"
14.300040,48.255420,"1674|4030 Linz|Schörgenhubstraße"
14.388210,46.626130,"1677|9065 Klagenfurt->Niederdorf|B70"
14.388730,46.756260,"1678|9313 Sankt Veit An Der Glan->Sankt Donat|B317"
14.437770,46.822290,"1680|9330 Dürnfeld->Tratschweg|B317"
14.559870,48.341640,"1685|4230 Pregarten->Tragwein|B124"
15.569150,47.976910,"1690|3183 Türnitz - Freiland|B20"
15.572600,47.972450,"1691|3183 Türnitz - Freiland|B214"
15.593000,47.950250,"1692|3192 Hohenberg|B214-Lilienfelder Straße"
15.611690,47.926530,"1693|3192 Furthof|B214"
15.617390,47.914390,"1694|3192 Hohenberg|B214"
15.619550,47.904440,"1695|3192 Hohenberg|B214"
15.706740,48.299690,"1697|3130 Freilehnmühle->Herzogenburg|S33"
16.007180,48.177690,"1698|3032 Eichgraben-Rekawinkel|B44"
16.013490,48.177410,"1699|3031 Rekawinkel|B44"
16.053950,48.352830,"1700|3430 Trübensee->Tulln An Der Donau|Zur Langen Brückenlahn"
16.105100,48.366830,"1701|3464 Zaina->Oberzögersdorf|S5 $0x75777843$"
16.134990,47.281950,"1702|7411 Markt Allhau->Oberwart|B50"
16.160400,48.377900,"1703|2000 Oberzögersdorf->Unterzögersdorf|S5 $0x878b8d55$"
16.372250,47.654230,"1706|7223 Sieggraben|S31"
16.379560,47.671280,"1707|7223 Mattersburg->Sieggraben|S31"
16.385070,48.072620,"1708|2481 Achau->Münchendorf|B16"
16.406100,47.435650,"1712|7442 Piringsdorf->Hochstrass|B50"
16.424710,47.451020,"1713|7371 Piringsdorf|B50 $0x8a8f8858$"
16.451370,47.795020,"1716|7024 Eisenstadt->Hirm|S31"
16.657780,48.727670,"1719|2170 Steinebrunn->Poysdorf|B7"
