; Europa-Austria-Blitzer: Blitzer-unsortiert_NF.asc
; POIs from NaviFriends.com - Release: 27.05.2009
; Send informations about POIs to info@NaviFriends.com
; Free download only from www.NaviFriends.com. Not for sale!
; (C) by NaviFriends.com - free for private use

10.376640,47.061220,"1860|6555 Kappl|B188 $0x7e7848$"
10.465000,47.083610,"8942|6553 See|B188"
10.498980,46.890860,"1899|6543 Nauders|B180"
10.534640,46.968830,"1912|6542 Pfunds|B180"
10.586110,47.155830,"8960|6511 Zams|Hauptstraße"
10.719900,47.498570,"1918|6600 Reutte|Allgäuer Straße $0x7a817c49$"
10.921890,47.299690,"1906|6416 Obsteig|B189 $0x8a878757$"
10.928320,47.265850,"1940|6424 Silz|B171"
10.952970,47.101230,"8906|6444 Au|B186"
11.061080,47.309920,"1957|6410 Telfs|Lumma"
11.075890,47.306450,"1956|6410 Telfs|Anton-Auer-Straße"
11.209610,47.276930,"2210|6401 Inzing|A12"
11.247800,47.274990,"2000|6170 Zirl|Russhütte"
11.264650,47.390470,"1933|6108 Scharnitz|B177"
11.313670,47.256050,"1981|6176 Völs|Landstraße $0x7473758543$"
11.420960,47.281940,"1855|6020 Innsbruck|Arzler Straße"
11.425480,47.274500,"1856|6020 Innsbruck|Reichenauer Straße"
11.466660,47.091490,"1952|6150 Stainch Am Brenner|B182"
11.568190,47.288070,"1980|6111 Volders|B171 $0x8f8f9957$"
11.639600,47.304160,"1863|6114 Weer|B171 $0x80848d4b$"
12.214970,47.628030,"1798|6341 Ebbs|B175"
12.573430,46.937130,"1893|9953 Huben|B108"
12.601520,46.771470,"1765|9911 Mittewald An Der Drau|B100"
12.645340,46.780860,"1766|9911 Mittewald An Der Drau->Thal-Aue|B100"
12.817560,46.832150,"1905|9990 Nussdorf-Debant|B107a"
13.041180,47.771590,"1923|5020 Salzburg|Berchtesgadner Straße"
13.134500,46.933660,"2220|9831 Flattach|B106"
13.163930,47.576080,"1908|5440 Golling An Der Salzach|A10 $0x7a7e7949$"
13.168680,47.573820,"1909|5440 Golling An Der Salzach|A10 $0x81827e4e$"
13.181980,46.938800,"1917|9821 Obervellach|B106 $0x908757$"
13.183430,46.750390,"8895|9761 Greifenburg|B100 $0x84888252$"
13.395510,47.311990,"1799|5542 Flachauwinkel|A10 $0x898e8d58$"
13.419900,46.831180,"1880|9811 Lendorf|B100"
13.466600,46.812830,"1998|9800 Sankt Peter In Holz->Spittal An Der Drau|B100"
13.596390,47.105280,"8939|5582 Oberweissburg|A10"
13.604720,47.098330,"8940|5582 Unterweissburg|A10"
13.622216,48.001842,"8948|4850 Timelkam->Strass|Linzer Straße"
13.681150,47.396370,"1935|8970 Schladming|B320 $0x857f4f$"
13.720590,48.011710,"8867|4800 Attnang|B1"
13.767400,46.656440,"1846|9722 Puch->Weissenbach|Gersheimstraße"
13.771190,48.053410,"1937|4690 Oberndorf|B1"
13.773260,46.633850,"1975|9500 Mittewald Ob Villach|Kadutschengrabenweg $0x82844f$"
13.787720,47.413260,"1854|8967 Haus->Ruperting|B320"
13.792260,48.039850,"2224|4690 Rustorf|B135"
13.818570,46.626300,"1977|9500 Obere Fellach|Bleiberger Straße"
13.834400,46.599810,"1969|9500 Villach|Villacher Schachtestraße"
13.840810,46.605330,"1968|9500 Villach|Italiener Straße"
13.840920,46.560560,"2225|9585 Techanting|B85 $0x78787c47$"
13.854440,46.607220,"8949|9500 Villach|Ludwig-Walter-Straße"
