; Europa-France-Blitzer: Blitzer-110-m_NF.asc
; POIs from NaviFriends.com - Release: 27.05.2009
; Send informations about POIs to info@NaviFriends.com
; Free download only from www.NaviFriends.com. Not for sale!
; (C) by NaviFriends.com - free for private use

0.449980,48.516830,"8170|61560 Boëcé|N12"
2.162546,48.645670,"8186|91640 Janvry|A10 $0x88888e56$"
2.328580,47.041360,"8191|18570 La Chapelle-Saint-Ursin|N151 $0x7a768745$"
2.863720,49.483960,"8201|60150 Thourotte|N32 $0x7d7e7e8d4b$"
3.193260,49.296340,"8210|02600 Saint-Pierre-Aigle|N2"
4.078740,43.570770,"8226|34280 La Grande-Motte|D62 $0x7d788846$"
4.372550,49.523120,"8239|08300 Rethel|N51 $0x8f8b9856$"
4.784690,45.774520,"8514|69130 Ecully|A6 $0x8b8e8d9c5a$"
4.797243,45.591893,"8515|69360 Ternay|A7 $0x757a7c8644$"
6.120800,47.206600,"8292|25660 Saône|N57"
6.270340,49.013480,"16449|57420 Pontoy|D955-Nationale Metz-Strasbourg $0x7f85814e$"
