; Europa-Germany-Blitzer: Blitzer-130-m_NF.asc
; POIs from NaviFriends.com - Release: 27.05.2009
; Send informations about POIs to info@NaviFriends.com
; Free download only from www.NaviFriends.com. Not for sale!
; (C) by NaviFriends.com - free for private use

7.321370,50.316030,"8089|56751 Anschlussstelle Polch|A48 $0x7a79798b49$"
7.361505,50.391204,"18485|56630 Kretz|A61 $0x7d83804b$"
7.679850,50.447180,"8090|56203 Höhr-Grenzhausen|A48 -> Koblenz $0x777d7d45$"
7.793530,50.446820,"1127|56410 Elgendorf|A3 $0x868587838c55$"
8.202777,49.701286,"23126|67598 Gundersheim|A61 $0x8b8752$"
8.251440,49.680900,"17412|67599 Worms|A61 $0x7b7d81787f4a$"
8.362770,50.080460,"14262|65207 Breckenheim|A3 $0x75797744$"
8.473460,50.027190,"13889|65479 Raunheim|A3 $0x8a899159$"
8.711002,51.690279,"17977|33106 Paderborn - Wewer|A33 $0x8c8d9159$"
8.813830,49.883420,"1273|64846 Gross-Zimmern|B26 $0x7e7949$"
12.113817,50.003023,"22711|95615 Marktredwitz - Wölsau|A93 $0x76757543$"
12.165309,47.683520,"19294|83080 Oberaudorf|A93 $0x86868653$"
12.186694,50.484308,"22712|08529 Plauen|A72 $0x7e86804d$"
12.196480,54.058900,"14275|18196 Kessin|A19 $0x7b7d7a768148$"
12.199140,54.046790,"17158|18196 Kessin|A19 $0x8c59$"
12.583056,53.014262,"13272|16818 Temnitzquell|A24 $0x8184889250$"
12.616074,52.986684,"22584|16818 Temnitzquell|A24 $0x828186914f$"
12.713520,52.923530,"1579|16818 Werder|A24 $0x73757742$"
12.763850,52.866810,"15225|16833 Neuruppin - Stöffin|A24 $0x72777341$"
12.769827,50.721253,"21535|09366 Stollberg/Erzgeb.|A72 $0x7d7c824b$"
12.789080,52.837680,"14041|16818 Langen|A24 $0x7c837b4b$"
12.872410,52.750640,"1586|16833 Linum|A24 $0x8e859755$"
13.505079,52.619839,"17740|13125 Berlin - Karow|A10-Berliner Ring $0x89908e57$"
13.741553,51.192713,"1645|01471 Radeburg|A13 $0x7f80844c$"
13.749450,51.131070,"14752|01109 Dresden Klotsche|A4 $0x8b8b5a$"
13.750850,51.137990,"9604|01471 Autobahndreieck Dresden Nord|A13 $0x7b7b7f767b48$"
13.840210,51.171380,"16479|01458 Ottendorf-Okrilla|A4 $0x7c7b44$"
