; Europa-Germany-Blitzer: Blitzer-30_NF.asc
; POIs from NaviFriends.com - Release: 27.05.2009
; Send informations about POIs to info@NaviFriends.com
; Free download only from www.NaviFriends.com. Not for sale!
; (C) by NaviFriends.com - free for private use

6.053330,50.799230,"7610|52072 Laurensberg|Rathausstraﬂe $0x76767b45$"
6.100031,50.759038,"7563|52066 Aachen|Karl-Marx-Allee $0x8283867d824f$"
6.130820,50.809040,"16061|52146 W¸rselen|Haaler Straﬂe $0x868b55$"
6.173340,50.908660,"7482|52499 Baesweiler|Kapellenstraﬂe $0x74787543$"
6.188160,50.899130,"7471|52499 Baesweiler|Bahnhofstraﬂe $0x7f8482904e$"
6.194170,50.860830,"7511|52477 Mariadorf|Eschweilerstraﬂe $0x74767843$"
6.198890,50.887220,"7561|52477 Bettendorf|Baesweilerstraﬂe $0x79777b46$"
6.199470,50.771990,"16051|52222 M¸nsterbusch->Aachen|Buschm¸hle $0x7f768846$"
6.218080,50.776460,"16152|52222 Stolberg|Fettberg $0x84804f$"
6.218910,50.566600,"9384|52156 M¸tzenich|Eupener Straﬂe $0x80807f4e$"
6.250276,51.231094,"20943|41366 Schwalmtal - Kasend|Waldnieler Straﬂe $0x78787645$"
6.278060,50.632220,"7605|52152 Lammersdorf|B399 Im Pohl $0x7e7545$"
6.383550,51.437160,"7568|47647 Nieukerk|Am Eyller See $0x7375778442$"
6.405980,50.323750,"7470|53940 Krewinkel|B265 $0x778947$"
6.415240,51.252120,"7586|41748 Viersen|Eichenstraﬂe $0x7a7b8846$"
6.592420,51.312450,"7477|47807 Krefeld|Hafelsstraﬂe $0x7c8e4c$"
6.633630,50.949490,"16692|50126 Bergheim|Gutenbergstraﬂe $0x87819351$"
6.725550,51.525280,"7527|47179 Duisburg|Dr. Wilhelm Roelen Straﬂe $0x938a9c5a$"
6.726480,51.462750,"7473|47119 Duisburg|Deichstraﬂe $0x798b49$"
6.762220,51.414380,"7485|47053 Duisburg|Krummenhakstraﬂe $0x728442$"
6.768110,50.755700,"7549|50374 Friesheim-A1|Weilerswister Straﬂe $0x938a9c5a$"
6.782780,50.756390,"7508|50374 Friesheim|Weilerswister Straﬂe $0x82828550$"
6.821880,51.022360,"6882|50259 Pulheim - Sinnersdorf|Kˆlner Straﬂe $0x77787746$"
6.863950,50.879750,"7546|50354 Hurth|Theresiastraﬂe $0x80778947$"
6.874040,50.871390,"14917|50354 H¸rth-Alt-H¸rth|Trierer Straﬂe $0x767a7b44$"
6.879440,50.941080,"14914|50933 Kˆln Am Rhein|Wendelinstraﬂe $0x798b49$"
6.880191,50.955706,"19311|50829 Kˆln - Vogelsang|Vogelsanger Straﬂe $0x7878788947$"
6.881384,51.166167,"20869|40597 D¸sseldorf - Benrath|Telleringstraﬂe $0x7475798341$"
6.888060,51.086170,"14911|40789 Monheim Am Rhein|Berliner Ring $0x878e8656$"
6.888250,50.895940,"5119|50354 H¸rth-Efferen|Berrenrather Straﬂe $0x82824c$"
6.888680,51.084950,"14912|40789 Monheim Am Rhein|Berliner Ring $0x838852$"
6.888920,51.470610,"7535|46047 Oberhausen|M¸hlenstraﬂe $0x928d9c5a$"
6.900560,51.021670,"7509|50769 Kˆln Am Rhein|Willi-Suth-Allee $0x8d8e5a$"
6.903060,51.023060,"7510|50769 Kˆln Am Rhein|Willi Suth-Allee $0x7f7f824d$"
6.934720,50.964160,"7572|50739 Kˆln Am Rhein|Escher Straﬂe $0x7476788543$"
6.935290,51.203290,"15777|40699 Erkrath - Hochdahl|Johannesberger Straﬂe $0x8086827c7f4e$"
6.935550,50.963470,"15109|50739 Kˆln Am Rhein|Escher Straﬂe $0x8183899250$"
6.936450,51.520000,"7540|46236 Bottrop|Prosperstraﬂe $0x81788a48$"
6.936960,50.943320,"7595|50672 Kˆln Am Rhein|Spichernstraﬂe $0x87889553$"
6.946100,51.121730,"15108|40764 Langenfeld|Jahnstraﬂe $0x757a788644$"
6.955210,51.415640,"7592|45149 Essen-Haarzopf|Raadter Straﬂe $0x8a8b9856$"
6.986540,51.536180,"9652|46240 Bottrop|Horster Straﬂe $0x8a8f8858$"
6.988707,51.535988,"9653|46240 Bottrop|Horster Straﬂe $0x828049$"
7.017400,51.187970,"14471|42781 Haan|Ittertalstraﬂe $0x888d8957$"
7.031940,50.982910,"16755|51061 Kˆln|Honschaftsstraﬂe $0x78797c737a45$"
7.057230,50.735720,"15676|53121 Bonn|Siemensstraﬂe $0x7f7e81904e$"
7.057880,50.968000,"14920|51067 Kˆln Am Rhein|Neufelder Straﬂe $0x7a7c7e8b49$"
7.061440,50.938830,"14913|51109 Kˆln-Neubr¸ck|Europaring $0x869856$"
7.067560,50.733840,"7585|53121 Bonn|Am Probsthof $0x8283904e$"
7.074020,51.228020,"14688|42329 Wuppertal - Vohwinkel|Ehrenhainstraﬂe $0x8486859351$"
7.075280,51.379440,"7582|45127 Kupferdreh-A44|Rodberger Straﬂe $0x8c8d58$"
7.075350,51.208670,"16627|42653 Solingen|Huttenstraﬂe $0x7e80848f4d$"
7.079088,50.949521,"19889|51109 Kˆln - Br¸ck|Br¸cker Mauspfad $0x777c7d46$"
7.097780,51.338610,"7486|42555 Tonisheide-Langenberg|Hauptstraﬂe $0x738543$"
7.114440,51.250830,"7607|42115 Wuppertal|N¸tzenberger Straﬂe $0x8c8353$"
7.125550,51.681340,"15325|45772 Marl|Bachackerweg $0x818c4a$"
7.128060,51.277500,"7574|42113 Wuppertal|Hainstraﬂe $0x7c7e808d4b$"
7.147530,51.530860,"7550|44649 Herne|Wilhelmstraﬂe $0x938a9c5a$"
7.157500,51.173890,"7502|42853 Remscheid|Solinger Straﬂe $0x7c7c7f4a$"
7.158957,50.723873,"20802|53227 Bonn - Beuel|Oberkasseler Straﬂe $0x777f7f46$"
7.173610,51.260560,"7601|42285 Wuppertal|Wittensteinstraﬂe $0x80818e4c$"
7.178880,51.188957,"18294|42853 Remscheid|Eberhardstraﬂe $0x73727a8442$"
7.181380,50.741360,"14983|53229 Bonn-Holzlar|Hauptstraﬂe $0x787e7b46$"
7.184383,51.182680,"18130|42853 Remscheid|Hochstraﬂe $0x7e7f7c4c$"
7.190280,51.225560,"7466|42369 Wuppertal|An Der Blutfinke $0x80877f4f$"
7.190560,51.224440,"7555|42369 Wuppertal|An der Blutfinke $0x7848$"
7.195000,50.697500,"7564|53639 Kˆnigswinter|Heisterbacher Straﬂe $0x8c8a8e59$"
7.218490,51.278290,"15474|42277 Wuppertal - Oberbarmen|Wichlinghauser Straﬂe $0x75748644$"
7.220165,51.502066,"18917|44809 Bochum - Hofstede|Grummer Straﬂe $0x8182897e8550$"
7.241850,51.295860,"15469|42279 Wuppertal|Wittener Straﬂe $0x87829452$"
7.305300,51.439780,"15448|58455 Witten|Universit‰tsstraﬂe $0x797b7f47$"
7.351390,51.291110,"7518|58256 Ennepetal|R¸ggeberger Straﬂe $0x7d827b4b$"
7.364880,51.606140,"7480|45731 Castrop-Rauxel-Waltrop|Ickerner Straﬂe $0x7f914f$"
7.384140,51.339870,"15456|58135 Knapp->Vogelsang|Vogelsanger Straﬂe $0x83838250$"
7.397630,51.343640,"14916|58135 Quambusch|Jungfernbruch $0x7a7a7d48$"
7.405493,51.338029,"22852|58135 Hagen|Stolzestraﬂe $0x809553$"
7.411800,51.353160,"15471|58135 Spielbrink|B¸ddingstraﬂe $0x747a7343$"
7.420026,51.619222,"6950|45731 Waltrop|Sydowstraﬂe $0x87859250$"
