; Europa-Germany-Blitzer: Blitzer-40-m_NF.asc
; POIs from NaviFriends.com - Release: 27.05.2009
; Send informations about POIs to info@NaviFriends.com
; Free download only from www.NaviFriends.com. Not for sale!
; (C) by NaviFriends.com - free for private use

7.556177,51.189687,"19787|58553 Halver - Oberbrügge-Ehringhausen|Heerstraße $0x75777c43$"
8.195730,48.782290,"1168|76530 Baden-Baden|B500 $0x8689879654$"
8.508458,50.545190,"19074|35578 Wetzlar|Stoppelberger Hohl $0x7b797c48$"
8.683700,51.828400,"9467|33161 Hövelhof-A33|Sennestraße $0x898a9755$"
8.749572,50.138746,"21384|60388 Frankfurt Am Main - Bergen-Enkheim|A66 $0x81847f4f$"
8.749860,50.807201,"17918|35037 Marburg|Rotenberg Straße $0x7e7d848f4d$"
8.833229,49.661093,"18121|64658 Fürth|B460-Odenwaldstraße $0x737a7641$"
9.614217,53.478039,"22864|21614 Buxtehude - Hedendorf|Harsefelder Straße $0x7b7b46$"
9.627673,53.959514,"18361|25551 Lohbarbek|B206-Kellinghusener Straße $0x84834d$"
10.061322,48.323838,"19035|89250 Senden|Bachstraße $0x84818951$"
10.434260,51.402578,"20356|37339 Breitenworbis|A38 $0x898450$"
10.915954,49.930504,"23068|96052 Bamberg|A73 $0x737b42$"
10.989082,51.171530,"18447|99634 Straußfurt|B4 $0x7c7d7c8b49$"
11.619706,48.317414,"20484|85386 Eching|A92 - A9 $0x8d8e56$"
12.751944,51.851675,"13692|06888 Mühlanger|B187-Dresdener Straße $0x7374738442$"
13.653041,51.073202,"22965|01157 Dresden - Cotta|A4-Auffahrt Altstadt $0x8c90925a$"
13.835457,50.922379,"19433|01809 Müglitztal|Müglitztalstraße $0x6e8341$"
13.981590,50.815812,"23006|01816 Bad Gottleuba-Berggiesshübel|S173-Peterswalder Straße $0x8b90939c5a$"
19.816740,45.018866,"22861|22100 Ruma|Pavlovacka ulica $0x77777d8644$"
19.861018,45.091715,"22412|22400 Irig|Iriska ulica $0x74798543$"
