; Europa-Germany-Blitzer: Blitzer-40_NF.asc
; POIs from NaviFriends.com - Release: 27.05.2009
; Send informations about POIs to info@NaviFriends.com
; Free download only from www.NaviFriends.com. Not for sale!
; (C) by NaviFriends.com - free for private use

6.415000,50.210000,"7388|54595 Prum|Tiergartenstraﬂe $0x839553$"
7.263274,51.313881,"21438|42279 Wuppertal|A46 $0x8b8b55$"
7.266240,51.217434,"22319|42399 Wuppertal|L81 - Olper Hˆhe $0x728745$"
7.277880,50.658290,"16037|53604 Bad Honnef|L144-Schmelztalstraﬂe $0x787f7d747b46$"
7.908610,47.985830,"7393|79117 Ebnet|Schwarzwaldstraﬂe $0x8a819351$"
8.200230,49.084500,"7390|76870 Kandel|Robert Koch Straﬂe $0x718341$"
8.291096,50.699025,"22745|35745 Herborn - Burg|A45 $0x81868350$"
8.523210,50.310980,"15697|61267 Neu-Anspach - Westerfeld|Usinger Straﬂe $0x7c7f8d4b$"
8.558800,49.649970,"11500|64653 Lorsch|Kriemhildenstraﬂe $0x8086844f$"
8.558940,49.649130,"15934|64653 Lorsch|Kriemhildenstraﬂe $0x86878453$"
8.675560,50.636670,"7403|35435 Wissmar|Schulstraﬂe $0x7b7c8947$"
8.725590,50.166170,"14910|61118 Bad Vilbel|Alte Frankfurter Straﬂe $0x75768341$"
8.731130,48.770360,"14909|75378 Bad Liebenzell|B463 $0x819351$"
8.739860,48.715950,"15820|75365 Calw|Bischofstraﬂe $0x777b7f8846$"
8.806490,50.156300,"7389|63477 Bischofsheim|Berger Straﬂe $0x898f8d58$"
8.935716,48.484473,"7396|72108 Rottenburg Am Neckar|Seebronner Straﬂe $0x757b7c44$"
8.975758,47.789336,"18664|78315 Radolfzell Am Bodensee - Stahringen|Hauptstraﬂe"
8.997118,47.774076,"19495|78315 Radolfzell Am Bodensee - G¸ttingen|Bordwaldstraﬂe $0x7a738543$"
8.997870,48.672460,"14490|71034 Bˆblingen|Maurener Weg $0x857e904e$"
9.002853,47.742869,"21596|78315 Radolfzell Am Bodensee - Markelfingen|Radolfzeller Straﬂe $0x76767443$"
9.004920,48.678050,"14491|71034 Bˆblingen|Maurener Weg $0x858a52$"
9.029265,47.773624,"19496|78315 Radolfzell Am Bodensee - Liggeringen|Bodanr¸ckstraﬂe $0x7a7e7d8b49$"
9.143530,48.477290,"7404|72770 Ohmenhausen|Untere Steigstraﬂe $0x85869351$"
9.172230,48.522020,"7394|72768 Degerschlacht|K6724-Martin-Knapp-Straﬂe $0x817d8c4a$"
9.220540,48.494150,"7400|72764 Reutlingen|Charlottenstraﬂe $0x787a7c8947$"
9.235560,48.623330,"7392|72631 Aich|Stuttgarter Straﬂe $0x758745$"
10.906000,52.546429,"7164|38470 Parsau - Croya|B244-Im Dorfe $0x88849654$"
13.266860,53.559760,"15945|17033 Neubrandenburg|B96-Demminer Straﬂe $0x74727542$"
13.710880,50.964420,"14868|01728 Possendorf|B170 $0x787e747a46$"
