; Europa-Germany-Blitzer: Blitzer-50-m_NF.asc
; POIs from NaviFriends.com - Release: 27.05.2009
; Send informations about POIs to info@NaviFriends.com
; Free download only from www.NaviFriends.com. Not for sale!
; (C) by NaviFriends.com - free for private use

6.108023,50.824502,"22565|52134 Herzogenrath - Kohlscheid|Rolandstraße $0x868686818353$"
6.115579,50.793672,"20601|52070 Aachen|Prager Ring $0x76747643$"
6.116966,50.811824,"18137|52146 Würselen|B57-Aachener Straße $0x848b808752$"
6.120171,50.814377,"20597|52146 Würselen|Aachener Straße $0x74776f7641$"
6.184351,50.648997,"19064|52159 Roetgen|B258-Bundesstraße"
6.199840,51.072280,"852|41836 Ratheim|L227-Buscherbahn $0x88888b56$"
6.204120,51.138910,"854|41844 Arsbeck|B221-Heinsberger Straße $0x7a7b46$"
6.207040,51.096420,"16134|41812 Gerderath|L19-Lauerstraße $0x84838b53$"
6.226005,50.758978,"17976|52223 Stolberg - Büsbach|Finkensiefstraße $0x75777643$"
6.228393,51.192263,"21008|41372 Niederkrüchten|L126-Erkelenzer Straße $0x8688859755$"
6.231070,51.191155,"21009|41372 Niederkrüchten|L126-Erkelenzer Straße $0x75767a8644$"
6.250470,50.822630,"14143|52249 Eschweiler|Aachener Straße $0x8f8656$"
6.272438,50.710144,"17974|52224 Stolberg - Zweifall|Jägerhausstraße $0x898e8e57$"
6.276554,51.056037,"18950|41812 Erkelenz - Hetzerath|Rurtalstraße $0x767a7c727b8644$"
6.290960,50.819750,"18031|52249 Eschweiler|B264-Dürener Straße 304 $0x817a8b49$"
6.297738,51.489231,"21604|47608 Geldern - Pont|B58-Venloer Straße $0x72788341$"
6.303590,51.077470,"16813|41812 Erkelenz|Antwerpener Straße $0x7f7d747846$"
6.307170,51.087710,"17557|41812 Erkelenz|L19-Roermonder Straße $0x7f7e847a814c$"
6.316700,51.204410,"866|41366 Hehler|L371-Hehler $0x7a7141$"
6.344639,51.522058,"19953|47608 Geldern|B58-Weseler Straße $0x74777542$"
6.372121,50.934793,"22427|52428 Jülich|Von-Schöfer-Ring $0x84828a51$"
6.386998,51.006429,"18657|52445 Titz - Gevelsdorf|L226-Heerbahn $0x86898554$"
6.403911,51.372635,"21606|47906 Kempen|Straelener Straße $0x8285859351$"
6.406600,50.926100,"13035|52428 Stetternich|Kölner Landstraße $0x7a718341$"
6.406973,51.196828,"18650|41068 Mönchengladbach|Waldnieler Straße $0x88858655$"
6.410309,51.156607,"19467|41239 Mönchengladbach - Schrievers|Dahlener Straße $0x73737941$"
6.413940,51.304730,"17540|47918 Tönisvorst|Oedter Straße $0x82888250$"
6.416050,50.847880,"15327|52353 Merken|Roermonder Straße $0x7e817e4d$"
6.417246,50.655530,"17804|52385 Nideggen - Schmidt|L218-Heimbacher Straße $0x73777941$"
6.423040,51.140160,"13709|41189 Mönchengladbach|Gelderner Straße $0x75747343$"
6.435240,51.124100,"876|41199 Mönchengladbach|Marie-Jucharcz-Straße $0x82828550$"
6.437490,51.202593,"19151|41063 Mönchengladbach - Innenstadt|Kaldenkirchener Straße $0x73787842$"
6.438068,51.491849,"20315|47661 Issum - Sevelen|Rheurdter Straße $0x878d8d9755$"
6.448272,51.491620,"20314|47661 Issum - Oermten|Rheurdter Straße $0x8488869452$"
6.449639,51.193882,"20006|41065 Mönchengladbach - Pesch|Korschenbroicher Straße $0x85878a53$"
6.467766,51.209364,"18653|41065 Mönchengladbach - Neuwerk|Nordring $0x888f8d56$"
6.472870,51.227550,"15988|41066 Mönchengladbach|L390-Neersbroicher Straße $0x7f86854d$"
6.477270,50.625770,"16531|52396 Heimbach|L249 $0x8b8e8b878e59$"
6.480730,50.618630,"17527|52396 Heimbach|L249 $0x8285904e$"
6.481640,51.448268,"20269|47509 Rheurdt - Schaephuysen|Rheurdter Straße $0x8085854f$"
6.490140,50.811570,"15329|52349 Düren|Schöllerstraße $0x86868c53$"
6.495810,50.801750,"15328|52349 Düren|Euskirchener Straße $0x8484887f8651$"
6.510210,51.193900,"887|41352 Korschenbroich|L381-Rochusstraße $0x7c7e814a$"
6.515720,51.321900,"17550|47804 Krefeld|Oberbenrader Straße $0x83848350$"
6.516255,51.098740,"9571|41363 Jüchen|Neusser Straße $0x8e8555$"
6.518621,51.291886,"20365|47804 Krefeld - Forstwald|Anrather Straße $0x85898453$"
6.528782,51.741598,"21278|46499 Hamminkeln - Mehrhoog|Bahnhofstraße $0x878950$"
6.532068,51.297128,"22324|47804 Krefeld|Hückelsmaystraße $0x74747741$"
6.537300,51.343540,"9547|47803 Krefeld|Birschkenweg $0x77777a45$"
6.542180,51.261000,"17573|47877 Willich|Korschenbroicher Straße $0x877f8151$"
6.551485,51.833716,"19833|46395 Bocholt - Liedern|Werther Straße $0x79778442$"
6.555296,51.833677,"19834|46395 Bocholt - Liedern|Werther Straße $0x878c889755$"
6.566030,50.990390,"16910|50181 Bedburg|Lindenstraße $0x807b8c4a$"
6.570217,51.092063,"899|41515 Grevenbroich|L381-Rheydter Straße $0x8483859553$"
6.572370,49.791090,"15758|54298 Hohensonne|B51 $0x868c859755$"
6.576880,51.357470,"9548|47802 Krefeld|B509 $0x767b7444$"
6.581090,51.814610,"16301|46395 Mussum|Alfred-Flender-Straße $0x85878c9553$"
6.581804,51.629673,"19400|46487 Wesel - Büderich|Weseler Straße $0x7d82787a8c4a$"
6.585600,51.892600,"14466|46399 Bocholt|Hamalandstraße $0x817f8251$"
6.592280,51.325270,"17577|47805 Krefeld|Dießemer Bruch $0x85898c9654$"
6.595749,51.787863,"20368|46499 Hamminkeln|Liederner Straße $0x7e807e4d$"
6.596626,51.078948,"19822|41515 Grevenbroich|Neuenhausener Straße $0x777e788846$"
6.603753,51.089390,"910|41515 Grevenbroich|Nordstraße $0x878f9856$"
6.606469,51.093752,"22084|41515 Grevenbroich|Nordstraße $0x7b7a8a48$"
6.607646,51.338100,"19032|47800 Krefeld - Bockum|Berliner Straße $0x898b8957$"
6.608850,50.583620,"16906|53894 Denrath|B266-Wallenthaler Straße $0x82854e$"
6.610594,51.809475,"16300|46395 Bocholt - Siegeheide|Dingdener Straße $0x747343$"
6.613556,51.105418,"20405|41516 Grevenbroich - Wevelinghoven|Hemmerdener Weg $0x7c837c787f4a$"
6.615702,51.832342,"23188|46395 Bocholt|Kaiser-Wilhelm-Straße $0x7e4d$"
6.616432,51.651137,"21282|46483 Wesel|Schillstraße $0x838650$"
6.618660,51.396243,"22038|47447 Moers - Vennikel|L398-Kaldenhausener Straße $0x8b918a9b59$"
6.625774,51.125444,"22081|41516 Grevenbroich - Kapellen|Talstraße $0x787a7745$"
6.625881,51.113095,"22082|41516 Grevenbroich - Wevelinghoven|An Der Untermühle $0x7a7b7b8947$"
6.627750,51.828470,"23152|46395 Bocholt|Franzstraße $0x7a7e8249$"
6.628223,49.744127,"17885|54290 Trier|B51-Pacelliufer $0x87898b54$"
6.630630,51.824630,"16299|46395 Bocholt|Franzstraße $0x737775707942$"
6.634285,51.134240,"15314|41516 Grevenbroich - Kapellen|L201-Neusser Straße $0x73747741$"
6.634600,49.429200,"13988|66663 Merzig|Saarbrücker Allee $0x7b827a4a$"
6.643980,51.837570,"16297|46397 Bocholt|Münsterstraße $0x7b7242$"
6.646036,51.660042,"21299|46485 Wesel|B58-Schermbecker Landstraße $0x7d788745$"
6.646733,51.116038,"22104|41516 Grevenbroich - Langwaden|L142-Dorfstraße $0x8c908d888f5a$"
6.648709,51.216410,"923|41462 Neuss|Viersener Straße $0x7c7b8644$"
6.649660,51.164890,"924|41460 Neuss-Holzheim|B230 $0x8b8c8b5a$"
6.654330,50.626120,"16932|53894 Gehn|B477 $0x7d7f818c4a$"
6.660470,51.196790,"17009|41464 Neuss|Rheydter Straße $0x8f8f57$"
6.661960,51.196510,"15498|41464 Neuss|Rheydter Straße $0x8c8c9654$"
6.662200,49.450200,"13989|66663 Merzig|Losheimer Straße $0x7f847d4d$"
6.663279,51.045614,"19926|41569 Rommerskirchen - Sinsteden|B59-Grevenbroicher Straße $0x8082884f$"
6.668740,51.283850,"14756|40670 Meerbusch Strümp|Bergfeld $0x777672798644$"
6.670818,51.481592,"21460|47199 Duisburg|Rheindeichstraße $0x76777543$"
