; Europa-Germany-Blitzer: Blitzer-70_NF.asc
; POIs from NaviFriends.com - Release: 27.05.2009
; Send informations about POIs to info@NaviFriends.com
; Free download only from www.NaviFriends.com. Not for sale!
; (C) by NaviFriends.com - free for private use

6.031110,51.775000,"4102|47559 Frasselt|B504 $0x7b4b$"
6.047370,51.717900,"4130|47574 Nergena|B504 $0x8284869351$"
6.051620,50.779269,"21317|52074 Aachen - Vaalserquartier|Pariser Ring $0x868d8555$"
6.075630,50.806230,"4002|52072 Aachen - Richterich|Kohlscheider Straße $0x84888b53$"
6.090450,50.973440,"4147|52511 Gillrath-Geilenkirchen|B56 $0x777843$"
6.101110,50.957220,"4117|52511 Geilenkirchen|B56 $0x79777b46$"
6.116615,50.952310,"22185|52511 Geilenkirchen|L221 B56 $0x777c7b45$"
6.118160,50.996620,"4165|52511 Tripsrath|B221 $0x83874e$"
6.121130,51.675710,"16090|47574 Goch|B9 $0x85838b53$"
6.131390,51.688610,"3961|47574 Goch|B9 $0x838a8252$"
6.136810,50.778270,"4081|52062 Aachen|Berliner Ring $0x8e859755$"
6.144246,50.774995,"14198|52062 Aachen|Madrider Ring $0x737941$"
6.155830,51.789720,"4122|47533 Kleve|Klever Ring $0x7d7b7f4a$"
6.155900,51.781170,"16062|47533 Kleve|Klever Ring $0x81898950$"
6.156110,51.717220,"4154|47574 Nierswalde-Pfalzdorf|B9 $0x888954$"
6.156890,51.717710,"4176|47574 Niesrswalde-Pfalzdorf|B9 $0x85869351$"
6.183800,50.694830,"16891|52076 Friesenrath|Schleidener Straße $0x767a717843$"
6.186810,50.784820,"16117|52222 Atsch|Würselener Straße $0x7f80854e$"
6.188890,50.661940,"3955|52159 Roetgen|B258-Himmelsleiter $0x7f867e4e$"
6.191360,50.785070,"4191|52222 Ätsch|Würselener Straße $0x7c7e7c4a$"
6.201180,50.939370,"4131|52499 Puffendorf|B56 $0x7476788543$"
6.203610,50.938610,"9240|52499 Puffendorf|Aldenhovener Straße $0x85878954$"
