; Europa-Germany-Blitzer: Blitzer-Abstand-m_NF.asc
; POIs from NaviFriends.com - Release: 27.05.2009
; Send informations about POIs to info@NaviFriends.com
; Free download only from www.NaviFriends.com. Not for sale!
; (C) by NaviFriends.com - free for private use

6.454178,51.233594,"18244|41066 Mönchengladbach - Neuwerk|A52 $0x8384904e$"
6.550960,49.741940,"14204|54311 Herresthal|A64 $0x8f905a$"
6.558608,51.232996,"13094|47877 Schiefbahn|A52 $0x7a798341$"
6.634261,51.153702,"20364|41516 Grevenbroich|A46 $0x7e838d4b$"
6.733004,51.654426,"20755|46569 Hünxe - Drevenack|A3 $0x86898e9755$"
6.803277,51.427134,"21593|47057 Duisburg - Neudorf-Nord|A3 $0x84827f8551$"
6.837070,49.876950,"14205|54518 Hetzerath|A1 $0x86859351$"
6.851840,51.538820,"16866|46149 Oberhausen - Sterkrade|A2 $0x8a8b9452$"
6.872090,50.082250,"14200|54533 Laufeld|A1 $0x777d788846$"
6.888970,50.723980,"14677|53919 Swisttal|A61 $0x797c7d8a48$"
6.890610,50.065710,"14201|54533 Niederöfflingen|A1 $0x74747743$"
6.903860,50.053570,"14202|54533 Hasborn|A1 $0x73787642$"
6.906490,50.050310,"14206|54533 Hasborn|A1 $0x85838552$"
6.909220,50.686820,"13100|53913 Ollheim|A61 $0x7e7e804b$"
6.927391,51.212455,"18668|40699 Erkrath|A3 $0x868a88838a55$"
6.938610,50.016190,"13101|54516 Flussbach|A1 $0x80834e$"
6.989200,51.060750,"15485|51379 Leverkusen|A3 $0x7f857e4e$"
6.998031,51.201397,"19016|42781 Haan|A46 $0x7578798543$"
7.027920,50.236750,"14199|56767 Uersfeld|A48 $0x7e7f844c$"
7.061379,49.209855,"22406|66132 Saarbrücken - Bischmisheim|A6 $0x76798543$"
7.067590,50.579130,"13104|53501 Vettelhoven|A61 $0x888f8956$"
7.069520,49.216601,"22205|66132 Saarbrücken - Bischmisheim|A6 $0x84839250$"
7.137999,49.268751,"22029|66386 Sankt Ingbert|A6 $0x7a758644$"
7.197450,50.518830,"13109|53489 Löhndorf|A61 $0x8d8b8a9c5a$"
7.213461,49.293880,"22030|66459 Kirkel - Kirkel-Neuhäusel|A6 $0x8588914f$"
7.216407,51.585732,"19089|45659 Recklinghausen|A2 $0x9091878959$"
7.226260,50.944440,"13110|51491 Untereschbach|A4 $0x7b7d7f4a$"
7.270570,51.372100,"13112|45549 Sprockhövel|A43 $0x83868652$"
7.270900,51.422990,"13111|58456 Herbede|A43 $0x8383829351$"
7.290890,50.386010,"14388|56743 Mendig|A61 $0x91935a$"
7.298463,49.297169,"22443|66424 Homburg - Beeden|A8 $0x87878f9856$"
7.394660,50.377410,"13115|56637 Plaidt|A61 $0x777c7a45$"
7.498290,50.317070,"13116|56333 Winningen|A61 $0x8e925a$"
7.515770,50.373990,"14775|56072 Rübenach|A48 $0x8d8a57$"
7.561710,50.401000,"15077|56220 Koblenz|A48 $0x8181814f$"
7.614595,49.425293,"23278|66862 Kindsbach|A6 $0x8a8d9654$"
7.628830,50.070850,"13120|56291 Wiebelsheim|A61 $0x80817f4d$"
7.642670,51.500230,"13121|59439 Holzwickede|A1 $0x7a778846$"
7.677540,51.520280,"16453|59423 Unna|A44 $0x85818e4c$"
7.754820,51.527610,"13124|59423 Ostbüren|A44 $0x8483869553$"
7.792885,48.098702,"19749|79331 Teningen - Nimburg|A5 $0x818285904e$"
7.815785,48.377551,"20935|77974 Meissenheim - Kürzell|A5 $0x8380914f$"
7.819430,51.778390,"14891|59227 Ahlen|B58 $0x8d8c9654$"
7.842560,49.493174,"23279|67678 Mehlingen|A63 $0x7c45$"
7.891754,48.431951,"20928|77749 Hohberg - Hofweier|A5 $0x8b909b59$"
7.947690,49.905550,"13129|55457 Gensingen|A61 $0x8087874f$"
7.991808,48.603669,"20936|77871 Renchen|A5 $0x85899452$"
8.017198,51.941148,"19307|48231 Warendorf|B475 $0x7e847d8f4d$"
8.031166,52.416074,"18265|49565 Bramsche|A1 $0x8486887f899351$"
8.056137,52.473003,"18267|49434 Neuenkirchen-Vörden|A1 $0x767972788644$"
8.103619,52.519730,"18268|49434 Neuenkirchen-Vörden|A1 $0x827f7d86914f$"
8.142765,49.798456,"23280|55234 Biebelnheim|A63 $0x7e838f4d$"
8.144562,48.775474,"19347|76547 Sinzheim|A5 $0x85859553$"
8.187944,48.812269,"19346|76532 Baden-Baden - Sandweier|A5 $0x84848852$"
8.200976,49.096339,"20510|76870 Kandel - Minderslachen|A65 $0x7e7f838f4d$"
8.259570,49.472640,"16439|67158 Bad Dürkheim|A650 $0x797e79757c47$"
8.273810,49.472170,"16438|67136 Bad Dürkheim|A650 $0x8287827e8150$"
8.289500,49.554250,"16129|67259 Frankenthal|A6 $0x8f899856$"
8.320350,49.448000,"16395|67136 Ludwigshafen|A61 $0x8a8f8a879159$"
8.335940,48.901222,"22910|76316 Malsch|A5 $0x7d7f47$"
8.356299,51.862072,"22709|33378 Rheda-Wiedenbrück|A2 $0x8d879856$"
8.359690,48.932275,"19793|76275 Ettlingen|A5 $0x858b54$"
8.424650,48.966771,"19373|76199 Karlsruhe - Rüppurr|A5 $0x7d7e7f4b$"
8.463086,50.021132,"20494|65479 Raunheim|B43 $0x8c8655$"
8.518409,52.192730,"18713|32257 Bünde - Ahle|A30 $0x82868250$"
8.542930,49.729580,"16520|64579 Gernsheim|A67 $0x8b928b888c5a$"
8.600656,49.246281,"19827|68789 Sankt Leon-Rot|A5 $0x808686914f$"
8.603880,49.972590,"16519|64546 Mörfelden|A5 $0x767874717743$"
8.622741,52.003257,"22221|33699 Bielefeld|A2 $0x7876747b46$"
