; Europa-Germany-Blitzer: Blitzer-Laser-70_NF.asc
; POIs from NaviFriends.com - Release: 27.05.2009
; Send informations about POIs to info@NaviFriends.com
; Free download only from www.NaviFriends.com. Not for sale!
; (C) by NaviFriends.com - free for private use

6.187060,51.206610,"848|41372 Elmpt|K9 $0x88878f9957$"
6.410480,50.881810,"17029|52428 Krauthausen-Sellgersdorf|B56 $0x898b8a58$"
6.418357,50.941842,"21315|52428 Jülich - Welldorf|L264 $0x7a788a48$"
6.424110,50.913680,"16262|52428 Jülich-Stetternich|L264 $0x7e81858f4d$"
6.443519,51.499765,"20270|47661 Issum - Oermten|Hoerstgener Straße 61 $0x878751$"
6.452276,51.353779,"18823|47906 Kempen|Krefelder Weg $0x77797646$"
6.498470,51.193250,"16888|41352 Korschenbroich|L381-Rochusstraße $0x8f8c9856$"
6.500530,50.860550,"14692|52382 Ellen|K40 $0x808381914f$"
6.526929,51.528149,"19462|47475 Kamp-Lintfort|Saalhoffer Straße $0x89878a57$"
6.531409,51.550455,"19463|47475 Kamp-Lintfort|Saalhoffer Straße $0x868c8655$"
6.554150,51.210210,"16889|41352 Kleinenbroich|L361 $0x7f8085904e$"
6.561560,50.951240,"16696|50189 Elsdorf|B55 $0x82898350$"
6.563771,50.888358,"22031|50170 Kerpen - Manheim|L276 $0x787c7e8947$"
6.590703,51.538367,"19954|47495 Rheinberg|Alte Landstraße $0x89898d56$"
6.611770,51.141003,"20334|41516 Grevenbroich - Kapellen|L361 $0x86878555$"
6.632064,51.107684,"917|41516 Grevenbroich - Wevelinghoven|L142 $0x7372748341$"
6.648440,51.697920,"16302|46485 Wesel|Molkereiweg $0x767c7845$"
6.651450,50.644700,"16909|53909 Schwerfen|B477-Provinzialstraße $0x8185819250$"
6.685950,50.576630,"16914|53894 Breitenbenden|L165 $0x7d807f8e4c$"
6.694503,50.950393,"23383|50127 Bergheim - Quadrath-Ichendorf|L93-Wacholderweg $0x81858450$"
6.697305,50.972599,"23378|50129 Bergheim - Oberaussem|L91 $0x807d828f4d$"
6.727280,51.640524,"20184|46569 Hünxe|Weseler Straße $0x7d81844b$"
6.744600,51.326100,"14106|40489 Wittlaer|Duisburger Landstraße $0x787f8047$"
6.849112,51.829849,"21026|46325 Borken|B70 $0x7b7b7c48$"
6.896959,51.690494,"18916|46514 Schermbeck|Dorstener Straße $0x8787869856$"
6.913072,51.003997,"21367|50767 Köln - Heimersdorf|Mercatorstraße $0x757a7744$"
6.929170,50.677910,"16984|53913 Swisttal|B56 $0x7f847f4d$"
6.933468,51.628823,"23290|46244 Bottrop|B223-Münsterstraße $0x84889250$"
6.956103,50.678661,"19268|53913 Swisttal - Buschhoven|B56 $0x7f7d47$"
6.967222,51.486200,"13793|45355 Essen|Bottroper Straße $0x78798047$"
7.000860,51.055010,"13903|51379 Leverkusen - Opladen|Fixheider Straße $0x7a7f8048$"
7.036790,51.035790,"13879|51377 Leverkusen|Karl-Carstens-Ring $0x7643$"
7.070060,52.196192,"23176|48599 Gronau (Westfalen)|Steinfurter Straße $0x787745$"
7.085291,52.118151,"22663|48619 Heek|B70 $0x818285914f$"
7.129480,51.855940,"16250|48653 Lette|L600-Letter Bruch $0x8181807e859250$"
7.146400,51.924610,"16112|48653 Flamschen|Flamschen"
7.163180,50.826110,"15318|53842 Troisdorf|Mauspfad $0x86888855$"
7.173760,51.371850,"14474|45529 Hattingen|Wodantal $0x868b8b82899654$"
7.177766,52.178138,"22657|48607 Ochtrup|L582-Weiner $0x7c837f8d4b$"
7.182400,51.585200,"14078|45659 Recklinghausen|Friedrich-Ebert-Straße $0x7d7f7a8c4a$"
7.206971,52.159077,"22656|48629 Metelen|Ochtruper Straße $0x81818650$"
7.212892,52.152285,"18874|48629 Metelen|Ochtruper Straße $0x777a768846$"
7.242438,52.156108,"22658|48629 Metelen|B70 $0x8a8a8858$"
7.246476,52.159077,"18873|48629 Metelen|B70-Wettringener Straße $0x7a7646$"
7.260260,51.935020,"17348|48301 Coesfeld|B525-Harle $0x7d7d804c$"
7.302901,52.200864,"22661|48493 Wettringen|B70-Metelener Straße $0x878553$"
7.306600,49.259600,"13993|66440 Einöd - Bierbach|B423 $0x8b928a5a$"
7.352359,50.915873,"20677|53804 Much - Kerzenhöhnchen|L312-Fischermühle $0x7e7f804c$"
7.367818,51.648378,"21780|45731 Waltrop|Münsterstraße $0x888a9057$"
7.374994,49.746826,"18890|55743 Fischbach|L160 $0x8080854f$"
7.388350,50.910422,"21952|53804 Much|L312-Oberheiden $0x898d8a58$"
7.399390,51.029630,"11486|51789 Vorderrubach|Klauser Straße $0x81824d$"
7.407295,51.543033,"20971|44369 Dortmund - Huckarde|Emscherallee $0x73767842$"
7.478804,52.076716,"19428|48356 Nordwalde|Altenberger Straße $0x7b7d7e48$"
7.518924,50.826935,"19296|51570 Windeck|K55 $0x87868a82849654$"
7.550724,52.093435,"19430|48268 Greven|L555-Nordwalder Straße $0x7b7e7b49$"
7.612828,52.071753,"23327|48268 Greven|B219-Aldruper Straße $0x788644$"
7.641829,51.927152,"17828|48165 Münster|Trauttmansdorffstraße $0x8d8e858c57$"
7.652850,52.188368,"21476|48369 Saerbeck|B219-Ibbenbürener Straße $0x888955$"
7.672610,52.003580,"16124|48157 Münster|Schiffahrter Damm $0x8583818853$"
7.709090,51.244980,"17426|58791 Werdohl - Lüdenscheid|Höhenweg $0x7b7943$"
7.760800,51.241120,"17355|58791 Werdohl-Kleinhammer|B229-Versestraße $0x737a7542$"
