; Europa-Germany-Blitzer: Blitzer-Laser-80_NF.asc
; POIs from NaviFriends.com - Release: 27.05.2009
; Send informations about POIs to info@NaviFriends.com
; Free download only from www.NaviFriends.com. Not for sale!
; (C) by NaviFriends.com - free for private use

6.750320,51.271610,"14107|40217 Düsseldorf|Danziger Straße $0x7f847e4e$"
6.781480,51.352400,"3591|47269 Duisburg|A524 $0x75797643$"
7.020940,51.337020,"15343|42549 Velbert|A44 $0x7b797b777a49$"
7.160715,51.711076,"17578|45721 Haltern Am See|Bossendorfer Damm $0x8d8e58$"
8.602970,50.057510,"1209|60549 Frankfurt Am Main|B43 $0x7e7a45$"
8.650910,50.064880,"1229|60311 Niederrad|B43 $0x868454$"
8.736148,50.725995,"17914|35096 Weimar - Roth|B3a $0x8a91909b59$"
8.742800,49.056000,"13723|75015 Gölshausen|B293 $0x7c7f48$"
9.043534,48.810972,"19587|71254 Ditzingen|B295-Calwer Straße $0x857e7b824d$"
9.166047,49.190464,"18163|74078 Heilbronn - Biberach|K9560 Unterlandstraße $0x82878550$"
9.378800,48.611607,"22975|72622 Nürtingen|K1243 $0x807d7e8f4d$"
9.638333,51.644722,"14231|37170 Allershausen|Am Eichholz $0x85878954$"
9.843840,51.646761,"20733|37181 Hardegsen|B446-An Der Ölmühle $0x82818451$"
9.909915,51.697711,"20674|37154 Northeim - Schnedinghausen|B241-Emilienhof $0x7b7a7d8c4a$"
10.010400,49.846840,"14834|97273 Kürnach|B19 $0x868453$"
10.117050,49.757824,"20200|97318 Kitzingen - Repperndorf|B8 $0x7d7c7f4a$"
11.087404,50.150739,"22901|96215 Lichtenfels|B173 $0x8184864f$"
11.193648,53.557801,"21644|19073 Dümmer - Dümmerhütte|L042 $0x87878a55$"
11.343714,48.765647,"23093|85049 Ingolstadt - Gerolfing|Barthlgasserstraße $0x898c8d58$"
11.403146,48.158910,"20378|81245 München|A99-Aubinger Tunnel $0x767943$"
11.818363,50.190693,"21378|95213 Münchberg - Schallersgrün|B289 $0x86869250$"
11.972266,51.233462,"17409|06667 Weißenfels|B91-Abfahrt Burgwerben $0x798442$"
12.379154,52.606009,"20092|14712 Rathenow|B188-Stechower Landstraße $0x8c8d9654$"
12.520125,53.532264,"21993|17194 Jabel|L205 $0x827a778149$"
12.522900,53.362150,"16116|17209 Dambeck->Röbel|L241 $0x8e8e858957$"
12.600356,52.613987,"19976|14715 Liepe|Breite Straße $0x797e7a8a48$"
12.636191,52.610454,"19924|14715 Märkisch Luch - Möthlow|Lieper Straße $0x80818a48$"
13.049420,52.370411,"21238|14473 Potsdam - Potsdam Süd|B2-Michendorfer Chaussee $0x7f7e7d4d$"
13.118422,52.325086,"22297|14558 Nuthetal - Saarmund|Potsdamer Straße $0x878b8f56$"
13.192851,54.304032,"22546|18574 Gustow|L29 $0x79807947$"
13.406744,54.335977,"22541|18581 Putbus - Kasnevitz|L29-Deutsche Alleestraße $0x8a8c8b9a58$"
13.458092,54.398076,"22538|18528 Bergen Auf Rügen|L301-Putbuser Chaussee $0x7a7d818b49$"
13.919224,51.846202,"16156|03222 Lübbenau/Spreewald|A15-A13 $0x7d7a7b4a$"
14.004040,53.009034,"18453|16278 Angermünde|B2 $0x7a7c747d46$"
14.006171,53.010232,"18454|16278 Angermünde|B2 $0x79787e47$"
14.181760,52.102960,"1666|15848 Tauche - Ranzig|B87 $0x8182914f$"
14.405592,52.498825,"18108|15306 Lindendorf - Dolgelin|B167-Hauptstraße $0x8b8d8b5a$"
