; Europa-Germany-Blitzer: Blitzer-Rotlicht-50_NF.asc
; POIs from NaviFriends.com - Release: 27.05.2009
; Send informations about POIs to info@NaviFriends.com
; Free download only from www.NaviFriends.com. Not for sale!
; (C) by NaviFriends.com - free for private use

6.096081,50.774603,"22623|52062 Aachen|Kaiserplatz $0x7b807b4a$"
6.247270,51.868890,"2791|46446 s-Heerenberg|Straße ohne Namen"
6.570639,51.336236,"22101|47799 Krefeld - Cracau|Philadelphiastraße $0x83848350$"
6.750070,51.265040,"2870|40474 Düsseldorf|Beckbuschstraße $0x81788a48$"
6.781940,51.215560,"9092|40215 Düsseldorf|Herzogstraße $0x8a8f8958$"
6.802718,51.238498,"2975|40239 Düsseldorf - Düsseltal|B8-Brehmplatz"
6.873440,51.294890,"8973|40882 Ratingen|Homberger Straße $0x777d7945$"
6.920940,51.296010,"2871|40882 Homberg|Brachter Straße"
7.006210,51.444680,"2490|45128 Essen|Bismarckstraße $0x80824f$"
7.029230,51.333140,"15178|42549 Velbert|Heiligenhauser Straße $0x82824b$"
7.106044,51.659003,"22866|45770 Marl|Bergstraße $0x7d77747b46$"
7.221300,51.460800,"9661|44789 Bochum - Wiemelhausen|Königsallee $0x86888a55$"
7.507696,51.503993,"4607|44141 Dortmund|B-1Westfalendamm $0x80857e4e$"
7.638160,51.902460,"15256|48165 Hiltrup|Westfalenstraße $0x8484847f8851$"
7.656097,47.626505,"18385|79541 Lörrach - Tumringen|L141-Freiburger Straße $0x81878850$"
7.802696,51.432280,"2869|58706 Menden (Sauerland)|Balver Straße $0x797c7b47$"
7.860610,47.988930,"2815|79102 Freiburg Im Breisgau|Schwarzwaldstraße $0x7372788442$"
8.240810,51.878990,"2817|33442 Herzebrock|B64"
8.265970,50.298240,"14356|65520 Bad Camberg|B8-Limburger Straße"
8.343650,51.952160,"15542|33334 Gütersloh - Niehorst|Münsterlandstraße $0x8a908858$"
8.480220,49.898560,"9468|64521 Berkach|B44 $0x89908858$"
8.500150,50.563400,"8966|35576 Wetzlar|B277-B49 $0x817f7f4f$"
8.501659,50.560970,"2874|35576 Wetzlar|B277 $0x87858654$"
8.502000,50.563780,"17281|35576 Wetzlar|Bannstraße $0x767a7944$"
8.502220,50.550830,"8965|35578 Wetzlar|Friedrich Ebert-Platz"
8.523150,50.120310,"2821|65843 Unterliederbach-Liederbach Am Taunus|Straße ohne Namen"
8.551670,49.980070,"15040|64546 Mörfelden|Vitrolles-Ring $0x77728442$"
