; Europa-Germany-Blitzer: Blitzer-Sektion-50_NF.asc
; POIs from NaviFriends.com - Release: 27.05.2009
; Send informations about POIs to info@NaviFriends.com
; Free download only from www.NaviFriends.com. Not for sale!
; (C) by NaviFriends.com - free for private use

7.145810,50.692430,"14305|53175 Bonn-Bad Godesberg|Godesberger Straﬂe $0x75767544$"
7.149200,50.690550,"14306|53173 Bonn-Bad Godesberg|B9-Godesberger-Allee $0x83858952$"
7.161430,50.682360,"14304|53177 Bonn-Bad Godesberg|B9-von Theodor-Heuss-Straﬂe $0x76777643$"
7.165260,50.679170,"14303|53177 Bonn-Bad Godesberg|B9-Koblenzer Straﬂe $0x817f804e$"
8.499206,51.636165,"17910|59590 Geseke|B1-Erwitter Straﬂe $0x898650$"
8.522041,51.638947,"17911|59590 Geseke|B1-Salzkottener Str. $0x787c7646$"
8.760930,53.025280,"17295|28816 Stuhr|Carl-Zeiss-Straﬂe $0x74747c43$"
8.776540,53.020320,"17292|28816 Stuhr|Carl-Zeiss-Straﬂe $0x83858a51$"
9.890000,53.728880,"1364|25451 Quickborn|Marktstraﬂe $0x7c7d8d4b$"
13.087860,50.861540,"16666|09557 Flˆha|B173 $0x9190878b59$"
13.091250,50.860600,"16667|09557 Flˆha|B173 $0x8c8a8d878b59$"
13.298889,51.011389,"13832|09603 Obergruna|B101 $0x78798745$"
