; Europa-Germany-Blitzer: Blitzer-Sektion-Ende_NF.asc
; POIs from NaviFriends.com - Release: 27.05.2009
; Send informations about POIs to info@NaviFriends.com
; Free download only from www.NaviFriends.com. Not for sale!
; (C) by NaviFriends.com - free for private use

7.053406,51.843693,"16105|48734 Reken - Preinhok|L608 $0x8a919059$"
7.053763,51.854364,"16106|48734 Reken|Preinhok $0x8a8c8757$"
8.348467,50.034043,"18348|65205 Wiesbaden - Delkenheim|L3028 $0x85878352$"
8.350870,50.028406,"18346|65239 Hochheim Am Main|L3028 $0x858a8454$"
8.760990,53.025260,"17294|28816 Stuhr|Carl-Zeiss-Straße $0x767d7d44$"
8.776120,53.020360,"17293|28816 Stuhr|Carl-Zeiss-Straße $0x89899158$"
9.619342,50.004923,"20684|97816 Lohr Am Main - Steinbach|St2435 $0x77757944$"
9.636949,49.999019,"20682|97816 Lohr Am Main - Steinbach|St2435 $0x73727442$"
10.683989,50.639109,"22300|98544 Zella-Mehlisl|A71 $0x7678707742$"
10.777858,50.712751,"22302|98716 Geraberg|A71 $0x87827f8451$"
11.449506,53.676416,"20529|19055 Schwerin|B104-Paulsdamm $0x7746$"
13.084730,50.861710,"16780|09557 Flöha|B173 $0x858b8753$"
13.093850,50.858970,"16779|09569 Flöha|B173 $0x84868c53$"
