; Europa-Germany-Blitzer: Blitzer-unsortiert-m_NF.asc
; POIs from NaviFriends.com - Release: 27.05.2009
; Send informations about POIs to info@NaviFriends.com
; Free download only from www.NaviFriends.com. Not for sale!
; (C) by NaviFriends.com - free for private use

6.142720,50.953850,"839|52511 Geilenkirchen|B56"
6.194560,50.680300,"850|52159 Rott|Rotterdell"
6.198450,50.680020,"851|52159 Trott|Rotterdell"
6.213290,51.215020,"858|41372 Brempt|Kaldenkirchener Straﬂe"
6.257590,51.581110,"862|47623 Kevelaer|B9-Kˆlner Straﬂe"
6.295930,51.360390,"865|47669 Wachtendonk|K1"
6.515870,51.098610,"888|41363 J¸chen|Neusser Straﬂe"
6.544320,51.188990,"891|41352 Kleinenbroich|L381"
6.550490,51.470880,"894|47506 Neukirchen-Vluyn|Neenrathstraﬂe"
6.567800,51.528720,"898|47475 Kamp-Lintfort|B510-Rheinberger Straﬂe"
6.587710,51.040410,"908|41517 Neurath|Frimmersdorferstraﬂe"
6.608270,51.229760,"912|41564 Kaarst|Alte Heerstraﬂe $0x8b8c8c9c5a$"
6.650040,51.283520,"925|40670 Strump|Osterrather Straﬂe"
6.694320,50.938700,"933|50127 Quadrath-Ichendorf|Wachholderweg"
6.742900,50.996540,"944|50129 Fliesteden|K20-Stommelner Straﬂe"
6.750930,51.397500,"946|47055 Duisburg|Wanheimerstraﬂe"
6.753360,51.171850,"947|41468 Grimlinghausen|Bonner Straﬂe"
6.756840,51.267130,"950|40468 D¸sseldorf|Sandweg $0x8d8b9654$"
6.765600,51.192190,"952|40221 D¸sseldorf|Volmerswerther Straﬂe"
6.778210,51.080830,"955|41540 Delhoven|Klosterstraﬂe"
6.780000,51.245770,"956|40476 D¸sseldorf|Golzheimer Straﬂe"
6.783510,51.245240,"958|40476 D¸sseldorf - Derendorf|Weissenburgstraﬂe"
6.795490,51.124990,"960|41539 Delrath|Johann-Blank-Weg"
6.795890,50.998800,"961|50259 Pulheim|Geyener Straﬂe"
6.798460,51.221470,"962|40227 D¸sseldorf|Kˆlner Straﬂe"
6.806680,51.073480,"965|41540 Hackenbroich|Dr. Geldmacher Straﬂe"
6.809280,51.063280,"966|41540 Hackenbroich|Salm-Reifferscheidt-Allee"
6.809970,51.205260,"967|40591 D¸sseldorf|Siegburger Straﬂe"
6.817000,51.552410,"968|46147 Oberhausen|Gabelstraﬂe"
6.825390,51.543790,"971|46147 Oberhausen|A3-Buchenweg"
6.840050,51.117830,"973|41541 Feste Zoons|Aldenhovenstraﬂe"
6.886200,50.657010,"978|53913 Essig|B266"
6.909560,50.982050,"982|50739 Kˆln - Bilderstˆckchen|A57"
6.912903,50.842515,"983|50321 Br¸hl|Kˆlnstraﬂe $0x888b9856$"
6.927740,51.026720,"986|50667 Merkenich-Fuhlingen|Industriestraﬂe"
6.934858,51.175967,"19854|40724 Hilden|Bogenstraﬂe $0x8a928b59$"
6.936279,50.928541,"22763|50674 Kˆln - Innenstadt|Z¸lpicher Straﬂe $0x79797e47$"
6.975210,51.115840,"995|40764 Langenfeld-Rheinland|Bergische Landstraﬂe"
6.981970,52.491800,"996|49828 Neuenhaus|B403"
6.983350,52.468290,"997|49828 Schiphorst|Grenzstraﬂe"
7.025740,51.452820,"1006|45139 Essen|Steeler Straﬂe"
7.037110,50.863300,"1010|51143 Kˆln|Haupstraﬂe"
7.069850,51.285190,"1015|42489 W¸lfrath|Schlupkothen"
7.082830,50.898650,"1018|50667 Kˆln|A59"
7.086590,50.926110,"1019|51107 Rath-Heumer|Lutzerathstraﬂe"
7.119320,50.575410,"1027|53501 Grafschaft - Beller|A61"
7.124840,51.713680,"1028|45772 Freiheit|Lippramdorferstraﬂe"
7.135510,52.090170,"1029|48624 L570|L570-Gemen"
