; Europa-Germany-Blitzer: Blitzer-unsortiert_NF.asc
; POIs from NaviFriends.com - Release: 27.05.2009
; Send informations about POIs to info@NaviFriends.com
; Free download only from www.NaviFriends.com. Not for sale!
; (C) by NaviFriends.com - free for private use

6.239770,50.558050,"2165|52156 Monschau|Laufenstraﬂe"
6.308870,50.904800,"2166|52457 Aldenhoven|L136"
6.715750,51.670720,"2172|46569 Anschlussstelle Wesel|A3 $0x8a8d9259$"
6.881880,50.937606,"22761|50933 Kˆln - M¸ngersdorf|Aachener Straﬂe $0x807947$"
6.926860,51.373770,"2174|45219 Kettwig|Mendener Straﬂe"
7.082900,51.538860,"9649|45881 Gelsenkirchen|Alfred Singer Straﬂe $0x847b8d4b$"
7.538810,51.208650,"2181|58553 Heesfeld|B229"
7.634360,51.906580,"2182|48165 Hiltrup|Westfalenstraﬂe"
8.174160,48.772780,"2186|76547 Sinzheim|B3"
8.472940,48.974100,"2187|76228 Hohenwettersbach-Wolfartsweiher|Tiefentalstraﬂe"
8.509480,50.154470,"2188|65824 Schwalbach-Bad Soden|Schwalbacher Straﬂe"
8.624450,53.051790,"2190|27753 Delmenhorst|M¸hlenstraﬂe"
8.644730,49.312060,"2193|69190 Walldorf|Heidelberger Straﬂe"
8.918010,48.222700,"2195|72459 Laufen An Der Eyach|B463"
8.999930,48.391570,"2196|72411 Bodelshausen-Bad Sebastiansweiher|B273 $0x82818050$"
9.198900,48.902530,"5357|71642 Ludwigsburg|Marbacher Straﬂe $0x7376776f7741$"
9.275224,53.013388,"22328|27308 Kirchlinteln|B215-Heidkrug $0x7a797948$"
9.415880,48.954100,"2202|71522 Grossaspach-Backnang|Aspacher Straﬂe"
10.430570,49.873390,"2206|97516 Handthal-Stollberg|Straﬂe ohne Namen"
10.796700,52.427660,"14960|38440 Wolfsburg|L321-Heﬂlinger Straﬂe $0x8a908d58$"
10.986440,49.468590,"2209|90763 F¸rth|Schwabacher Straﬂe"
11.335890,48.164630,"2212|82178 Puchheim-Bahnhof|Ihleweg"
11.586000,48.470570,"2215|85307 Schernbuch|A9 $0x72787141$"
12.026820,53.750640,"2219|18276 Pruzen-Tieplitz|B104"
13.808070,51.052579,"8914|01309 Dresden - Blasewitz|Loschwitzer Br¸cke $0x8d9058$"
14.609880,52.197830,"2226|15890 Ziltendorf-Pˆhlitz|B112"
