; Europa-Germany-Blitzer: Blitzer-variabel-m_NF.asc
; POIs from NaviFriends.com - Release: 27.05.2009
; Send informations about POIs to info@NaviFriends.com
; Free download only from www.NaviFriends.com. Not for sale!
; (C) by NaviFriends.com - free for private use

6.646646,49.768937,"17803|54290 Trier|B49-Zurmaiener Straﬂe $0x85868c53$"
6.991014,49.233700,"19238|66117 Saarbr¸cken - Alt-Saarbr¸cken|A620 $0x74737441$"
7.203476,51.459488,"21948|44795 Bochum - Weitmar|Oviedo-Ring $0x7e817e8f4d$"
7.214212,51.296266,"23094|42279 Wuppertal - Oberbarmen|A46 $0x89898a57$"
7.380440,51.145300,"16925|42499 Bevertalsperre|K5 $0x807b8d4b$"
7.480401,50.442749,"20647|56564 Neuwied|B42-Bergg‰rtenstraﬂe $0x7b808149$"
8.610673,50.100240,"1211|65933 Frankfurt Am Main|A5 $0x787b7c47$"
8.656618,50.128189,"18128|60487 Frankfurt Am Main - Bockenheim|Miquelallee $0x81878250$"
8.761755,49.859612,"20788|64380 Rossdorf|Dieburger Straﬂe $0x827e8f4d$"
8.896350,48.597210,"8846|71083 Herrenberg|A81 $0x7f81814c$"
8.896810,48.606920,"102|71083 Nufringen|A81 $0x87858d55$"
9.226817,48.822786,"22045|70374 Stuttgart - Bad Cannstatt|Hofener Straﬂe $0x86898b9755$"
9.733370,54.326440,"3608|24790 Rade Bei Rendsburg|A7 $0x8386849452$"
11.064059,49.331775,"13316|91126 Penzendorf-A6|B2 $0x7a787c47$"
11.437030,48.259420,"16960|85221 Dachau|Ludwig-Thoma-Straﬂe $0x81814f$"
11.451390,48.204490,"9527|80999 M¸nchen Allach|A99 $0x908b59$"
11.766840,48.142520,"3594|85591 Feldkirchen-Parsdorf|A94 $0x7f768846$"
11.946762,51.481298,"18763|06122 Halle (Saale) - Neustadt|B80-K2127 $0x898d57$"
12.063300,51.489990,"1549|06116 Halle An Der Saale|A14 $0x7c7e808d4b$"
12.628551,51.358382,"18336|04827 Machern|B6-Wurzener Straﬂe 4 $0x8b8580889452$"
12.917710,52.290470,"1587|14548 Schwielowsee|A10 $0x83838352$"
13.299310,52.523460,"17048|10589 Berlin|Tegeler Weg $0x8b8f8e9c5a$"
13.318060,52.487930,"17022|10713 Berlin|Brandenburgische Straﬂe $0x8c8a929b59$"
13.342660,52.524810,"17266|10555 Berlin - Moabit|Stromstraﬂe $0x838252$"
13.343297,52.530320,"17961|10551 Berlin - Moabit|Stromstraﬂe $0x728341$"
13.366260,52.562520,"17047|13407 Berlin|Residenzstraﬂe $0x878a8956$"
13.368830,52.560560,"17046|13409 Berlin|Residenzstraﬂe $0x75747342$"
13.381120,52.530020,"17117|10115 Berlin|Invalidenstraﬂe $0x77768341$"
13.401250,52.491490,"17036|10961 Berlin - Kreuzberg|Baerwaldstraﬂe $0x8b898e59$"
13.416890,52.511880,"17340|10179 Berlin|Br¸ckenstraﬂe (Mitte) $0x81898550$"
13.422480,52.488930,"17203|10967 Berlin|Urbanstraﬂe $0x7d7a7d8c4a$"
13.430120,52.525190,"16121|10249 Berlin|Friedenstraﬂe $0x82848551$"
13.555354,52.679689,"23275|16321 Bernau Bei Berlin - Friedenstal|Schˆnower Chaussee $0x878851$"
