; Europa-Switzerland-Blitzer: Blitzer-120_NF.asc
; POIs from NaviFriends.com - Release: 27.05.2009
; Send informations about POIs to info@NaviFriends.com
; Free download only from www.NaviFriends.com. Not for sale!
; (C) by NaviFriends.com - free for private use

6.204375,46.386937,"18730|1262 Petit Eysins|A1 $0x7e86858f4d$"
6.233767,46.414144,"18729|1266 Duillier|A1 $0x7a7b7c8a48$"
6.293120,46.444010,"18728|1183 Bursins|A1 $0x81858e4c$"
6.344432,46.468390,"18727|1185 Mont-Sur-Rolle|A1 $0x8c8e929c5a$"
6.410812,46.477275,"18726|1163 Etoy|A1 $0x807c8947$"
6.560628,46.624244,"8297|1041 Bettens|A1"
6.565650,46.646280,"8298|1041 Oulens-Sous-Echallens|A1"
6.587512,46.561203,"8300|1003 Lausanne|A9"
6.636173,46.757630,"18722|1400 Yverdon-Les-Bains|A1 $0x76758341$"
6.907322,46.765029,"8082|1524 Marnand|1"
6.990780,46.875330,"11389|1564 Domdidier|A1"
7.093342,46.772676,"8302|1725 Hauterive|A12"
7.759347,47.297849,"8304|4626 Niederbuchsiten|A1 $0x908a9c5a$"
7.808180,47.440070,"8305|4456 Tenniken|A2 $0x8c8e8f9b59$"
8.887020,47.565490,"15987|8500 Frauenfeld|A7 $0x8f87858e9957$"
9.026583,47.461552,"18030|9500 Wil|A1 $0x888a8f9957$"
