; Europa-Switzerland-Blitzer: Blitzer-50-m_NF.asc
; POIs from NaviFriends.com - Release: 27.05.2009
; Send informations about POIs to info@NaviFriends.com
; Free download only from www.NaviFriends.com. Not for sale!
; (C) by NaviFriends.com - free for private use

7.499580,47.415820,"16164|4242 Laufen|Delsbergerstraße $0x777d7d46$"
7.522310,47.436950,"1111|4222 Zwingen|Laufenstraße $0x80837f4e$"
7.538070,47.439580,"16167|4222 Zwingen|Baselstraße $0x8a8c8e58$"
7.637360,47.526540,"8926|4132 Muttenz|Baselstraße $0x8685849553$"
7.722614,47.286972,"18959|4702 Oensingen|Jurastraße $0x7c778745$"
7.748920,47.281057,"18833|4703 Kestenholz|Oensingerstraße $0x7375778442$"
7.792020,47.305656,"18834|4623 Neuendorf|Neustraße $0x7e817f8f8f4d$"
7.799407,47.303193,"19065|4623 Neuendorf|Dorfstraße $0x89849351$"
7.808282,47.268424,"18835|4628 Wolfwil|Murgenthalerstraße $0x7b787a8a48$"
7.809126,47.268009,"18837|4628 Wolfwil|Murgenthalerstraße $0x7c7d818d4b$"
7.842484,47.273736,"18838|4853 Murgenthal|1-Hauptstraße $0x86869553$"
8.009703,47.374025,"18870|5012 Schönenwerd|Aarauerstraße $0x827f8f4d$"
8.038343,47.390575,"20505|5000 Aarau|Allmendweg $0x8084874f$"
8.322410,47.070797,"19494|6030 Ebikon|4-Luzernerstraße $0x8c8d8e9c5a$"
8.324056,47.064118,"19490|6006 Luzern|Adligenswilerstraße $0x878d899856$"
8.324078,47.067886,"19489|6030 Ebikon|Adligenswilerstraße $0x7f80854d$"
8.383353,47.371715,"21256|8964 Rudolfstetten|Bernstraße $0x86899452$"
8.450210,47.179620,"1793|6330 Cham|Hünenbergerstraße $0x82818751$"
8.481825,47.391862,"19440|8048 Zürich|Hohlstraße"
8.490183,47.367322,"21263|8055 Zürich|Birmensdorferstraße $0x7675788745$"
8.493698,47.400350,"19287|8049 Zürich|Winzerstraße $0x88888d57$"
8.508874,47.417962,"21252|8046 Zürich|Wehntalerstraße $0x87888f9856$"
8.511399,47.384096,"19437|8004 Zürich|Hohlstraße $0x8989909a58$"
8.513725,47.391712,"19299|8005 Zürich|1-Förrlibuckstraße $0x7e824c$"
8.515081,47.391333,"19298|8005 Zürich|1-Förrlibuckstraße $0x7b7c8249$"
8.517139,47.414568,"21254|8046 Zürich|Wehntalerstraße $0x7c7c7e8d4b$"
8.553460,47.425151,"21270|8052 Zürich|Schaffhauserstraße $0x7d808c4a$"
8.560453,47.414675,"21261|8050 Zürich|Hagenholzstraße $0x7f7c8a48$"
8.569805,47.359292,"5684|8032 Zürich|Forchstraße $0x7a777d8947$"
8.657870,47.015046,"20231|6430 Schwyz|Grundstraße $0x728341$"
8.686450,47.263067,"19562|8708 Männedorf|Tramstraße $0x898b899a58$"
8.721610,47.522255,"19356|8400 Winterthur|Seuzacherstraße $0x788442$"
8.758506,47.522034,"19357|8404 Oberwinterthur|Stadlerstraße $0x7b8947$"
9.280980,47.411088,"1327|9200 Oberdorf (Gossau)|7-Sankt Gallerstraße $0x7c7b848d4b$"
9.282191,47.356177,"21811|9104 Waldstatt|Hinterdorf $0x8f939c5a$"
9.310419,47.542312,"20515|8580 Hemmerswil|Arbonerstraße $0x8b918a59$"
9.318405,47.365193,"20212|9064 Hundwil|Friedheim $0x86889250$"
